observation_date,COMPRNFB
1990-01-01,75.689
1990-04-01,76.463
1990-07-01,76.229
1990-10-01,75.624
1991-01-01,75.665
1991-04-01,76.770
1991-07-01,77.214
1991-10-01,77.683
1992-01-01,79.283
1992-04-01,79.473
1992-07-01,79.890
1992-10-01,79.705
1993-01-01,78.730
1993-04-01,78.735
1993-07-01,78.466
1993-10-01,78.498
1994-01-01,77.816
1994-04-01,78.055
1994-07-01,77.437
1994-10-01,77.686
1995-01-01,77.665
1995-04-01,77.718
1995-07-01,77.791
1995-10-01,78.032
1996-01-01,78.276
1996-04-01,78.337
1996-07-01,78.531
1996-10-01,78.373
1997-01-01,78.818
1997-04-01,79.346
1997-07-01,79.782
1997-10-01,80.830
1998-01-01,82.068
1998-04-01,82.864
1998-07-01,83.836
1998-10-01,83.948
1999-01-01,85.137
1999-04-01,84.869
1999-07-01,84.947
1999-10-01,86.016
2000-01-01,88.147
2000-04-01,87.699
2000-07-01,88.580
2000-10-01,88.473
2001-01-01,89.579
2001-04-01,89.315
2001-07-01,89.160
2001-10-01,90.091
2002-01-01,90.167
2002-04-01,90.268
2002-07-01,90.247
2002-10-01,89.928
2003-01-01,89.545
2003-04-01,91.260
2003-07-01,91.949
2003-10-01,92.884
2004-01-01,91.905
2004-04-01,92.950
2004-07-01,94.078
2004-10-01,93.419
2005-01-01,93.528
2005-04-01,93.510
2005-07-01,93.330
2005-10-01,93.006
2006-01-01,94.270
2006-04-01,93.571
2006-07-01,92.960
2006-10-01,94.816
2007-01-01,96.048
2007-04-01,94.916
2007-07-01,94.734
2007-10-01,94.727
2008-01-01,94.592
2008-04-01,93.533
2008-07-01,93.070
2008-10-01,96.487
2009-01-01,94.545
2009-04-01,96.532
2009-07-01,96.480
2009-10-01,96.170
2010-01-01,95.088
2010-04-01,96.265
2010-07-01,96.557
2010-10-01,96.098
2011-01-01,96.882
2011-04-01,94.949
2011-07-01,95.088
2011-10-01,93.257
2012-01-01,94.939
2012-04-01,95.228
2012-07-01,94.783
2012-10-01,96.559
2013-01-01,94.710
2013-04-01,95.447
2013-07-01,94.706
2013-10-01,95.111
2014-01-01,96.315
2014-04-01,95.266
2014-07-01,95.524
2014-10-01,96.795
2015-01-01,98.538
2015-04-01,98.730
2015-07-01,98.958
2015-10-01,98.761
2016-01-01,98.854
2016-04-01,98.418
2016-07-01,98.422
2016-10-01,98.870
2017-01-01,99.151
2017-04-01,99.650
2017-07-01,100.452
2017-10-01,101.000
2018-01-01,100.754
2018-04-01,100.740
2018-07-01,101.285
2018-10-01,101.217
2019-01-01,103.353
2019-04-01,102.601
2019-07-01,102.298
2019-10-01,103.339
2020-01-01,105.386
2020-04-01,112.561
2020-07-01,109.632
2020-10-01,111.669
2021-01-01,110.677
2021-04-01,110.265
2021-07-01,110.002
2021-10-01,109.255
2022-01-01,107.300
2022-04-01,104.859
2022-07-01,105.346
2022-10-01,104.405
2023-01-01,104.428
2023-04-01,105.320
2023-07-01,105.906
2023-10-01,106.395
2024-01-01,107.989
2024-04-01,107.562
2024-07-01,107.543
2024-10-01,108.178
