horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.002029059624375191,0.0018435169393218136,-0.005405603866886833,0.001626140193383206,-0.004880065586583368,0.0012454388499000193,-0.0037353823627797635,1.7750648511309352e-5
1,-0.0020089310021226027,0.002501882413416077,-0.006860418935074372,0.0029202157165522,-0.0060440854736965675,0.0023171509994541527,-0.00420298600974983,0.0006562791157387125
2,-0.0036389717649221447,0.002662442657451711,-0.008397304202178739,0.0017576430050128908,-0.007706250024551187,0.00107228795683386,-0.00624170095738201,-0.0009824803569466601
3,-0.003891620041525913,0.002960992728493333,-0.009220283504266163,0.0022168277156579532,-0.008244959009690656,0.001379153334804049,-0.0066559362192192585,-0.000626964471537369
4,-0.0038174407398398947,0.0029647054728214983,-0.009340518024198509,0.002277038008809379,-0.00843317033098881,0.0012475726188415112,-0.006639735086327933,-0.0008610308201741294
5,-0.005959992019449501,0.003168235424853499,-0.011522755595816826,0.0010056235661044604,-0.010686125294206662,-0.0003670632633511056,-0.008720762069331029,-0.002659576048939892
6,-0.0035034631481257778,0.0031914082564908895,-0.010029521373326272,0.0030152388227827173,-0.008702125397781126,0.0019206737526723096,-0.00667610203358064,-0.000425436330356443
7,-0.004310602176687296,0.0029618033466345733,-0.009657546606144096,0.0014822596860286253,-0.008602400163592384,0.0005192529063457811,-0.007274286145874297,-0.0012027939416657002
8,-0.0046616293274819535,0.003017655955593622,-0.010280092604368895,0.0014292201993101716,-0.009191995476206699,0.0007985449605588149,-0.007282386276253501,-0.001205525860788367
9,-0.0022084575039380003,0.003364879999966254,-0.008740316471250524,0.0042659529208948724,-0.007644682704373869,0.002981070948482439,-0.005466241257030438,0.0014063695634372506
10,-0.001392228411768279,0.0030253368188514276,-0.006354812983008273,0.00504114669418985,-0.005365573576619126,0.003988490406259697,-0.004055522967397556,0.0019191566135699728
11,9.169896053398035e-5,0.0030133557689853226,-0.0056037687679181426,0.005790544898481333,-0.004521624436392375,0.005162817581528105,-0.0026635081904362386,0.00340032634638972
12,-0.0022476243891032047,0.003028645227444996,-0.007964607412936184,0.003983185055491731,-0.006941857983603916,0.0030657695642281263,-0.004902721839099108,0.0009397279970021082
13,-0.0020899907502826536,0.0035933795155182195,-0.008879336184859173,0.004914543516178076,-0.007777684580512136,0.004228766164334119,-0.005514116806601736,0.0015588025756518584
14,-0.0023747810154663047,0.003684253211729102,-0.009216571826204518,0.004603133582793491,-0.00809257283725366,0.0035349113390307314,-0.005816139709178404,0.0015753267799146816
15,-0.004029243445822574,0.0037081618013528514,-0.011095193637284322,0.0036565116495149443,-0.009794330429490196,0.002140316037620108,-0.007531930943901372,-0.0001704615781883665
16,-0.005818114075234897,0.004026608926913597,-0.01276304436688596,0.0029313112836623707,-0.011432770025468183,0.0015131444234903924,-0.009300246400723699,-0.0014001063694669637
17,-0.006682768969499275,0.004102397180480948,-0.014290618310785439,0.001890654957268075,-0.013087736349626431,-3.987722528435823e-6,-0.010542980041085483,-0.0020806886371050938
18,-0.0064725388211555,0.0038013304723540295,-0.013736540496517582,0.0014748613485273219,-0.012458251696068245,0.0003675387638906025,-0.00957230555791554,-0.0021431415283334225
19,-0.007932461448874445,0.00396228691955128,-0.015064250427065039,-8.07617593194142e-5,-0.013781295411769609,-0.0009899442364904516,-0.01137504558917642,-0.0034229624740131173
20,-0.006296749798840244,0.003733317158111677,-0.012746720036141253,0.0011983643345283884,-0.01189072502743434,0.00037826204318489303,-0.009874188988766628,-0.0023483081122096234
21,-0.0027799097731033913,0.003900242683915392,-0.009688085702663203,0.006164687820410667,-0.008232491887438636,0.003969508992852564,-0.006018537388989103,0.0014441650228464347
22,-0.0005459231676169795,0.0036999500264894404,-0.007576378221197196,0.006536185295302092,-0.006332035284044312,0.005378667459142336,-0.004054356473204244,0.003287740020375203
23,0.000679229308522508,0.004333596764260431,-0.007260175771473662,0.01045871598050183,-0.005986888027607026,0.007714554658422268,-0.003237178800275189,0.0052506133335977565
24,-0.0037556721733063574,0.004687349053622039,-0.011730687107834826,0.007063488736637499,-0.01068561548075182,0.004605916427701265,-0.007786438299972972,0.0009764954635668343
25,-0.0058243298676628015,0.0042087417826876085,-0.013062444531404128,0.003217456845419419,-0.01201202601633777,0.001628082728987605,-0.009296152085017103,-0.0010791575585605514
26,-0.004230775612590367,0.004859398589796096,-0.013154693581312823,0.00607415303556666,-0.011279298749086912,0.004516168747347998,-0.008393207855326029,0.0011396325665871709
27,-0.00350966083750208,0.004326587789129644,-0.011435383037818415,0.004810350198070074,-0.010242526158921007,0.0037362413192497486,-0.007304454090219736,0.0010362300290696353
28,-0.004881091946853784,0.004716771811389333,-0.012957703083436812,0.005025841449970365,-0.011628821723756233,0.0031458320596419852,-0.009175858670624905,0.000317825337852754
29,-0.005348712940646906,0.004498617715784694,-0.012964068253079117,0.004381504004915318,-0.012197742459380344,0.0029350706587134624,-0.009437166252779688,-0.00033852444558309276
30,-0.00468062746410623,0.004857357106839501,-0.013747565326909062,0.0055244542452611185,-0.011658144131323784,0.00395278089243307,-0.009096601657929028,0.0004814084734889141
31,-0.008314794877848359,0.004908266930146887,-0.016841470450900745,0.0016248187710378326,-0.01568509638600439,0.00010470016130721427,-0.012313461843528682,-0.002645118758514679
32,-0.006568812058326667,0.004814329973976485,-0.015343557051918415,0.0035302527196279998,-0.013700820507607245,0.0020512317381878053,-0.010967963218780376,-0.0016627199647876977
33,-0.008334106259982698,0.005178813286510821,-0.01844563860302869,0.0016561464744703908,-0.016665581742387903,3.239709777637484e-5,-0.013005956968174514,-0.0027573635514490467
34,-0.009051066067150558,0.005382810631478906,-0.019343400356841622,0.000828898972309742,-0.018262341511710967,-0.0009549753401563747,-0.014524727833926032,-0.003997284385970955
35,-0.00914089314091731,0.005338725658943901,-0.018910558412306832,0.0020363874804782216,-0.017454172738555773,-0.0002349790685541688,-0.014004256649956649,-0.003614378573603987
36,-0.008273472353539094,0.005620419866764075,-0.019066080702566567,0.0025669715021188833,-0.0169044268171052,0.0011440429242119438,-0.013516503300471279,-0.002053426241088469
