horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.001985034906493127,0.0015583781579567113,-0.004720750619735801,0.0012446955757519414,-0.004293729837542799,0.0007823598088969805,-0.003367004621227625,-0.00032112748572023036
1,-0.001150247743625184,0.0022924210371501404,-0.005312970240830794,0.0037571575058732267,-0.004821725180654132,0.002926672377710615,-0.0034467744462882903,0.0010573014697298209
2,-0.0017467529910097134,0.002223969852088674,-0.006271386807408946,0.0026879280133608233,-0.0054735486015480605,0.0019379120634885297,-0.0038764142024206487,0.000506204448167078
3,-0.00010260153859207838,0.0022697899870416658,-0.004479787891256775,0.004595667437797984,-0.003921545672471756,0.0036114017883349726,-0.0023875398764590904,0.0020325963599065293
4,0.001291968185132964,0.002706628344888072,-0.0043543087102668136,0.006036557349912985,-0.0034529542570881843,0.005386690358716304,-0.0016336799315443988,0.004055212305642118
5,0.00030056853928743505,0.002548086681910243,-0.0048860205282244915,0.005275119310534945,-0.00402479105029427,0.004246644855109929,-0.0021625995855216623,0.002734501116596001
6,-0.0012947411523404246,0.0021770747809736505,-0.005560083002871634,0.0029371661968911195,-0.004571579625585738,0.00220342833932703,-0.0036393197925924064,0.0008567994702802332
7,-0.0035193508787323196,0.002472336556082827,-0.008393937639948643,0.0014669983009560333,-0.007560943187608422,0.0004780863671008787,-0.005789242091405554,-0.00111187559651298
8,-0.0054469121151848095,0.0022257373778981544,-0.009423367863153589,-0.0010211070343877104,-0.008693763640184883,-0.0015205745776643664,-0.007611220589575064,-0.0029802747249972226
9,-0.003833893991419118,0.001948410630168194,-0.00785570417645768,7.228680232534195e-5,-0.00706398980060516,-0.0007720721868260912,-0.005907098909816791,-0.002056539129998658
10,-0.0033975286628694468,0.0016689455534522482,-0.00652866029086594,-0.00016624781499444466,-0.006118250082429133,-0.0007151953064667948,-0.004916580478541557,-0.0016789158010806862
11,-0.003062492212571407,0.0019331263110905063,-0.006947326820439578,0.0004302699895936757,-0.006320647095043969,-7.312568811891507e-5,-0.0049818631762233515,-0.0011640824157737033
