horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.015387824065325335,-0.03498549065294144,-0.00791630801713089,-0.02829783872401021,-0.010246355345428372
1,-0.00414088876584087,-0.01109537571853144,0.004148760394435991,-0.008252436827811568,0.0009432219660747473
2,0.0032349236576222806,-0.006998873484172696,0.01734177273165496,-0.0024980955891564286,0.011735605337379534
3,0.003704599367508869,-0.008562631463478798,0.013511317333389686,-0.0033246533451062616,0.009975653541229333
4,-0.00030736443637280987,-0.013722220935727013,0.01105744709269707,-0.007943295978158033,0.007027918573016908
5,-0.004788998259263214,-0.018658421051155297,0.007155368750512991,-0.012877446001916485,0.0025802176816302055
6,-0.00666678886234566,-0.017477749314031177,0.0032150348468114077,-0.01278426241917371,-0.00046681967465300473
7,-0.018204117148984622,-0.02852897810658816,-0.009032591120812353,-0.02455842759163693,-0.012615963685741874
8,-0.026308508491279404,-0.03515558163695256,-0.01828260192992518,-0.03175353049247666,-0.021330567482945595
9,-0.018878783779182694,-0.028152590695549373,-0.011767313089608133,-0.024500250049290725,-0.014516788613775734
10,-0.005209987987057547,-0.013160043805766686,0.0016215682881983405,-0.010277955126501046,-0.0010130382001711366
11,-0.001640933210880738,-0.00825520966310199,0.008349821632574216,-0.006266219694266815,0.004682594294498066
12,-0.0087767784336326,-0.016957207086409902,-0.0021412722663933445,-0.014005194489333243,-0.004706192004129259
13,-0.005601316337498943,-0.016509646128435876,0.003637273835700747,-0.01158290063322889,0.00013621921762364386
14,-0.005578733729446475,-0.017012701693084407,0.004479783336491739,-0.013014830709946346,0.0002997833767730924
15,-0.004258755608872431,-0.01745785563790403,0.00676282508154088,-0.011939786891378087,0.002357958161802471
16,-0.0044378670242382024,-0.017088617063377262,0.007820812723881493,-0.011571418183327273,0.002266544236416407
17,-0.001470484797878107,-0.0121925645501354,0.014060473571645566,-0.008767837911254718,0.008861237569036643
18,-0.006841766168548898,-0.015923300796632095,0.006880750180978791,-0.0129621041465038,0.001467869511230721
19,-0.01851907974960985,-0.027583346673250558,-0.008772269897288403,-0.023925272517926387,-0.012749010561269699
20,-0.02308248450121277,-0.030998307425180373,-0.014479285381822304,-0.028073428816306454,-0.017249524671256736
21,-0.01614847842658046,-0.02560999048257424,-0.006883121527785736,-0.02177000830433417,-0.010271701781727415
22,-0.006715850690991148,-0.015299788622172718,0.0015109241221340367,-0.011980415246268748,-0.0016207447571511026
23,-0.004997875985534396,-0.012759536769997786,0.00128992836079343,-0.009713118541386005,-0.0009872273237364025
24,-0.011809634053383818,-0.022160223212721035,-0.005077764582441579,-0.017989538753649885,-0.006996157427139813
25,-0.012166936471477255,-0.021972039169483405,-0.003878831615431731,-0.018234236265105258,-0.0066433838824144905
26,-0.007688983196083408,-0.01820290467159097,0.001198883636985901,-0.014263721499194353,-0.0016552384671591385
27,-0.008647999634906589,-0.02008209682648766,0.0011163000667227946,-0.015280500489604892,-0.002785773847925275
28,-0.011190820569100705,-0.02280266165254326,-0.0006753761230825755,-0.01849272955396722,-0.004401993750803301
29,-0.013265920410278855,-0.027370734071481415,-0.0017496855856521162,-0.02088961126624521,-0.006184932904667936
30,-0.014644447761460134,-0.026942431013990478,-0.004275451500876,-0.02172225538638315,-0.009153651474896815
31,-0.021825269980902725,-0.03262907032384196,-0.01314460591997146,-0.028215758335809624,-0.017059652281407104
32,-0.024986093631219525,-0.034680764773208896,-0.016842307558613,-0.031075851691745135,-0.019730068725772695
33,-0.016001860909907614,-0.025719793301209742,-0.008745472756909985,-0.02169217814831083,-0.011612535114275948
34,-0.006852051298768534,-0.01579999158448154,0.001338544360422753,-0.012648435345736751,-0.0022800894306370285
35,-0.002650809965004308,-0.011976863529433395,0.010045164505493177,-0.008733717307999732,0.005349600245876012
36,-0.007130683231166569,-0.015513063629878674,0.00165065483096412,-0.01271729692628467,-0.0015242326548134321
