horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0020238154668408533,-0.005136574149703369,0.001682230098982797,-0.0041277526024496945,0.00016267053834729097
1,-0.005744748745843234,-0.009807221942116967,-0.0025691764020634284,-0.008127543820412229,-0.0037814372020683463
2,-0.007194014968612701,-0.011084241890748687,-0.0029007027238989666,-0.009704670477258332,-0.004545817703271053
3,-0.002489137236859611,-0.006829391403134133,0.0017803412142345302,-0.005236604228092995,-5.1748807096204e-6
4,-0.005059097779298478,-0.009270874802522314,-0.0007181019852638406,-0.007582442223322129,-0.0025707994057275335
5,2.1183640390272366e-5,-0.003806855532686988,0.003529687198465895,-0.0022106532559029563,0.0021871219544297884
6,0.0019574859307049373,-0.0025270655871789016,0.006445249310443324,-0.0011588535575939199,0.0044714577187755025
7,0.0022786343619185813,-0.0015823575183933898,0.0066359062726151895,-7.792450080671863e-5,0.004793174668940219
8,-0.0013034894851783384,-0.00480712327744406,0.002454721319239862,-0.0032847932280085585,0.0010081346315413393
9,-0.00604013999807825,-0.010788380959720251,-0.001639785467130895,-0.008667206244975497,-0.003140309739717717
10,-0.008002740267439277,-0.012130883664221579,-0.004583830927021018,-0.010117659746717475,-0.005955884846081283
11,-0.0031500380708364487,-0.00700189609157561,0.00019803893776490066,-0.005195981247040963,-0.0011781271394989477
12,-0.0013887480287752712,-0.006114785841732364,0.0030872853148701767,-0.004186795823939923,0.0011532556665313442
13,-0.003232793609519398,-0.007173735152786056,0.0011518571465008853,-0.005328285450169252,-0.0005746420280568353
14,-0.004162405460675548,-0.007922839113458147,-0.00043708704226012385,-0.006274082565197209,-0.001804091881410902
15,-0.004762320740173484,-0.008038777852640218,-0.0016750568205379048,-0.006612349513947624,-0.002760340045476893
16,-0.005069626224889526,-0.008880582052933472,-0.00018506039227901474,-0.00733662848986498,-0.0024385938264766083
17,-0.004457784421312245,-0.008780802630650345,-0.0005135356567852979,-0.007023111480924457,-0.0019378649262043507
18,-0.0008951771475064794,-0.004952391389245063,0.00308519974364817,-0.003510931817357872,0.0014511734881240373
19,-0.0029515512326540577,-0.00760571262429408,0.0008885584324004798,-0.005524568092582905,-0.0005212015403213187
20,-0.0068080258024044195,-0.010290500388032482,-0.0032317321105576795,-0.009065525440101255,-0.004405865350638572
21,-0.009809713238134213,-0.01402572724250446,-0.005284440542364529,-0.012449494175417665,-0.007230528335515001
22,-0.008201667692531408,-0.012333440781982135,-0.0027074014148447123,-0.010699215249014123,-0.004573479260339494
23,-0.0043106807547938,-0.009544195966555175,0.000519300048045979,-0.007084166101984554,-0.0012180831848841215
24,-0.0028681097642270846,-0.007508410072858232,0.0021839897924110312,-0.005622556795274358,0.0003674877238682957
25,-0.003342197348876178,-0.0077085184722208945,0.0011677959398699051,-0.005906719578984438,-0.0005724170976493699
26,-0.006008363729855717,-0.009880951412502306,-0.0017338772083049245,-0.008534239870946338,-0.0034098437741549702
27,-0.0054937811169659305,-0.010297268424472048,-0.0006777911353160835,-0.00839654826660667,-0.0027890031954911202
28,-0.007063364647120065,-0.011395690776553138,-0.0032118557490492016,-0.00938293066075104,-0.004723774205502855
29,-0.004262739166263213,-0.009692586175732893,0.0006276464466527234,-0.007310868230063586,-0.001497362872620449
30,-0.004736741980675179,-0.009217659178795285,-0.00015911845793425364,-0.00736350486717977,-0.001850091577924332
31,-0.006998413673214882,-0.012470111565120935,-0.0020789848750946737,-0.00982739286593605,-0.003827761465270714
32,-0.010555005730632406,-0.01577862393649779,-0.00622620444724859,-0.013839195271174325,-0.007967255143392037
33,-0.005360497138160772,-0.010270451149396356,0.0002738718943871071,-0.008072798805775041,-0.0020993626827729944
34,-0.0011280563969243956,-0.005919810439118209,0.0032270610344013627,-0.004025556835104665,0.0016858842702835053
35,-0.006519329030730215,-0.010812225653618692,-0.002551392449650255,-0.009206659413539278,-0.004239669959804241
36,-0.0041563378364280895,-0.009499575591271913,0.0007493257923235066,-0.007531005317539453,-0.0013340987887018145
