horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0010014881331764343,-0.003963499424055368,0.0017021659583625484,-0.0026201655589073456,0.000661996447199971
1,-0.0016080814825911002,-0.005243222425904798,0.0018755846687365445,-0.00391415455251126,0.0003778774629446973
2,-0.0031553322337320596,-0.006439856505417278,-7.787479670838277e-5,-0.005170447678253495,-0.0013244712885036325
3,0.0017574002945367293,-0.0016340510626072341,0.00539430601370909,-0.0003650332144478712,0.0038412746364547908
4,-0.003754691093588554,-0.006618769454213127,-0.001085724921598571,-0.00553193724925481,-0.002115991159018259
5,-6.1746220649921e-5,-0.003213574572138251,0.00325444524680379,-0.001843067686898391,0.001898359430241963
6,-0.0012938866515192927,-0.004539431642577805,0.0020002543097894267,-0.003202448716580049,0.0005625894013609265
7,-0.001083335826790668,-0.00393766734104088,0.0019835739144296073,-0.0028919290238871636,0.0007204575380942474
8,-0.0008581115667102703,-0.004259318202740894,0.0027395165375624976,-0.002735429662042476,0.0013139027786150054
9,-0.0005790177001684357,-0.003853365914827474,0.0024834156960956014,-0.0024157406201335612,0.0014378199336216838
10,-0.0010021231623557024,-0.004228478685475989,0.0020457728082016523,-0.0027829027195672364,0.0010391584333191315
11,0.00014592762703026892,-0.0024563430603182107,0.003071387317853037,-0.0016790651111723825,0.0019911381385689323
12,0.0007378678241170715,-0.002083074991752828,0.0033616254584712306,-0.0010592160237729146,0.002348031896811919
13,-0.0016875762872695262,-0.005771033762412343,0.0017281953154696377,-0.003920038191615118,0.00036121626504417533
14,-0.001413638524047435,-0.004243433269208252,0.0010735793599642729,-0.0031503340051257517,0.0001715315741337856
15,-0.0021100318429740474,-0.005978190823667654,0.002686327794527119,-0.0042766795425879175,0.0008571535208675169
16,-0.00287692369222679,-0.005944516424268983,0.00031944667458794944,-0.004886407907583762,-0.0009775718695369127
17,-0.0055136538210628855,-0.008306672519858659,-0.0026071157957774376,-0.007227483225433704,-0.003744474157162056
18,0.002684831463809227,-0.0004253380986916338,0.005588302917127514,0.0007449368777542875,0.004514393245981321
19,-0.0029519626595050164,-0.00590023108236013,7.429229715088994e-5,-0.0048184574204229655,-0.0012050824129449657
20,-0.0027604315427841204,-0.005968814126815373,0.0004319311319824753,-0.004625930430230854,-0.000666756451155956
21,0.00011572958794860162,-0.003449022641083848,0.003133665432578519,-0.0019117152695528321,0.002016998654958387
22,-0.003929276200288989,-0.007139711774688385,0.00023852707733360012,-0.005813566972745913,-0.0015963531923421427
23,-0.0034912806331482307,-0.005892802104628801,-0.0007168562768541009,-0.00488737507255635,-0.0016634334646675314
24,0.0017997713911469659,-0.001233340009139629,0.0049424532334025485,8.351833739516853e-5,0.003615352177457922
25,0.0008727729554778305,-0.002950996930660463,0.004354574049157384,-0.000982665502806271,0.00307406300142584
26,0.002222403795682312,-0.0007798489643611492,0.004788998700592602,0.00026325792366682903,0.003796436950525041
27,-0.0017508651417698939,-0.005130715920084395,0.0013836953149046144,-0.003634648670688796,0.0002697071860285295
28,-0.0042335261556736776,-0.007784329515038007,-0.0007143820296916376,-0.006258103567190903,-0.002030434096123495
29,-0.0003335101494879343,-0.004097048784443588,0.0027726894479628813,-0.0024237556589072197,0.0017196479246578504
30,-0.004216486305179228,-0.007201344541785275,-0.0009443040853324217,-0.0060179736022097485,-0.0022324438167924763
31,0.0005864663709994313,-0.0032662478224888794,0.004469733937274375,-0.00175283400595861,0.002866269619802237
32,-0.001506980575389315,-0.005313108846480846,0.0021402370843235474,-0.003829742546938314,0.0008773680852570344
33,4.455953563858973e-5,-0.003623429781839529,0.0036923241021225225,-0.0018956095801711682,0.0021994137680492673
34,-0.001571133846122684,-0.005595275237218387,0.0018909612614901514,-0.003980924761156423,0.0004810825673432892
35,-0.006452039339938426,-0.009832059806730973,-0.0033476475365623436,-0.008450144749273547,-0.0046643028063434525
36,0.000381162279511047,-0.0037414050193356786,0.003967851808721334,-0.0019794131433958284,0.0024957507257703498
