horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0020567128821426576,-0.0058833726161258825,0.0012080737845139,-0.004346019306182829,-0.00021156467290028955
1,9.219685093721085e-5,-0.004524483286614143,0.0040777020973443235,-0.0026135188939262212,0.0027053389306137023
2,-0.001968631908936304,-0.006049746574258745,0.002010368520052628,-0.004305996981732032,0.000523820907468049
3,-0.006804437355282768,-0.010407226137437844,-0.003819168212579049,-0.008923195156923382,-0.004891671811371421
4,-0.001265239445248533,-0.004984065233387517,0.002151687555400547,-0.0035462585295041784,0.0008190907172724222
5,0.0005538013131143745,-0.0035390393057116833,0.004516281898013588,-0.0015615870858122765,0.00268044968691383
6,-0.005854983161562323,-0.00986552318759664,-0.0019253422950188852,-0.007943781554556814,-0.003530981981263979
7,-0.0015358509246203068,-0.0051118591700069875,0.0021173228436547594,-0.003817115459249053,0.0004876638055103762
8,-0.00611015285821068,-0.01077069167901737,-0.0008244130537264464,-0.009091103723174256,-0.002735798325797375
9,-0.004211147616317062,-0.007998320529338136,-0.00021003897378111657,-0.006568058094874709,-0.0020181954722122805
10,-0.0009160536895614025,-0.004096882037865646,0.0026614503447703144,-0.0029548532467846985,0.001417490531319694
11,-0.005388763918042909,-0.009565691581402677,-0.0013337043387526646,-0.007985673910599603,-0.003091822144897742
12,-0.003242945423769586,-0.0064711423738566445,0.0003578432764754927,-0.005277652385543537,-0.0009991110360133893
13,-0.005871092309971603,-0.010185629717811603,-0.00122242182330045,-0.008456863109862635,-0.00329878629350419
14,-0.0007766186408298093,-0.004966633914519166,0.0032090453664692237,-0.0031494219631203087,0.0015238242946329168
15,-0.007745273219325744,-0.011584099401934889,-0.0043860003962252455,-0.01012256087948298,-0.005530286782818979
16,0.00046829275460404194,-0.003959360770212668,0.004863715757847568,-0.0022444689416221933,0.0031788270731245884
17,-0.003506144600766478,-0.007396286688617519,0.000633460608777585,-0.005903262307487673,-0.0010530176770983841
18,-0.006891645484623471,-0.011555613785330671,-0.0024198271557609504,-0.009708705901361856,-0.004530671035940756
19,-0.005365341916178183,-0.008596296104540994,-0.002052571817428693,-0.007292357929229629,-0.0033622937792591717
20,-0.0055216961302804145,-0.010971262224012124,-0.0014457574174913234,-0.008738756999911447,-0.0031205295729838955
21,-0.0008827564005857621,-0.005329378030332457,0.003109799463917202,-0.003910551497571489,0.0015124703637746837
22,-0.007922297238065005,-0.012546536533230755,-0.0027853061643067223,-0.010844868866347812,-0.005145664851047322
23,-0.0031477089516364844,-0.006755760672160695,0.0010543825634729124,-0.005240812362856053,-0.0012157175122063306
24,-0.006859116138616502,-0.01133280415326759,-0.0026845473901900407,-0.009248987583258893,-0.0046957848340731835
25,-0.001523444970575812,-0.005701621925900875,0.0017038038286073163,-0.004002971068984968,0.0005143695721413276
26,0.004001818962035966,0.0006760351345258047,0.00748417689649155,0.0018008367700145045,0.005713215118966511
27,-0.0006451662184513931,-0.005292210032246748,0.003482239313480395,-0.003516179164233983,0.002046713599195024
28,-0.004698165636062399,-0.009084200768772865,-0.0002496256299395457,-0.007352731046805271,-0.002052189820241737
29,-0.0047309917665909595,-0.008918884987263346,-0.001185335835112974,-0.007418222643280381,-0.0027412690379084157
30,0.0005228346857475751,-0.005347894925482811,0.0048949487732928825,-0.0027139590706913757,0.0035527408650638387
31,-0.004673386458447926,-0.009066293418104863,-0.0006720638535922165,-0.007493048880410824,-0.0024148196248398256
32,-0.002352552967680199,-0.005964226786583168,0.0018226617310796115,-0.004686118916177777,-0.00020570676000789857
33,-0.007373691770670705,-0.012153171332091914,-0.002324718960587371,-0.010322038846965717,-0.004387768596451737
34,-0.004365383272292537,-0.008170236251636138,-0.00038620018218393174,-0.006638302637505037,-0.0021851154024835435
35,-0.0033115353689219963,-0.008295342204295729,0.0011711996931363239,-0.005880583233987415,-0.0006174402651172028
36,-0.0058203449616562935,-0.009530721639463755,-0.0021993336534052083,-0.00807873027477826,-0.003883167808556752
