horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.010685715945782406,-0.02029548063303449,-0.0006693715955555998,-0.016036967298702083,-0.0048382375949110965
1,0.010081503841484653,0.0012313951761689854,0.01978697408700729,0.004691149776909455,0.0159030418011854
2,-0.010621925020461278,-0.019474585750381163,-0.001884473243435436,-0.01580376837382307,-0.00518394989507411
3,-0.0046169776062611545,-0.01490839907552502,0.004763794208940307,-0.010761170962592792,0.001399883239851657
4,-0.013090245959785697,-0.022089294372185375,-0.003921177438553096,-0.018556225732334265,-0.007912299272398969
5,-0.008255592221726634,-0.01620852926893231,0.0019373597219293475,-0.01294817485357188,-0.002766156664300667
6,-0.002872905875058131,-0.012188760658095384,0.007520123607938592,-0.00816161286654032,0.0030018799050938994
7,0.0027267026198302307,-0.006801042481245772,0.013495154464365201,-0.0029676352373530362,0.008860436430991917
8,-0.001913259894581752,-0.013041478685652152,0.009114137421057215,-0.008812689742207933,0.004854014800471628
9,-0.007172816089939944,-0.01788724224414184,0.0027587359646474045,-0.013916981070322763,-0.0018156454954368195
10,-0.006087675483035381,-0.017425469459007994,0.0051685280058494645,-0.01270337613575604,0.0007976602414075116
11,0.00777630140122814,-0.0016101894703466086,0.016536248807448854,0.0025858861034815,0.013181011512840894
12,-0.004694400543934893,-0.013225654024497668,0.005404988602366819,-0.010084446874344493,0.0010522049361823375
13,-0.002925119809516929,-0.010236194146501737,0.005637486134109963,-0.007558077119464315,0.0019499874584724725
14,-0.003179254530644752,-0.012663376899215843,0.005662199148985693,-0.008806118842724081,0.002119145478769929
15,-0.017303130044097018,-0.02473038290346429,-0.010532561842523684,-0.021619251956523044,-0.01318796522966537
16,0.006829859427276488,-0.00274033151842023,0.015273137282814063,0.0007964342706352967,0.01275055245812826
17,-0.011399742140875089,-0.021303724849772256,-0.002108336675714891,-0.017601184884349745,-0.00544533113986171
18,0.009971758196176364,0.001046444571668529,0.018117288275052434,0.004581868434070051,0.01450987574509503
19,-0.001291544928749742,-0.008873964289971979,0.006693860380426764,-0.0055112079279062975,0.0034046585297322295
20,-0.0019268313237393757,-0.011820751724398719,0.008083299133465659,-0.008222064203052964,0.0034542775961886717
21,-0.005833145306433299,-0.016650839666575924,0.006079076036983793,-0.0114512565874961,0.00135663026421583
22,-0.009734186756752026,-0.019229442232648667,-0.0007855458280422219,-0.015143583393360832,-0.004273259118109566
23,-0.005192089783717193,-0.013853343747621108,0.0021552001466002193,-0.009946456346765133,-0.0009487082208641502
24,-0.003834785930405939,-0.012404233005344302,0.00537356011926634,-0.009023134678089921,0.002000007622931313
25,-0.012852657388822615,-0.02154006401455788,-0.004885542120946211,-0.018373670641363367,-0.00815872416977478
26,0.001860581554531047,-0.005916433481988154,0.008365344342702032,-0.002716946786956524,0.006184591081146041
27,-0.003585762523741906,-0.012773897423370133,0.0054755621845317135,-0.009016623569813741,0.001801509616542474
28,0.0010264916735681594,-0.007527973665705926,0.00950978828725395,-0.004484774925811226,0.0058347784462748475
29,-0.0007756310151419677,-0.009132429398751911,0.008392495606573073,-0.005682939585141012,0.004565647506251987
30,-0.014765059648992275,-0.024186037304058338,-0.005155776664413083,-0.020828721486414115,-0.008827383854650962
31,0.0014007367082391625,-0.005558873091890809,0.010639753300635595,-0.0029757262189133724,0.006783135524870478
32,-0.007841168854146577,-0.01685802518284661,0.0010180254576568418,-0.012574511808283163,-0.002525419047064963
33,-0.004548969527764046,-0.013422221863191235,0.0035017237531203282,-0.009625881997747176,0.0004935726799207294
34,0.0005291397817328567,-0.006874122083528425,0.00827157660015976,-0.0038016425268384123,0.0052323334473688525
35,-0.00844590300863483,-0.01871384954186195,0.0024806996170605704,-0.013964858880353054,-0.002463826562213285
36,-0.004851817257644627,-0.013988578084498417,0.0058286595115720095,-0.01041184828274163,0.002490944188634275
