horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.00012353842739336966,-0.003382118498086404,0.0033364097057503907,-0.002023181609208553,0.002038023286156531
1,-0.00041313369118836863,-0.00407386335978916,0.002926127024815916,-0.002506293476516517,0.0017848153774893613
2,-0.0019614177708827665,-0.006086315623794369,0.0016889883996840391,-0.004335292384959553,0.00016928806288121767
3,0.0018387529745745286,-0.0013857914666128672,0.005353075293274486,-0.0003005178144847749,0.003980589571605258
4,0.0018936852599806583,-0.002100270591051347,0.005963243182255021,-0.0006103044581123906,0.004213440791203447
5,-0.00019819268293174807,-0.005030095536447048,0.0038692824990879185,-0.0030595363693265223,0.0022928107981625727
6,-0.00011087459309035186,-0.005738343819084654,0.003432019558945518,-0.0034996475882354207,0.0021146430786628794
7,0.001431434682602833,-0.002325634791950624,0.005048589245239547,-0.0005894837557812109,0.0035485016409092258
8,-0.0012261224703353992,-0.004922221583710806,0.002383011100932151,-0.0032403657000288277,0.0008282658107436574
9,0.0013001864128186534,-0.0017263816710018655,0.004608435949603458,-0.00048328188454783527,0.0033300433577076027
10,0.0021631336026666087,-0.0007550423869996112,0.00554663233767713,0.00039642653319993957,0.004002751591382621
11,-0.0030716029438523683,-0.005901458064909885,-4.737457130609248e-5,-0.004634397305009212,-0.001243033805522935
12,-0.005831553139785663,-0.009665878452728583,-0.0020938213410633937,-0.008046173270779142,-0.0034589016644670364
13,-0.0007329276655233393,-0.003729158216172317,0.0024161249058258,-0.002616680771575541,0.0011363291747776675
14,-0.0006806705589280716,-0.005773446452521196,0.002923726106168211,-0.0035331155533591977,0.001546621113142462
15,-0.0010597746989136013,-0.00434877768350402,0.0023578494923154857,-0.0032043580426521254,0.00088455749218294
16,-0.0051064298008162,-0.008647456092509007,-0.0015153404059622877,-0.007181547347444411,-0.0030090162602436654
17,-0.003876315895625347,-0.00757542222794008,-0.0007853463652554857,-0.00629751002565653,-0.001965681117722507
18,0.0015474504025717371,-0.0028447397163720084,0.00487158833105254,-0.0009041642582483746,0.0034751192453759423
19,-0.002682722936433008,-0.005970597696902783,0.0009961317850527575,-0.004682639900014578,-0.0003892274399937023
20,-0.0011694166802383936,-0.004926238915233071,0.0018968584230413157,-0.00335206102379207,0.0006831791748851432
21,-0.005202908909636153,-0.009092409118937241,-0.0012769154591559476,-0.007905333405796019,-0.0026600884692069057
22,0.00037587688233855365,-0.0031172635473576582,0.0036720011424142495,-0.00164553263875934,0.0023671356570451607
23,-0.002568754057220654,-0.005763627293192405,0.00022620794157181918,-0.004699430414542467,-0.0007957650277785639
24,-0.00437936627850581,-0.007651364483416338,-0.0009904466970589451,-0.006236033184426306,-0.0024653827142864133
25,0.002098123415805464,-0.001725422434200246,0.005942670632189351,-4.073986577723043e-5,0.0042760666882966526
26,-0.0035034871200124483,-0.0065362007079634975,-0.00035516444621923066,-0.005330819930105502,-0.0017878886509740124
27,-0.0019163249650360206,-0.005241111441804646,0.0020772182485605103,-0.003903014884756551,0.0004040979606138894
28,-0.0025968504207324276,-0.006811966808897911,0.002008044347421344,-0.0051119507590296105,-7.632603522240641e-5
29,-0.0034548258921615603,-0.006711505276069429,-5.38196824484017e-5,-0.005476786948756987,-0.0014020952323069045
30,-0.004354755380768557,-0.008029775111687943,-0.0005596873571145117,-0.006429170686506995,-0.0016783165435550738
31,-0.001624696817769574,-0.004818824872768681,0.0014372717605444264,-0.003552599483406617,0.00044975134863909066
32,0.001392882192188394,-0.0019242964102392868,0.005458748858901043,-0.0005513244657822012,0.003887341189083343
33,-0.00517594834948553,-0.0092543540084849,-0.0010498633870967928,-0.0076748596009903955,-0.002768565969521904
34,-0.005536517363953691,-0.00941144544187414,-0.0022977249966096716,-0.007702776172968497,-0.00357185059874957
35,-0.004644800340417917,-0.008005335941308402,-0.0012985735367885484,-0.006845067987604118,-0.002428809231826817
36,-0.007125639192869938,-0.010719985405676152,-0.0028302076449630417,-0.009362519652789954,-0.004447903641321453
