horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.005249310118317375,0.0036472564314062425,-0.012813297661954413,0.0016051602191635176,-0.011231480201153386,0.0005159682806927251,-0.00874493492684868,-0.0019217077216781518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-0.007771356780770935,0.0033488976644676337,-0.014003595483611849,-0.0009851904083766742,-0.013242533247356523,-0.0019328250345111205,-0.010746154048327477,-0.004307812379085249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-0.010827398152628545,0.003536350203242627,-0.017741024746207576,-0.003708264716177484,-0.01631150679822586,-0.004684915989372623,-0.014048251092096897,-0.006867786542617667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,-0.008584140524963112,0.004014435074480603,-0.016442725011026255,-0.00030621316161379185,-0.015058243022376756,-0.0019117078443645597,-0.0125746311575814,-0.004677017185204867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,-0.008017947182176221,0.0034938531465994955,-0.015094029331118624,-0.0006941273268462203,-0.013798576490410566,-0.002212140278559935,-0.011523663583109538,-0.004804904634729853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,-0.005248673753015752,0.003957020618362949,-0.013137764859608771,0.0025034256356290824,-0.012082782110118435,0.0009794609423687127,-0.009330758529317633,-0.0016462736229706687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,-0.004334667422761316,0.00397186574333157,-0.012518954464835828,0.0033347223420999105,-0.010661247699192081,0.002214392128550173,-0.00812593661114828,-0.0001941589214185014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,-0.0008298050582929473,0.0032809908737806356,-0.006764132916247563,0.00565535289349252,-0.006093831369199421,0.004502891775114058,-0.004044529450754181,0.002446454884131554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,-0.004956503787856407,0.0036718151785244996,-0.011895259621934422,0.002192350426055187,-0.011219255681451795,0.000912394929994129,-0.008941574026173224,-0.0013949917225999377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,-0.00857652849565739,0.004319069908443939,-0.017584248084935923,-0.00020102900562987274,-0.016326588780455356,-0.0017706909259502643,-0.013257603580422897,-0.004981940485197714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,-0.011650246709120278,0.0037990509051988456,-0.019554967369333025,-0.004871281881495035,-0.01847479703367674,-0.006192640690057592,-0.015549017170569893,-0.008052560470940166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,-0.0055298995876634565,0.0036322353922550988,-0.01318382450191214,0.001639314645594195,-0.01139137864625775,0.00019486132401656608,-0.009458384678790817,-0.0022250338000340073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,-0.004548012265189106,0.004345159895557002,-0.013500701452875848,0.00322124242496118,-0.011695209854134907,0.002139175562197366,-0.009068689187859932,-0.0003651674867251665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,-0.007202889889012772,0.003810947751774872,-0.014973717856363675,0.00023947898296366755,-0.01333156787149513,-0.0010577632117828321,-0.010884390093524182,-0.0033353613297081993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,-0.00817254315826263,0.0041653781200168966,-0.01654433598696419,0.0001117445247789661,-0.014660676187433304,-0.001367581113574567,-0.012217595069713177,-0.004251170807603435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,-0.010348922219481716,0.003503948918941129,-0.017796245946624042,-0.00387356904216553,-0.016150689504787395,-0.004930823944210171,-0.01409119462884853,-0.007142441727917253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,-0.0079440947861265,0.004626419760518172,-0.01723700029486995,0.0003329105919810616,-0.016168305129276833,-0.0010663632624713587,-0.013079878799963852,-0.003719882526994754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,-0.0075947547476924206,0.004506032614375864,-0.01631435820444379,0.0007107236739933142,-0.015310091101242065,-0.0004728650226571755,-0.012336384874101809,-0.003302310749701181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,-0.007061123001518966,0.004246090161903725,-0.014933698529157748,0.0012556547591680762,-0.013757613138497373,3.673121818264546e-5,-0.011191711469795073,-0.0029455042941798925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,-0.0042004015298398945,0.004880405406393638,-0.014347625841960636,0.0047873603628028364,-0.012780594190490683,0.0033350893928270624,-0.008966816242435999,0.0005879933650686659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,-0.010929270857553373,0.003999216656634025,-0.019706124714048465,-0.0035028420439869173,-0.017648772053180585,-0.004583947292219822,-0.01498587192242634,-0.007207626052041593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,-0.012547554145005194,0.004543072108511208,-0.02186265710930803,-0.004051650629720302,-0.02054092250388447,-0.005046323356965695,-0.017046285809170947,-0.008430975179878938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,-0.013312332569885392,0.005051551803627925,-0.02295993482190776,-0.003825647434439878,-0.021458128007764126,-0.005617268539452044,-0.018449439395701418,-0.008536438560446051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,-0.0052940982227850835,0.004449566255049776,-0.013858515583623453,0.003972816232851038,-0.012163759617867212,0.0021320079706429406,-0.009736514601255547,-0.0012452109660749434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,-0.00547573587094157,0.0047097390862953625,-0.014100809902907041,0.004203980095268577,-0.01248028169267849,0.00263883039589559,-0.010093498822893971,-0.0005750158299827795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,-0.007727049925109298,0.0046370401618433055,-0.01691067984347675,0.0015816412880729541,-0.015108448886717115,3.282357377614818e-5,-0.012284071095265124,-0.0030269169415600484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,-0.009603519379051632,0.004223334424207815,-0.01825210570652655,-0.0017246024240876441,-0.016258030761244078,-0.002429517383166055,-0.01378208108287689,-0.005545824063375725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,-0.010340672101776147,0.004745837346676513,-0.019284351492943923,-0.00026486558687116417,-0.01796460951020261,-0.0028658370834799226,-0.015312265077925736,-0.005774239080288726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,-0.012193754773503885,0.004603105432781391,-0.021023802305905618,-0.0029807978308566954,-0.019719996949716698,-0.004584220808303818,-0.01664946400012064,-0.00764800443596059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,-0.00851167211896308,0.004923086036157565,-0.018276279639163673,0.0001812277875176641,-0.016671353370466848,-0.0008976884910934901,-0.014072001195208001,-0.003765008746386872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,-0.009696843537223923,0.0044913411383103825,-0.018826853151463853,-0.0005821506826947742,-0.017344258834317557,-0.0023429508137868863,-0.014052430582192826,-0.005426476499385229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,-0.010574377603289952,0.005291665994270825,-0.02079055609256132,-0.00048482299889846805,-0.019748431857664527,-0.001861009009217542,-0.015566460770720068,-0.005113812337276863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,-0.01484731343593446,0.004988594666607744,-0.025421581714287447,-0.004645565430067242,-0.023072648196221207,-0.0060448541146279925,-0.019380191629407965,-0.010122548411133598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,-0.010744823648819672,0.0049685698082858176,-0.02016830958616887,-0.0012226460620290327,-0.018498829406082683,-0.002147074517880787,-0.01514496241243453,-0.0056055991584269636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,-0.007640422545428083,0.004945946315004778,-0.017332304171463878,0.0019157285330154684,-0.016025496813964823,0.0003072481556121799,-0.012615159168217654,-0.002538340031162689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,-0.014246198392864964,0.004678296632128946,-0.023546655453164186,-0.0060764403291388635,-0.021954069747529822,-0.006935582098834298,-0.018950223393323525,-0.009376194075406056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,-0.012281436913810239,0.005291669930237501,-0.022958882448762506,-0.00236283791326633,-0.021730202497097305,-0.003642254185492696,-0.017318008740004196,-0.007086280381201501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
