horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0026607223790438297,0.0033227440180666657,-0.009171575783598944,0.0036609451365981695,-0.008154180252849221,0.0026940966345007076,-0.005948029096353133,0.0005907179612871057
1,-0.00058056582087677,0.004329948009715735,-0.008919152807194429,0.00722782342738166,-0.007985368337949212,0.00636450805450687,-0.00520284698443432,0.0038086805002554677
2,-0.0014559470959006387,0.004463718323856876,-0.010786271277762216,0.007261227277683795,-0.009501623939669586,0.005691388834508669,-0.006310801572374647,0.0026569449182266246
3,-0.007824348870797172,0.004370712141405129,-0.01679043619613166,0.00034587534920468583,-0.015372130425460975,-0.0010114583156004718,-0.012573382818395458,-0.003675962368703608
4,-0.002983847368621453,0.00507436987564428,-0.012794642320545176,0.007144613489800295,-0.011225103774993932,0.005253314635102875,-0.007920601270104617,0.0020829458354048734
5,0.0009652740763490042,0.004993679153003345,-0.00831846375047663,0.011401831630518448,-0.007203455916646632,0.009076246981453645,-0.0038983245360020517,0.0060007809765226195
6,-0.0048329929120701064,0.004448250489853086,-0.014116887909038912,0.0037889004680835853,-0.012253548487365906,0.0020074640783792255,-0.00917030581910876,-0.0005401503683048775
7,-0.0023351338233176255,0.004845363986935898,-0.010849068857683422,0.007943130211995839,-0.009349189788152018,0.006350362512857559,-0.006914245498502475,0.002583131986918591
8,-0.006092873275383864,0.004476488630401277,-0.015156403650019298,0.0022309751671968467,-0.01327894085901623,0.000901908627438648,-0.010289131193383146,-0.001300537491076663
9,-0.0036470664890210372,0.004419790696535721,-0.012323807483504472,0.005834013804376736,-0.01074182216404712,0.003933045249888466,-0.007932053217339297,0.0006438816639571527
10,-0.0014693508175413841,0.004795344378869536,-0.010168498079768093,0.009174179260178422,-0.008619120340190837,0.007190907065762976,-0.0059549733642040165,0.003638480452530523
11,-0.006129537244105694,0.004136611643738576,-0.01415343495039977,0.0028094058514579025,-0.012692122306740498,0.0012063479303254365,-0.009703115297628812,-0.0018633818557109026
12,-0.002885579525950553,0.003796659690265392,-0.009983822547306363,0.0050125273637652325,-0.00833841474428965,0.0037310007350493256,-0.006295375482486387,0.0012873878827504173
13,-0.007778449972190115,0.004195858489297223,-0.0157336358408711,0.00020389983288545297,-0.015016852031089118,-0.0012083871252285862,-0.01216225541597376,-0.003801433943450551
14,-0.0028159384613410856,0.005004300229032619,-0.013244709958228006,0.007019330267544099,-0.010876134572931016,0.005552492940337309,-0.0077127262438019305,0.0018552606577831965
15,-0.009551176452339006,0.004168738837792774,-0.017848271996132894,-0.0013220876448317774,-0.016773082975152016,-0.0025059705674358593,-0.013915237724912667,-0.005704373462170658
16,0.0005622898591336316,0.004635159033257715,-0.008365730767419475,0.009487971355517183,-0.006758794106797915,0.008270224231835478,-0.0038268191135044085,0.00523376802247574
17,-0.008378719361564311,0.004620757653936244,-0.017567496168454242,0.00031472359473168896,-0.016446817929054582,-0.001429888596923672,-0.013405750920461151,-0.004121724621971299
18,-0.00655103843020193,0.0038853479696985987,-0.014418579213875855,0.0012463187308288121,-0.013074813245706115,-0.0006009569950757798,-0.010285519528965698,-0.0026931908368597224
19,-0.008318199764253428,0.00442068928846284,-0.017656432171472124,0.00030866795423256535,-0.01636588334446767,-0.0011876365456047924,-0.012138657702459386,-0.003959927703266508
20,-0.007055929511600038,0.0051864976130118765,-0.01729975256909576,0.003938504913395155,-0.015482418755983883,0.00158743584369958,-0.011940148988863484,-0.0017044739624870256
21,-0.004827200496050099,0.004192966358531154,-0.014208148825491634,0.0023295272058133634,-0.012271225755117316,0.0016779591763483922,-0.008749189307711555,-0.0008803517777289109
22,-0.009188792332724191,0.0050673218607031655,-0.01753278356438651,0.0010389480693778963,-0.01670545880057411,2.8469735348785784e-5,-0.014204979678990754,-0.00409207378051741
23,-0.003941876434303048,0.004582429172736932,-0.013012001822722557,0.0049085860860649715,-0.011535190881669651,0.0032901690397437906,-0.008530102346164666,0.00026850086634758424
24,-0.012138472586546864,0.004579656049732937,-0.022217933139601676,-0.0037231583509273877,-0.019974530994896413,-0.004884656439403296,-0.017158189215284836,-0.00785004835161648
25,-0.004380702357309348,0.004618361618964019,-0.013356860372292674,0.005113520664486606,-0.01168550186767983,0.0037719944059579507,-0.008853506418290802,0.00029426552279740995
