ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
1,Agriculture_forestry_fishing,0,-0.0038680877130845446,NaN,0.004281817675989919,0.312,false
1,Agriculture_forestry_fishing,1,-0.0005568638712374262,NaN,0.0043161542931520235,0.884,false
1,Agriculture_forestry_fishing,2,-0.0015150958132445788,NaN,0.004451339286507322,0.66,false
1,Agriculture_forestry_fishing,3,-0.007710954921732261,NaN,0.004409460161876559,0.068,false
1,Agriculture_forestry_fishing,4,-0.002745927451464943,NaN,0.005020867258447642,0.616,false
1,Agriculture_forestry_fishing,5,0.001292098968094048,NaN,0.00500284647302753,0.788,false
1,Agriculture_forestry_fishing,6,-0.004410513363041619,NaN,0.004463173650077731,0.332,false
1,Agriculture_forestry_fishing,7,-0.0020257899677780574,NaN,0.0048531060992403185,0.636,false
1,Agriculture_forestry_fishing,8,-0.00587383014361094,NaN,0.004533020984348006,0.212,false
1,Agriculture_forestry_fishing,9,-0.003577003587214983,NaN,0.004394820614945636,0.392,false
1,Agriculture_forestry_fishing,10,-0.001556583957901115,NaN,0.004780213293513896,0.808,false
1,Agriculture_forestry_fishing,11,-0.006303945841618857,NaN,0.004146344952130851,0.152,false
1,Agriculture_forestry_fishing,12,-0.0032581032776448247,NaN,0.003821993882399786,0.428,false
1,Agriculture_forestry_fishing,13,-0.008062945280995265,NaN,0.0042537831536093385,0.056,false
1,Agriculture_forestry_fishing,14,-0.002992967419585008,NaN,0.005034904933977416,0.52,false
1,Agriculture_forestry_fishing,15,-0.009680160667323936,NaN,0.004119851508349884,0.02,false
1,Agriculture_forestry_fishing,16,0.0005080572600464316,NaN,0.004731112330458772,0.92,false
1,Agriculture_forestry_fishing,17,-0.008261114047141874,NaN,0.004656271013630729,0.072,false
1,Agriculture_forestry_fishing,18,-0.006385527264851576,NaN,0.003879092491897567,0.096,false
1,Agriculture_forestry_fishing,19,-0.00800010950540714,NaN,0.004421640136969225,0.06,false
