horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.008270612532362269,0.004178345517050404,-0.016235544564724827,-0.0003141987566715843,-0.015425700177965783,-0.001817465886322464,-0.01237467217080856,-0.00424464212033897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-0.009557500638798476,0.003932509601025706,-0.016667873714222722,-0.0019279334953042123,-0.01590713264254038,-0.003308992587569736,-0.013424822432809125,-0.005421880345022212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-0.014555742624441337,0.0038786104070640203,-0.021907743846450556,-0.007153651734993233,-0.02054293697914121,-0.008409146813409823,-0.01814668320084661,-0.009966375992415044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,-0.010010844713691212,0.004269515735579892,-0.017769538238422502,-0.0011731314149865625,-0.016673615006334432,-0.0026332459328661296,-0.01417845292724349,-0.005572233989099323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,-0.008762909607365449,0.0037031411330169556,-0.01602748626662101,-0.0015282006742155043,-0.014743330838509408,-0.002395632814418189,-0.01233073150992797,-0.005398552875395307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,-0.006953500749262125,0.0041027482804133885,-0.015460424322183013,0.000218736156651295,-0.014150755385146284,-0.0009349724765929645,-0.011408886370282612,-0.0029497773517870416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,-0.005831758429412419,0.004538118550484842,-0.014825495059631856,0.0028960884493699013,-0.012916555918357083,0.0018212621408744169,-0.010527692890324562,-0.0014909624563475435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,-0.0036786496736259237,0.0036376059844262557,-0.010539396418781932,0.003725257372915211,-0.00973858149580447,0.002421184078687431,-0.007056946852970432,6.046696585363007e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,-0.007902229744654368,0.004158733484157414,-0.016817911179926655,-0.00033477008618511825,-0.015016866980509478,-0.0013060836590282957,-0.012198045564161718,-0.004159481975840965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,-0.011853837958435708,0.00554164413956946,-0.023421802309248743,-0.0015051206413651133,-0.022021153893520374,-0.0033040902351810604,-0.017893126207260933,-0.006660064232815403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
