horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0004566989063786473,0.004289528637338529,-0.008867036548251554,0.008075510381655061,-0.007242935820025698,0.006976077081887962,-0.004668779305523231,0.0035350864126317046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-0.008321526838197498,0.004411838982856049,-0.01638573611632575,0.00044677649659507194,-0.015421451868036815,-0.0008769605526358216,-0.012463009611004458,-0.003674801524044751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-0.0012309858985136593,0.005089330922132085,-0.010886644478334685,0.008382470904942225,-0.0097281982627531,0.0070975295769912005,-0.006074708820212685,0.004002030784675373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,-0.010507225244988115,0.0059609796794413755,-0.02163836737729964,0.0006460218818460019,-0.02003788325783594,-0.0012704782521486292,-0.01727014339324811,-0.004931756364713193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0.001633473625220441,0.005521415210345903,-0.009846829235094126,0.011510701167416,-0.008385769425318722,0.01006075304876745,-0.004071056612012686,0.006958410163438879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,-0.005171607017913142,0.005186826819934599,-0.015234956283205366,0.005045198401471437,-0.013778824172085223,0.003369952692879647,-0.01005823477724572,0.00027082421093333506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.0023364969687212677,0.005742160141722036,-0.008637583584444823,0.013618020745387885,-0.007604902754593036,0.011398070456997858,-0.0032557193990186803,0.008339887084286873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,-0.0013304011284658213,0.005719448205994742,-0.011615391097177706,0.010476241610938464,-0.010260834490661473,0.008199828592563371,-0.006853601716368886,0.004566809555153638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,-0.005616362382944538,0.005758285425883579,-0.01655055634815112,0.005260378679911457,-0.014660068754353809,0.0035886688506548766,-0.011764910417837478,-0.00017094620715490464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,0.002522711864473575,0.006156257459120767,-0.008634052810999044,0.014870270319554759,-0.007069200257945146,0.012810909908734,-0.003065942153421267,0.00904309207627945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,-0.002138054433939287,0.005933685222632029,-0.014365175278314718,0.010310576842998253,-0.011498662005639149,0.007820163383928484,-0.007688304463260675,0.0034060689796550814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,0.005465500417094672,0.005094249733796036,-0.0032833806436496525,0.01611806238593922,-0.0024937787515740806,0.014364962737178008,0.0006460438727686477,0.011149418593111244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,-0.004981360525322127,0.006189499056260172,-0.01588563623806301,0.007114037610490349,-0.014271482311219927,0.005987247291467974,-0.011324051219738823,0.0012870012339574039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,-0.003103812868277584,0.005899106729510615,-0.014675719946356747,0.007471068905345925,-0.012880751631809798,0.006442459067331075,-0.00900412942985605,0.002451107655941861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,0.001495719001176258,0.006117504489093327,-0.01057973997562281,0.013913798872670292,-0.008234700534607712,0.011477072539196252,-0.00431296451767474,0.0074854670849286474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0.006537708418530524,0.005386417762663122,-0.003964938083701905,0.01839391408657031,-0.001984699958939578,0.015471357518810189,0.0014790758710942075,0.012099049226874454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,-0.006874729891161958,0.0061074953587430285,-0.017812209884622773,0.005977844029837564,-0.016196255155685946,0.004194587407579793,-0.012435494538101723,-0.00036925872290719046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
