horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0005068087860747154,0.0001737008436708152,-0.0008719641597978734,-0.0002079131911661599,-0.0008370240919189321,-0.00026708897688768464,-0.0007160590106015089,-0.00036724468742635734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-7.607622889017408e-5,0.00015595281668540883,-0.00040554317595565886,0.00020162821657886037,-0.000341760654445593,0.0001523454271516713,-0.00026030954785500964,6.547918203627325e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-0.0002681878188578738,0.00016774508810300765,-0.0005738871329039596,6.118525246105658e-5,-0.0005274725445891949,2.913226813565537e-5,-0.0004389580255398979,-9.630164107670812e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,-0.000120663356660823,0.00015950225793281912,-0.00044328451569883244,0.00021547455709711497,-0.00035799059152389967,0.00015502226087596096,-0.0002621857724337134,3.7936976729633815e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,-0.00018802499466399281,0.00015306922799956552,-0.0004992440059163965,8.681897974884326e-5,-0.00043263955524181776,4.1236900236938085e-5,-0.00033707133785466356,-3.7929864929675965e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,-0.00010697796185151662,0.00016772517946652072,-0.0004513334949385211,0.00020648372672349617,-0.00040170476800849574,0.00016383414855148008,-0.0002642784410869461,6.0641426539656586e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,-0.00028421933410595443,0.00017550658523959823,-0.000612618962343687,7.343264030004233e-5,-0.0005639692871105263,1.2010657424397788e-5,-0.0004551420005095458,-0.00011951959930397616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5.5803658893732226e-5,0.00022472745416557543,-0.00040821237178565595,0.0004711928920344571,-0.00033402673154513335,0.0004130572368360054,-0.00016811350715097644,0.0002593353369446382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.00017419249613200976,0.0002001588099454204,-0.00021171727694686463,0.000569790969964284,-0.00016169623474883687,0.0004826859822411824,-2.6472448642124265e-5,0.00036562561709269873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,-8.886863845105617e-5,0.0001917391076540192,-0.00047028301400470196,0.00028086328536101716,-0.00043885080028382447,0.00022249648947559103,-0.0002874618318290864,9.003516313820846e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,-0.00013860494772980164,0.00020695565125002603,-0.0005654232189659706,0.00023705111999957202,-0.0004987331520665566,0.00019449043363241949,-0.00035705164781670544,4.8765087171021986e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,0.00012722561445501843,0.00020332903250586782,-0.0002721312552795344,0.0005075781890992541,-0.0002146565384064944,0.0004617334646775332,-6.426676326976615e-5,0.00032364137864592527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,-0.0001129518230849277,0.00020317860412933796,-0.0005226254070369461,0.00025298278634098875,-0.0004477994766530588,0.00021550276028726032,-0.00031192737113988606,8.606321990478409e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,-0.0001162508276850315,0.0002099156779908678,-0.0005461919862162216,0.00027991806532522894,-0.0004624198579296382,0.0002308981957652179,-0.00030869609704228584,8.24516832323175e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,-3.107194168261308e-5,0.00020968883568573386,-0.0004496359480106399,0.00035246091876181676,-0.0003993526109416251,0.00028233652640944436,-0.00025864904126954075,0.00016961011046786668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,-0.0001138082479482509,0.00020400161547552296,-0.0004854092620195525,0.00028430229266555905,-0.0004464217255057866,0.00023979800412190632,-0.00032808172734569597,8.832733973403096e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,-0.00010640545875386332,0.00022368639569177181,-0.0005544507398655896,0.0003264143978593034,-0.0004766966400522583,0.00025788309361508263,-0.00031183258840331176,0.0001109293653934578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.5184909717676758e-5,0.00020566166320177252,-0.00037893455650606875,0.0004114031723971163,-0.0003053608585245153,0.0003598262285264899,-0.00019833958606190608,0.00020817205294579893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,-7.643576533566844e-5,0.0001996806547890304,-0.000460024513938037,0.0002921350380295705,-0.00041094930601933745,0.00023125827901737092,-0.0002841201633253962,0.0001116333607814063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,-3.435111714150309e-5,0.00021210398168490844,-0.00045469535038528797,0.0003736273318393691,-0.000392825012505609,0.0003155372819816803,-0.0002539453136261851,0.00017617527968566372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,-9.126365591279278e-6,0.00024262996139802633,-0.0005252008163147473,0.0004669593769499636,-0.00041807922290154663,0.0004231653723733144,-0.00022282117921201375,0.0002355068123744439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,6.444544391837849e-6,0.00021603969201396892,-0.00037656712878646507,0.0004942741571337676,-0.00033169390015984004,0.0003721259503814573,-0.00019466235962096453,0.00023284222725661997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
