horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,0.0001466788308188128,0.00036671313301290745,-0.0005747464483890238,0.0008232348246836502,-0.00045886463377247636,0.0007459253616025577,-0.0001955943567017459,0.0005448210195986577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.0004445868038704126,0.000354075128381511,-0.00023862112301964005,0.0010634526160928574,-0.00015971548637940843,0.000995114721618788,6.557799575027119e-5,0.0008015583220634479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.00014772513456045192,0.00040612065412569257,-0.0006336171125691185,0.000966073723619263,-0.0005363466816104951,0.0008144103412874438,-0.00023429701076967916,0.0005714389606745875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.0005098940755295164,0.00039458196355351174,-0.00026442569338271213,0.001230812821158049,-0.00013109933234092648,0.001145203448760716,9.554660290585284e-5,0.0009123328442347612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0.0006149779145236401,0.00033341019705413047,-0.00010865758329322341,0.0011921098177743584,4.6227487596127214e-5,0.0011331308990190705,0.0002659928173335423,0.0009333928803025915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,7.1338247638260735e-6,0.00041511698826135403,-0.00087089070007634,0.0007359771651385611,-0.0007320669310137518,0.0006390343890234251,-0.00042808496019914704,0.000371871245424649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.0006680776594652261,0.00036402507145822267,-1.5634717841764556e-5,0.0013621726895650865,6.775226447305522e-5,0.00124471313263997,0.00028627656809360793,0.001037481554956149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5.6991420315489116e-5,0.00033885293712701715,-0.0005712364005014312,0.0007526051655238143,-0.0004680662804897825,0.0006277405259663229,-0.00029294672742938364,0.0003738111595217861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.00041280781404852976,0.00034928382393953355,-0.00022072296791507802,0.0011389144721987952,-0.0001350236108166727,0.0010167286740204598,6.99941546562416e-5,0.0007742860691076322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,4.3751285336362944e-5,0.000342689931479979,-0.0006657951619122014,0.0006759899933773414,-0.000542150361565026,0.0005945887268972615,-0.00028475729296866567,0.0003987816745899963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,-0.0003784639590660336,0.0003736220463276121,-0.0010238143592953852,0.00039913603857091786,-0.0008996718028201756,0.00031020819190267476,-0.0006988552116651502,6.878582395261957e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,0.00021736069712024152,0.00034054150069003693,-0.0004360831568337195,0.0009185872967031306,-0.00033600325527119456,0.000801836060133466,-0.00011151320390812913,0.0005544004102903989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,0.000509834177298365,0.00037191952387382297,-0.00022689248778995575,0.001256845346928473,-9.976275359456003e-5,0.0011182740839624057,0.00015918370236423909,0.0008671426293911182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,0.000752228052789481,0.0003677982907509125,-5.072010511764902e-5,0.0013844436308628322,3.386026456276872e-5,0.0012990544126161244,0.0003424544139070566,0.0010762622571780889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,0.0004528290022732967,0.00040252385768432694,-0.00039961674119691286,0.001267786813883977,-0.00021186071997012548,0.001063491379913198,5.8124528698011e-5,0.0007987826248096187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0.0003419209204244991,0.0003407687059201601,-0.0002912564272874866,0.000987856342605435,-0.0001742409398727227,0.0008965955479453087,-3.451712144419436e-5,0.0006660917095500933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,0.0004402247837869089,0.00041405470147359207,-0.00031386078217922146,0.0012677652060766867,-0.00019775381193194795,0.00113887374318312,3.914258430464428e-5,0.0008597900535727665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,0.00024762157207431723,0.00037287742546427587,-0.0005112553720330568,0.0009038087462776151,-0.00039739718139261704,0.0008367030549811542,-0.00014669369712561945,0.0006006215251003104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,0.0004064155552967034,0.00039536159944657587,-0.0003653645109746771,0.0011578957889186322,-0.0002598576691609956,0.0010276617748502968,3.001080936560291e-5,0.0007944895135967197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,0.0002246454893382254,0.0003952877390149629,-0.0005530273006944563,0.0010146202126245832,-0.0004384153685932538,0.00087682117004095,-0.00013584867804595518,0.0006238866392015232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,0.0003976442540922902,0.0003346015288710855,-0.00034813638954995574,0.001005377861200986,-0.00013192598669686163,0.0009032803544033771,6.651252512873665e-5,0.0007341561836832823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1.673291414198809e-5,0.00039992746276137773,-0.0007835022164390432,0.0008019386244251521,-0.0006872837850602057,0.000687681077318732,-0.00035620161083254345,0.0004430536066290895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,0.000280788444274721,0.0003884932138853507,-0.0005044278258156939,0.0010688916450468976,-0.0003222383917273533,0.0008873665081899191,-7.475885692012057e-5,0.0006801903547531352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,0.0003936454526683937,0.0004134277201285266,-0.0003200820594058795,0.0012017537385446294,-0.00023408924996666286,0.0010837507447949589,-1.0071688609415495e-5,0.0008336922467417233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,0.00014331169552760827,0.0004274142961308291,-0.0006851185615700606,0.000951633175004409,-0.000547754108341778,0.0008200996647806308,-0.000284719764871166,0.0005818782607457009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1.0417756433644198e-5,0.0003744176436519732,-0.0007144516155503876,0.0007274115802774217,-0.0005751771801906847,0.0005983340232752674,-0.00033640438927324103,0.0003970345672622852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,0.00036922313456729325,0.0004070776355316468,-0.00038947235792133523,0.001207615320663484,-0.0002854231502156395,0.0010504926459099376,-1.6522637266189673e-5,0.0007746261474826672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,0.0005834260472024506,0.0004075667731357814,-0.00013105255646287824,0.00142767873318538,-3.8857399844997645e-5,0.0012577218268271257,0.0002113360204190851,0.0010259990751866751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,-5.0308247192627485e-5,0.00041375596100696435,-0.0008345066794554043,0.0008233735681379644,-0.0007095459864465834,0.0006191780842036727,-0.0004330467983145145,0.00037377577215419363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,0.0003053897751675984,0.00034759927887237645,-0.00038701300486443943,0.0009523601337954671,-0.0002523095870277512,0.0008773426269644926,-2.5643299377909167e-5,0.0006550281072440341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,0.00013137947448831137,0.0004342886558321428,-0.0006974899453520008,0.0009686978155605173,-0.000548896284761109,0.0008168077358077385,-0.00033108159599437516,0.0005280890170433433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,0.00031814993784485683,0.0004079660209765869,-0.00040655230010573174,0.0011288902082130675,-0.00029616470459642,0.0010176623991371956,-4.503109845386617e-5,0.0007656282977364943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,0.0007237351589904241,0.00039322487016445244,-0.0001208174802319282,0.0015076567268721625,3.952493132354579e-5,0.0013637847862276156,0.0003551031618553083,0.0010609527027017928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,9.259245844085338e-5,0.00037239906500679236,-0.0005971567428427217,0.0008135895831115625,-0.0005063735404674188,0.0007002661156970781,-0.00028833644211015484,0.0004913900465336453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,0.0006102090485256362,0.00038908301224157557,-0.0001732720089085462,0.0013549254827030497,-8.561521604277253e-6,0.0012524604891398098,0.0002473262912046216,0.000987959024121251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.00034172253760643526,0.000405541859331707,-0.00042749985152049726,0.0010902655012342034,-0.00034077131691044214,0.0009973214839056426,-7.241730544121576e-5,0.000763514801026418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,0.00023935353281861904,0.0003776967074888113,-0.00040277515192784917,0.0010352861849317362,-0.0003145359105949161,0.000926734241669127,-8.745160258810317e-5,0.0006480234636078543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
