horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0004011816752152675,0.0005424990465315839,-0.0014359694943457983,0.0006266318155193763,-0.001263092858194247,0.0005384784876148348,-0.0009317301488339686,0.0001503018485644102
1,-0.0005624169301478673,0.0005924852779524313,-0.0017540102796687225,0.0005198131930047578,-0.001607951014409516,0.00039490244396123164,-0.0011402030578687588,4.458558695861093e-5
2,-0.0010860908598284806,0.0005351551427604526,-0.002183157996632169,-5.194523903265958e-5,-0.0020394440579204033,-0.0002393967620111398,-0.001623933387542864,-0.0005769057532358587
3,-0.0005516180576979587,0.0004987623001229233,-0.0014264433434567488,0.0004675618845629511,-0.0013146598854006412,0.0002926744230747221,-0.0010404823697506872,-1.9810720374080298e-5
4,-0.0009656436623102662,0.000529015680571821,-0.001991418716985697,2.1997793513086798e-5,-0.001813909470664302,-0.00011513041561881804,-0.0014980441612396634,-0.0004200195014990713
5,-0.0007305561244889096,0.00046117218908718795,-0.001613023269314312,0.00022268373652785357,-0.0014573746400895768,4.4045003513569e-5,-0.0011442583579765438,-0.00023773230663491428
6,-0.00019085973201887595,0.0005504549198211659,-0.0012601460302500709,0.0008600972517826003,-0.001104636859455119,0.0007641287362911533,-0.0007060184343857628,0.000345098575598518
7,-0.0006084777393490958,0.00048507897417579006,-0.0014981534052333095,0.00034004076862055696,-0.0014081149403500832,0.0001734655126545377,-0.0011076005907082024,-0.00010705367121401245
8,-0.0004778281521842899,0.000539151768540625,-0.0015405349840689599,0.0005183593611097121,-0.0013504397834158694,0.0003719974197281644,-0.0010429673137496661,6.025900856827839e-5
9,-0.0005642649700655485,0.0005122724685655448,-0.0015986691992347611,0.0004131179352453925,-0.001408936912016007,0.00023655305891629315,-0.0010672660852137248,-4.580570808006308e-5
10,-0.0006214504111385785,0.0005280031055489359,-0.0017102476607309715,0.00033638268694077264,-0.0015190507676215224,0.0002072860826306714,-0.001161731869662667,-5.9914578266859455e-5
11,-0.00044605728945968303,0.0004718124776171662,-0.0013856386398269367,0.0004715408641453419,-0.001200796564613581,0.000387294728460153,-0.0008817919720998742,1.910713756304145e-5
12,-0.0008564583483874407,0.0006085193524894132,-0.002002321953772973,0.0003112951268879698,-0.0018851692263405907,0.00015997558323233954,-0.0014920927320787706,-0.00027264459783697816
13,-0.00020684636477877045,0.0006120772925594821,-0.0013162072813198565,0.000977974364658746,-0.0012043909815954712,0.0007749841084642342,-0.0008138707215922848,0.000404560633998575
14,-0.00011991627005032551,0.0006067433108974865,-0.0013030113845060357,0.0009803740298803712,-0.001134346529692172,0.0008457191074857813,-0.0007498816533503098,0.0004996415355502167
15,-0.0003983482139529833,0.0005864131389182259,-0.0015773502632161263,0.000843337216317642,-0.0013333930331239313,0.0006823853746679273,-0.000870477006164803,0.00021380346590355265
16,-0.0008744844893523809,0.0005963639937447779,-0.0019933443138822476,0.0003984406733697655,-0.0017940371222014855,0.00013016380978307545,-0.0013920545988848905,-0.00024263634665777273
17,-0.0014116462919348837,0.0005220109752672121,-0.0023850957956884464,-0.00039643639869616014,-0.0022623284486181566,-0.0005510714099576258,-0.0018767198892497214,-0.0008339058157602716
18,-0.0005325153495605225,0.0005547361928320358,-0.0016483262650818231,0.0005612625667186881,-0.0014035691996102135,0.00040055535871443346,-0.0010327360270195015,5.3094919394157354e-5
19,-0.0007875067901166209,0.0005619098507769637,-0.0018814143334727358,0.00045417578982407894,-0.001688280668475395,0.00018919738402510165,-0.001269282618438726,-0.00022310433704260098
20,-0.0004823767922584594,0.0005709853495134402,-0.0016403416510924205,0.0005878784735350094,-0.0014076707117621466,0.00046954407519849523,-0.0010379837781763527,0.00012665336489699362
21,-0.0008539881395370249,0.0006410591287058807,-0.00219340800917308,0.00037261918503248275,-0.0018784508762120268,0.00017366763025890585,-0.0015099929393192863,-0.00020710376810877346
22,-0.0007620349853531858,0.000549643861804417,-0.001726242541727757,0.00028706418443208296,-0.0016377470972359688,0.0001503411773878358,-0.0012747936987940777,-0.00020286900064698317
23,-0.00030293339784309936,0.0006357797935680772,-0.0014585280176006449,0.0010133763674309393,-0.001187490003271776,0.0008125684555188629,-0.0008349550789960416,0.000396929757125279
24,0.0002043618942421713,0.0005941408978397266,-0.0009289730943061632,0.001371024498488075,-0.0007577477039827152,0.0011873817120049346,-0.00041824077425609875,0.0007615132254670409
25,0.0003127547914430619,0.0005625117897216469,-0.0008216388490061719,0.0014479265937733252,-0.0006188076007178008,0.0012255920588415412,-0.00018248147806311038,0.000910259154082114
26,0.00014993548646995272,0.0005449748703224509,-0.0010283281097649432,0.001183936671022099,-0.000888357115943229,0.0009610965723284684,-0.0003934079285795679,0.0006687287020810727
27,-0.00022547970264087176,0.0005835200094508636,-0.0014773235666614899,0.0008347379550730312,-0.0012091035514740383,0.0006762034088035021,-0.0008284569139153558,0.00031314210875968635
28,-0.001111682092825389,0.0005174076076140997,-0.0021099228927150037,-0.00017849906976645285,-0.0019455647535617626,-0.00028204418512826256,-0.0016710345991144658,-0.0005795126995339528
29,-8.69704135281334e-5,0.0005730808635290128,-0.0011602702512234324,0.0010483465089376957,-0.000979674689930596,0.0008919123869042977,-0.000633129269789804,0.0005652754617777061
30,-0.0009513345068015342,0.0005727807544964723,-0.0020666351907952267,0.00016075826090734764,-0.001915861943104507,-3.0047187985652834e-5,-0.0015156253410260247,-0.0003641672585872682
31,0.00018899130520177047,0.0005568892922946817,-0.0009677165760631351,0.0012626828471493444,-0.000804590363558308,0.0010728445157260546,-0.0003363078381373967,0.0007457753848840942
32,-0.0005880845003674897,0.0005811647685765326,-0.0016755978078445185,0.0005965516795599776,-0.0015112821702333325,0.0004081880809265332,-0.0011590386328025057,-4.2854708894508414e-7
33,-0.0006628697122726348,0.0006504824783570216,-0.0018868171271410271,0.0006305356725797241,-0.001668503447513899,0.0004363854911185959,-0.001300221057024663,1.0809044770003054e-5
34,-0.00024142542710237915,0.0005214970204923988,-0.0012060307409097824,0.0008500048859353858,-0.0010176493045347373,0.0006091016466796323,-0.0007226379723213233,0.00033459574368846696
35,-0.0002123913833218559,0.0005228728866964081,-0.001148569306734767,0.0007721784204362562,-0.0010100670434529649,0.0006728784357188036,-0.0007310136909791433,0.0003214480138979464
36,0.0002478901603637344,0.0005846027633374539,-0.0008842332418846666,0.0013544741685967531,-0.000710442803592429,0.0011629115420089735,-0.0003387190124454697,0.0008222557002708653
