ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
1,Agriculture_forestry_fishing,0,-0.00026426815972718456,NaN,0.00015636742117689363,0.056,false
1,Agriculture_forestry_fishing,1,4.49602439496119e-5,NaN,0.00017133643285681722,0.792,false
1,Agriculture_forestry_fishing,2,-9.937768912704818e-5,NaN,0.0001687819790226432,0.62,false
1,Agriculture_forestry_fishing,3,0.0001979180893968358,NaN,0.0001766460116102447,0.26,false
1,Agriculture_forestry_fishing,4,0.00011368819355438599,NaN,0.00018998400437863794,0.564,false
1,Agriculture_forestry_fishing,5,-5.1231632149532886e-5,NaN,0.00017460736517778207,0.756,false
1,Agriculture_forestry_fishing,6,-9.278228416039487e-5,NaN,0.0001708689021777539,0.668,false
1,Agriculture_forestry_fishing,7,-0.00021246486644037435,NaN,0.00014881407218108117,0.14,false
1,Agriculture_forestry_fishing,8,-8.016653725615335e-5,NaN,0.00016319122096839777,0.616,false
1,Agriculture_forestry_fishing,9,-0.00015637605671621656,NaN,0.00014682691660890165,0.316,false
1,Agriculture_forestry_fishing,10,-0.000116836389710306,NaN,0.00015652624250524314,0.552,false
1,Agriculture_forestry_fishing,11,-0.00011806598094533953,NaN,0.00013845810620731152,0.44,false
1,Agriculture_forestry_fishing,12,-8.029119985513354e-5,NaN,0.00015613667946395252,0.652,false
1,Agriculture_forestry_fishing,13,7.481702279741256e-5,NaN,0.00016275395786317302,0.676,false
1,Agriculture_forestry_fishing,14,1.3823133893452151e-6,NaN,0.00018640123676648526,0.908,false
1,Agriculture_forestry_fishing,15,0.00018523445205030284,NaN,0.00016764296306791534,0.256,false
1,Agriculture_forestry_fishing,16,8.431423794171588e-5,NaN,0.00018542397412465303,0.552,false
1,Agriculture_forestry_fishing,17,-7.672243511101227e-5,NaN,0.00017224544994118166,0.7,false
1,Agriculture_forestry_fishing,18,-0.00018831906032902088,NaN,0.00018330396323436283,0.36,false
1,Agriculture_forestry_fishing,19,-4.2374744240757785e-5,NaN,0.00017260181115851564,0.82,false
1,Agriculture_forestry_fishing,20,-0.00027087259866722513,NaN,0.0001663696075463712,0.14,false
1,Agriculture_forestry_fishing,21,-0.00015795268428642618,NaN,0.00015015106215231322,0.364,false
1,Agriculture_forestry_fishing,22,-0.00015267566840403778,NaN,0.00018882114382845868,0.428,false
1,Agriculture_forestry_fishing,23,-0.00014190536274943856,NaN,0.0001660719007355393,0.476,false
1,Agriculture_forestry_fishing,24,-6.95567396146334e-5,NaN,0.00015364885519356176,0.628,false
1,Agriculture_forestry_fishing,25,0.00020080156052882213,NaN,0.00017895482434095126,0.292,false
1,Agriculture_forestry_fishing,26,0.0001698015883774113,NaN,0.00020033099983311203,0.368,false
1,Agriculture_forestry_fishing,27,3.070748059563196e-5,NaN,0.00018741761855005286,0.748,false
1,Agriculture_forestry_fishing,28,7.153000261718072e-5,NaN,0.00021770272849463152,0.688,false
1,Agriculture_forestry_fishing,29,-9.629083244134365e-5,NaN,0.0002204630740014476,0.66,false
1,Agriculture_forestry_fishing,30,-8.317245586218145e-5,NaN,0.00018211015216672389,0.708,false
1,Agriculture_forestry_fishing,31,-0.00021607444520275616,NaN,0.00015824305220298482,0.228,false
1,Agriculture_forestry_fishing,32,-6.637774003448643e-5,NaN,0.00016214219316605384,0.68,false
1,Agriculture_forestry_fishing,33,-0.0002143571971166497,NaN,0.0001752723211882843,0.264,false
1,Agriculture_forestry_fishing,34,-1.0065748494129452e-5,NaN,0.00018981383522481953,0.984,false
1,Agriculture_forestry_fishing,35,2.2330513278192116e-5,NaN,0.00018596472705989777,0.84,false
1,Agriculture_forestry_fishing,36,0.0002706492898306457,NaN,0.00020519693289934585,0.188,false
2,Mining,0,-0.0005068087860747154,NaN,0.0001737008436708152,0.0,true
2,Mining,1,-7.607622889017408e-5,NaN,0.00015595281668540883,0.628,false
2,Mining,2,-0.0002681878188578738,NaN,0.00016774508810300765,0.128,false
2,Mining,3,-0.000120663356660823,NaN,0.00015950225793281912,0.504,false
2,Mining,4,-0.00018802499466399281,NaN,0.00015306922799956552,0.196,false
2,Mining,5,-0.00010697796185151662,NaN,0.00016772517946652072,0.492,false
2,Mining,6,-0.00028421933410595443,NaN,0.00017550658523959823,0.132,false
2,Mining,7,5.5803658893732226e-5,NaN,0.00022472745416557543,0.86,false
2,Mining,8,0.00017419249613200976,NaN,0.0002001588099454204,0.42,false
2,Mining,9,-8.886863845105617e-5,NaN,0.0001917391076540192,0.632,false
2,Mining,10,-0.00013860494772980164,NaN,0.00020695565125002603,0.46,false
2,Mining,11,0.00012722561445501843,NaN,0.00020332903250586782,0.536,false
2,Mining,12,-0.0001129518230849277,NaN,0.00020317860412933796,0.652,false
2,Mining,13,-0.0001162508276850315,NaN,0.0002099156779908678,0.508,false
2,Mining,14,-3.107194168261308e-5,NaN,0.00020968883568573386,0.928,false
2,Mining,15,-0.0001138082479482509,NaN,0.00020400161547552296,0.56,false
2,Mining,16,-0.00010640545875386332,NaN,0.00022368639569177181,0.584,false
2,Mining,17,1.5184909717676758e-5,NaN,0.00020566166320177252,1.0,false
2,Mining,18,-7.643576533566844e-5,NaN,0.0001996806547890304,0.728,false
2,Mining,19,-3.435111714150309e-5,NaN,0.00021210398168490844,0.852,false
2,Mining,20,-9.126365591279278e-6,NaN,0.00024262996139802633,1.0,false
2,Mining,21,6.444544391837849e-6,NaN,0.00021603969201396892,0.944,false
2,Mining,22,-7.0858524099329e-5,NaN,0.00019722637556054146,0.728,false
2,Mining,23,-0.0001538233937980374,NaN,0.00023299586832192898,0.576,false
2,Mining,24,-0.00016268255577747855,NaN,0.00024098023915482595,0.476,false
2,Mining,25,-2.297524873682676e-5,NaN,0.00024265071505311035,1.0,false
2,Mining,26,6.539344583746797e-5,NaN,0.0002563864547851386,0.792,false
2,Mining,27,-9.471495868090811e-5,NaN,0.0002487232153077252,0.692,false
2,Mining,28,8.23215345325989e-6,NaN,0.00022605184377874063,0.872,false
2,Mining,29,2.2147995950971972e-5,NaN,0.00023356503985470773,0.896,false
2,Mining,30,-0.00012798778719699211,NaN,0.00027036549892242367,0.708,false
2,Mining,31,-7.70925311150996e-5,NaN,0.0002489878590675714,0.748,false
2,Mining,32,1.543826842094306e-5,NaN,0.0002599436649601948,0.968,false
2,Mining,33,6.586003471593117e-6,NaN,0.0002545355310864333,0.98,false
2,Mining,34,-0.00021052408292927092,NaN,0.0002533478391702948,0.44,false
2,Mining,35,6.018432571147479e-5,NaN,0.00026761820430076013,0.776,false
2,Mining,36,-5.522168821688915e-5,NaN,0.0003120859604268207,0.84,false
3,Construction,0,8.568339569900417e-6,NaN,0.00045335617835659504,0.996,false
3,Construction,1,0.0005826770010740228,NaN,0.0004147293377853405,0.116,false
3,Construction,2,0.000810799268806631,NaN,0.0003883046424066405,0.028,false
3,Construction,3,0.0006626892834818384,NaN,0.00043156732691603363,0.148,false
3,Construction,4,0.000201286264962675,NaN,0.0004786213009053947,0.66,false
3,Construction,5,0.00042248414222585196,NaN,0.0004948353543263973,0.432,false
3,Construction,6,0.0008890691614559442,NaN,0.0004625534029829653,0.048,false
3,Construction,7,8.383632056511722e-5,NaN,0.0005165056628549314,0.888,false
3,Construction,8,0.0007853199095651411,NaN,0.0004895046517481674,0.1,false
3,Construction,9,0.00043557157838327193,NaN,0.0004537349084176307,0.32,false
3,Construction,10,0.00039257796182540504,NaN,0.00045045089459042276,0.372,false
3,Construction,11,0.0005130893544318392,NaN,0.0004286785073512265,0.2,false
3,Construction,12,0.0005121246736397605,NaN,0.0005460040455001922,0.4,false
3,Construction,13,0.0003614081209506452,NaN,0.0004875182505737843,0.46,false
3,Construction,14,0.0006060805909572462,NaN,0.000560321843343273,0.256,false
3,Construction,15,0.0003100476406746107,NaN,0.0005582315017199145,0.604,false
3,Construction,16,0.00042192225183611243,NaN,0.0006544678250420528,0.548,false
3,Construction,17,0.00016655949306577662,NaN,0.0005938579109665256,0.88,false
3,Construction,18,0.0007220762466762435,NaN,0.0005650920281302967,0.212,false
3,Construction,19,-0.00011085804407789277,NaN,0.0007091659235596371,0.84,false
3,Construction,20,0.00046594557093184103,NaN,0.0006711437504893334,0.544,false
3,Construction,21,5.813510997734129e-5,NaN,0.0006279343733809429,0.904,false
3,Construction,22,0.0001575407582167945,NaN,0.0005962132082609506,0.812,false
3,Construction,23,7.376719191519181e-5,NaN,0.0005958924848123219,0.864,false
3,Construction,24,0.0003083346070233663,NaN,0.0007136207989398734,0.676,false
3,Construction,25,-0.00033410476893368154,NaN,0.0006535214818659816,0.608,false
3,Construction,26,0.00014745825159927722,NaN,0.0006307139623892154,0.932,false
3,Construction,27,0.0006662216821652302,NaN,0.0007262422959602169,0.38,false
3,Construction,28,0.000586672078607495,NaN,0.000710518048518287,0.412,false
3,Construction,29,0.00022466056564529553,NaN,0.0007318503450788123,0.7,false
3,Construction,30,0.0001827390743552271,NaN,0.0006394301891285069,0.712,false
3,Construction,31,-0.00033769245902134503,NaN,0.0007788430990237242,0.668,false
3,Construction,32,-0.00018038780232673885,NaN,0.0007976972611275959,0.872,false
3,Construction,33,-0.00022597934135810282,NaN,0.0008071270035369638,0.78,false
3,Construction,34,0.00013879461944997523,NaN,0.0006657159372567997,0.82,false
3,Construction,35,-0.0004736079222186467,NaN,0.0007266717530730077,0.5,false
3,Construction,36,0.00036026446870025206,NaN,0.0007652262522777503,0.644,false
4,Manufacturing_nondurable,0,0.0001466788308188128,NaN,0.00036671313301290745,0.704,false
4,Manufacturing_nondurable,1,0.0004445868038704126,NaN,0.000354075128381511,0.252,false
4,Manufacturing_nondurable,2,0.00014772513456045192,NaN,0.00040612065412569257,0.62,false
4,Manufacturing_nondurable,3,0.0005098940755295164,NaN,0.00039458196355351174,0.212,false
4,Manufacturing_nondurable,4,0.0006149779145236401,NaN,0.00033341019705413047,0.096,false
4,Manufacturing_nondurable,5,7.1338247638260735e-6,NaN,0.00041511698826135403,1.0,false
4,Manufacturing_nondurable,6,0.0006680776594652261,NaN,0.00036402507145822267,0.06,false
4,Manufacturing_nondurable,7,5.6991420315489116e-5,NaN,0.00033885293712701715,0.864,false
4,Manufacturing_nondurable,8,0.00041280781404852976,NaN,0.00034928382393953355,0.252,false
4,Manufacturing_nondurable,9,4.3751285336362944e-5,NaN,0.000342689931479979,0.872,false
4,Manufacturing_nondurable,10,-0.0003784639590660336,NaN,0.0003736220463276121,0.388,false
4,Manufacturing_nondurable,11,0.00021736069712024152,NaN,0.00034054150069003693,0.536,false
4,Manufacturing_nondurable,12,0.000509834177298365,NaN,0.00037191952387382297,0.152,false
4,Manufacturing_nondurable,13,0.000752228052789481,NaN,0.0003677982907509125,0.084,false
4,Manufacturing_nondurable,14,0.0004528290022732967,NaN,0.00040252385768432694,0.264,false
4,Manufacturing_nondurable,15,0.0003419209204244991,NaN,0.0003407687059201601,0.376,false
4,Manufacturing_nondurable,16,0.0004402247837869089,NaN,0.00041405470147359207,0.288,false
4,Manufacturing_nondurable,17,0.00024762157207431723,NaN,0.00037287742546427587,0.54,false
4,Manufacturing_nondurable,18,0.0004064155552967034,NaN,0.00039536159944657587,0.28,false
4,Manufacturing_nondurable,19,0.0002246454893382254,NaN,0.0003952877390149629,0.528,false
4,Manufacturing_nondurable,20,0.0003976442540922902,NaN,0.0003346015288710855,0.212,false
4,Manufacturing_nondurable,21,1.673291414198809e-5,NaN,0.00039992746276137773,0.956,false
4,Manufacturing_nondurable,22,0.000280788444274721,NaN,0.0003884932138853507,0.432,false
4,Manufacturing_nondurable,23,0.0003936454526683937,NaN,0.0004134277201285266,0.328,false
4,Manufacturing_nondurable,24,0.00014331169552760827,NaN,0.0004274142961308291,0.748,false
4,Manufacturing_nondurable,25,1.0417756433644198e-5,NaN,0.0003744176436519732,0.956,false
4,Manufacturing_nondurable,26,0.00036922313456729325,NaN,0.0004070776355316468,0.348,false
4,Manufacturing_nondurable,27,0.0005834260472024506,NaN,0.0004075667731357814,0.132,false
4,Manufacturing_nondurable,28,-5.0308247192627485e-5,NaN,0.00041375596100696435,0.988,false
4,Manufacturing_nondurable,29,0.0003053897751675984,NaN,0.00034759927887237645,0.356,false
4,Manufacturing_nondurable,30,0.00013137947448831137,NaN,0.0004342886558321428,0.852,false
4,Manufacturing_nondurable,31,0.00031814993784485683,NaN,0.0004079660209765869,0.38,false
4,Manufacturing_nondurable,32,0.0007237351589904241,NaN,0.00039322487016445244,0.088,false
4,Manufacturing_nondurable,33,9.259245844085338e-5,NaN,0.00037239906500679236,0.8,false
4,Manufacturing_nondurable,34,0.0006102090485256362,NaN,0.00038908301224157557,0.104,false
4,Manufacturing_nondurable,35,0.00034172253760643526,NaN,0.000405541859331707,0.408,false
4,Manufacturing_nondurable,36,0.00023935353281861904,NaN,0.0003776967074888113,0.464,false
5,Manufacturing_durable,0,0.0007433200442316598,NaN,0.00045770663510137616,0.108,false
5,Manufacturing_durable,1,0.00017386252882103289,NaN,0.0004257576398640492,0.712,false
5,Manufacturing_durable,2,0.0001107601544329096,NaN,0.0004738009867315036,0.752,false
5,Manufacturing_durable,3,0.0006165828086842213,NaN,0.0005132073949945297,0.22,false
5,Manufacturing_durable,4,0.0005196708682623732,NaN,0.0004652228348505935,0.244,false
5,Manufacturing_durable,5,-0.0002531173041912349,NaN,0.0005462054479531738,0.632,false
5,Manufacturing_durable,6,0.0004661008268320895,NaN,0.0005198574663881439,0.34,false
5,Manufacturing_durable,7,-0.0003974490364271438,NaN,0.0005625573580323777,0.556,false
5,Manufacturing_durable,8,0.00036268566887178724,NaN,0.000585503728576757,0.488,false
5,Manufacturing_durable,9,0.0007402039951288895,NaN,0.0005763275876249938,0.212,false
5,Manufacturing_durable,10,0.00026818884454089375,NaN,0.0006073335044411791,0.624,false
5,Manufacturing_durable,11,-6.985671988697228e-5,NaN,0.0005383425531405266,0.844,false
5,Manufacturing_durable,12,-0.0004447522271491473,NaN,0.0005023324670181511,0.368,false
5,Manufacturing_durable,13,0.00036779643625579656,NaN,0.0005542216797501974,0.536,false
5,Manufacturing_durable,14,0.00013510303380204506,NaN,0.0005632617585296555,0.776,false
5,Manufacturing_durable,15,-4.344898430204814e-5,NaN,0.0006383993562836787,0.9,false
5,Manufacturing_durable,16,-0.00040531865093830483,NaN,0.0005875884443077378,0.436,false
5,Manufacturing_durable,17,-0.00014010615747242494,NaN,0.0006341303528586685,0.832,false
5,Manufacturing_durable,18,-9.566620159004277e-5,NaN,0.0006328026231950547,0.88,false
5,Manufacturing_durable,19,-0.0002450441336632102,NaN,0.0006180900154891789,0.592,false
5,Manufacturing_durable,20,-8.298857034890382e-5,NaN,0.0006207964813685699,0.92,false
5,Manufacturing_durable,21,-0.0003019559110942436,NaN,0.0006380523233996897,0.66,false
5,Manufacturing_durable,22,-3.0103093723654397e-5,NaN,0.0006477795348029215,1.0,false
5,Manufacturing_durable,23,-0.00048817622920360667,NaN,0.0006757195163756001,0.464,false
5,Manufacturing_durable,24,-0.0005049832847960594,NaN,0.0007164618896564177,0.428,false
5,Manufacturing_durable,25,0.0005163510805443989,NaN,0.000653811007751295,0.428,false
5,Manufacturing_durable,26,2.730686695490165e-5,NaN,0.0006561359972194593,0.904,false
5,Manufacturing_durable,27,-5.0926177041537965e-5,NaN,0.000544249477735485,0.944,false
5,Manufacturing_durable,28,5.6220139542894465e-5,NaN,0.0006143804611968629,0.864,false
5,Manufacturing_durable,29,-0.0009074613587049562,NaN,0.0006568659243464908,0.144,false
5,Manufacturing_durable,30,0.0003479226004384466,NaN,0.0006986672216349818,0.528,false
5,Manufacturing_durable,31,0.0003954961449592862,NaN,0.0007144696882476193,0.612,false
5,Manufacturing_durable,32,0.0003449313150647083,NaN,0.0006561219548408872,0.592,false
5,Manufacturing_durable,33,-3.796407121427015e-5,NaN,0.0006308666764649775,0.932,false
