horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.006746346642030838,0.0065355857443258145,-0.02041875490790765,0.004686132523438654,-0.018365266532721768,0.003444147796338623,-0.013795104700910768,-0.00107366986066423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.006355996941193176,0.0071374891628815836,-0.008055974991849249,0.01913884659441967,-0.006110319194226541,0.017949388929807027,-0.0012838164292818873,0.012893622767083363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.008030262215982837,0.00794018421259677,-0.008517641768796515,0.023499044953287147,-0.005106094467348954,0.020362274189239242,-0.0006085852085867769,0.015087439670884474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.0022754521651457533,0.006812792575143646,-0.01213439625858031,0.01467862864117762,-0.010002103408740732,0.012544041476493085,-0.004902697111320934,0.008743355691000525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0.0055056245714750875,0.006390124194632647,-0.007595494876859836,0.017875572368160716,-0.004931462057888545,0.016099223295299513,-0.0005063412639620634,0.011513767719896756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0.01034147504488981,0.007483450200397124,-0.004244236032408762,0.025174581431385123,-0.002471596384562238,0.022119880854759418,0.002500088910639129,0.017418888861156296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.00937545367817642,0.0069889391687394725,-0.004268285053975003,0.022463059553528952,-0.0022838808236873864,0.020266589081332054,0.002178130785430041,0.016138431168191116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.00022570603364617826,0.007897054734461648,-0.015074072391568806,0.014778558508419519,-0.013248425106296457,0.013488693333511095,-0.007678715333302808,0.007899556021420031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.010972344841555317,0.0075146513715937495,-0.0042962776205758,0.025142758362854373,-0.0018759284838290235,0.023125553689069222,0.003806010503225646,0.018519723545018987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,0.009877069328577787,0.00665014643724048,-0.005666611742643118,0.02172183204099945,-0.00224321814859664,0.01947135261383824,0.0030728835050896027,0.015819097852332223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.004276790244243046,0.007461369533541509,-0.011631612472897505,0.018309993315589964,-0.0085707927077912,0.015970235549121945,-0.00423872034475198,0.010704223986477322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,0.0012284384496086343,0.008193420670458456,-0.014689571403711991,0.017294331880052714,-0.012002324383036837,0.014685988358317878,-0.008085840692001299,0.008975947309677532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,0.0034973946347868893,0.006540847169502999,-0.009658661330387501,0.015700386365421516,-0.0073745830648328905,0.014394021775190197,-0.00304572889676306,0.01016494677219428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,0.01657023284662024,0.006792714937040712,0.0023266002674585786,0.028909635880022655,0.0038659819100902845,0.026126145751560324,0.009103703051994714,0.022398487704707874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,-0.0016310331374403276,0.0068177587052385925,-0.01659869088228198,0.009739774206473943,-0.013746553570480706,0.008312658516181506,-0.009098452751016426,0.00432105998987781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0.0001110667491357406,0.0062938889720753465,-0.012830003493143173,0.012180372455432,-0.011171952382687951,0.009898823476878428,-0.0062183079104586765,0.0064171063498817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,0.007516641210492699,0.007019730720632242,-0.00518807967387787,0.02131346743236668,-0.003215717192946249,0.019669657031952587,0.0008967500938614004,0.015125392742019125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,0.007274188658602072,0.007205047971691706,-0.006935273251153496,0.02097150215943114,-0.004813814006408573,0.018494099235369613,-0.00045925150226381565,0.01473981779792483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,0.002660217579888763,0.006771656672897334,-0.011264334637828832,0.01431715494685193,-0.00888386741826558,0.012928274142021103,-0.004482070042590801,0.009304941713270714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,0.0032285022035422792,0.006871066684511521,-0.010506237205060397,0.015538834185391287,-0.008385741233499399,0.014049591100590526,-0.004474069707177664,0.009831249104029376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,-0.002983022291370011,0.007157154054241163,-0.017669278253795103,0.01009948056353082,-0.014827458153950366,0.008254442775127187,-0.010431114938511649,0.0037070767311369723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,0.012894572124646855,0.007186743374058707,-0.0016554884286578398,0.0259004271530565,0.0013434438335328638,0.02394219576323632,0.0052535151122962195,0.019871765229473246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,0.005336825632534452,0.008303352192831768,-0.010744515081615858,0.02046164732000989,-0.009138932680165081,0.01831116196548311,-0.003216225995251779,0.012954320130284688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,0.012678259010244202,0.007699819322719703,-0.002900903255168224,0.02763699963530388,-0.0005844888997441074,0.02515853404731389,0.005450755307866839,0.02052923287600086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,0.013267405522308585,0.007074500237457773,-0.0010689463249914117,0.02576263460371504,0.0005054914259168422,0.02385678264398089,0.005526270733004674,0.01986730088293633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,0.0070389423700145575,0.0064701380861317635,-0.004888313677446494,0.020074132340476968,-0.00256065957543335,0.018291225295589235,0.0017317490257255034,0.014823270303923688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,0.010110961535139063,0.007839389262945367,-0.005681291907027633,0.02565264258173716,-0.0038760510283702763,0.022506594851855848,0.001904032316743956,0.017652578352011016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,0.01192841549517517,0.007708745880710967,-0.006579431695673177,0.02526058672719076,-0.0016641784752743506,0.0229691440397251,0.004047710477878568,0.01826126754696601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,0.013188542141205259,0.007453378839217785,-0.0017515367219045931,0.02702882063921469,0.0007005088926744,0.025381522742912527,0.005438881764462184,0.020771411294613736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,0.01196965143447129,0.006472218602847162,-0.00046180105386035137,0.02594154050421329,0.0015284793111580096,0.02250364919554757,0.005929795486667204,0.018461934138928764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,0.010172524589645382,0.006585283180510815,-0.00401036795923066,0.02209377022032849,-0.0017529306941043163,0.020433514486881906,0.003348416823018412,0.016508388909015844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,0.007187456831298094,0.006740052830144145,-0.006342711519703159,0.019556558020342805,-0.00456444721607009,0.017588394544747837,-0.00032053333515824595,0.013426179580197598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,0.004727223566807731,0.00731830341831742,-0.009732149118881591,0.018369008502679834,-0.007779137664405744,0.01616339989540687,-0.002630470805879234,0.011900788479656936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,0.018409925605780385,0.007029367914504162,0.0050157670092163716,0.0319959960085859,0.006222359963043617,0.029969645760268167,0.01143534129921361,0.02496742080113983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,0.006043685298555555,0.007108805644543082,-0.008879451284119537,0.02068426434850459,-0.005142689537626365,0.018017234263441304,-0.0010335044491934843,0.012238162266139701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.0038275322764684955,0.007556890510519516,-0.011931104817947062,0.017421737720356094,-0.008929665489292108,0.015040147712638258,-0.004680193089161552,0.01077455710963522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,0.0171811657347011,0.007740865317532161,0.0012874368576531548,0.03049956757479709,0.003753464425313753,0.029077750772778525,0.009310069732139954,0.024101673861703934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
