ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,137.33142988863372,37,0.0,37.64392712226191,12,0.0,51.63079461707484,13,0.0,31,-0.031817220127805294,0.008659885899170407,true,true,true,Persistent
2,Mining,36.511979481630675,37,0.5,8.923285561590374,12,0.736,14.395015575311886,13,0.34,15,-0.028366142896605145,0.010744451823989167,false,false,false,Not_significant
3,Construction,25.960464201469904,37,0.914,5.232609166525129,12,0.948,11.635997557756566,13,0.558,20,0.008601648516171819,0.0055819670071965135,false,false,false,Not_significant
4,Manufacturing_nondurable,30.694934231249427,37,0.78,9.608312967318323,12,0.676,13.80640552114673,13,0.396,35,-0.011823095026322129,0.0064521752971206416,false,false,false,Not_significant
5,Manufacturing_durable,17.72419568066524,37,0.998,3.3833950505433084,12,0.996,6.9002871380064335,13,0.91,12,-0.007812669538334937,0.004673061522245948,false,false,false,Not_significant
6,Transportation_utilities,18.9624849001594,37,0.992,7.208836921088915,12,0.854,7.249576235895007,13,0.88,24,0.007116988258495474,0.004387320527199779,false,false,false,Not_significant
7,Wholesale_trade,31.878685309563657,37,0.708,12.47893840539528,12,0.43,7.70773091166016,13,0.868,5,-0.01288809054536222,0.005972071066505974,false,false,false,Not_significant
8,Retail_trade,82.12393010328623,37,0.0,21.92012328522961,12,0.032,31.695208278813055,13,0.004,29,-0.010542373952191963,0.0055958658026822716,true,false,true,Delayed_persistent
9,Finance_insurance_realestate,53.38834419760965,37,0.044,13.232013821176569,12,0.368,19.5021942224305,13,0.114,35,-0.013072862114668259,0.004676453846449907,false,false,false,Not_significant
10,Business_repair_services,72.63804271083255,37,0.0,16.6406350676152,12,0.194,29.685739967832276,13,0.002,20,-0.01608170746985406,0.005841776265748775,true,false,true,Delayed_persistent
11,Personal_entertainment_services,50.23662525704223,37,0.074,15.31087135554583,12,0.22,9.869068351685062,13,0.726,19,0.015395663407509197,0.006576719217147923,false,false,false,Not_significant
12,Professional_related_services,25.70965298978641,37,0.938,9.703132243156846,12,0.636,13.691043811535147,13,0.376,2,-0.006325747950873582,0.002942361360657231,false,false,false,Not_significant
13,Public_administration,115.33650367576112,37,0.0,36.938256235973995,12,0.0,38.3346108894763,13,0.0,31,-0.012051042071781322,0.005164889024184513,true,true,true,Persistent
