horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,0.00141243676868405,0.0017997531908493548,-0.0013908197873169269,0.005186914038320041,-0.0010437093843120473,0.004695053052127671,-0.00038126499904578965,0.003116469284378804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-0.0035235780384314424,0.002507926017725072,-0.00797870288768555,0.001251349084824291,-0.007287737712514987,0.0006391754595326191,-0.00632486789029627,-0.0011057646820488152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-0.006391748175981716,0.0030209565685286465,-0.01274932493753387,-0.0005662915779249756,-0.01157126039655201,-0.0013959876383526598,-0.009279082845301417,-0.0035934074427351873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,-0.005212091806832403,0.003520999825234597,-0.011668590414617323,0.001815666897026563,-0.010956109815945077,0.00054530245411301,-0.008376470484101105,-0.0012949680576143077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,-0.002986456260544833,0.004241641575896504,-0.011265435375317545,0.005176455394584355,-0.01007513874402424,0.003682815834628545,-0.007062342160810072,0.0013428467701965185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,-0.0015011941444612882,0.0043650231886493435,-0.010184654410499493,0.007556126186344027,-0.008903941295300921,0.006138372068524692,-0.0056076162045849455,0.002838761847667284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,-0.00024310244983617374,0.003659689350343968,-0.006985081401126875,0.006469270408248479,-0.006138828600177702,0.005859146371058551,-0.003989763884781966,0.0034796848044649146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.0004779342589960955,0.0037897913886983615,-0.00678604743948699,0.007517324573848556,-0.005903332289492816,0.006610533474010726,-0.0035209122591261114,0.0041692603680101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.0011130342356407993,0.0036763313166352615,-0.006416994104035779,0.008785601828594662,-0.004625290267601389,0.007469588317029199,-0.0026715964597879296,0.004496203952391082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,0.002066943419317137,0.0038645567231813996,-0.005223832259746783,0.009481713391487083,-0.004354700743347526,0.008484309456505605,-0.0019337592902890683,0.0062281478582313764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
