ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
1,Energy_intensive,0,-0.002185929669746544,0.001775535823672227,0.276,false
1,Energy_intensive,1,-0.0005921055761715255,0.0019690541057485475,0.836,false
1,Energy_intensive,2,0.00013607851570670692,0.002332658676013083,0.94,false
1,Energy_intensive,3,-0.0017547042732384594,0.0022793884523048765,0.516,false
1,Energy_intensive,4,-0.0028594175028493446,0.0024998313164863203,0.316,false
1,Energy_intensive,5,-0.0038390234155008048,0.0025606227617665633,0.148,false
1,Energy_intensive,6,-0.004944456588640477,0.002482762429022904,0.044,false
1,Energy_intensive,7,-0.004790046555335881,0.002828005274733145,0.144,false
1,Energy_intensive,8,-0.004116505542344796,0.0029027590890375377,0.228,false
1,Energy_intensive,9,-0.00460299469710667,0.0028467068915448202,0.148,false
1,Energy_intensive,10,-0.002775540595323543,0.002890145774509459,0.388,false
1,Energy_intensive,11,-0.0026869028415256466,0.0031431632426512104,0.424,false
1,Energy_intensive,12,-0.0018800463978504616,0.002984554554943528,0.588,false
1,Energy_intensive,13,-0.004897861478568622,0.0031893532066461466,0.16,false
1,Energy_intensive,14,-0.0035023308442298324,0.003375251905031387,0.328,false
1,Energy_intensive,15,-0.0035871604743542263,0.003685975793262221,0.4,false
1,Energy_intensive,16,-0.005113741708897474,0.0036713352247185675,0.168,false
1,Energy_intensive,17,-0.002511559791587903,0.003535179355697954,0.54,false
1,Energy_intensive,18,-0.005778821860791442,0.003564511417828463,0.108,false
1,Energy_intensive,19,-0.006832049123951171,0.0032482128081924738,0.036,false
1,Energy_intensive,20,-0.005887348268500457,0.003452867078957418,0.1,false
1,Energy_intensive,21,-0.006163747995390983,0.003488440020408993,0.088,false
1,Energy_intensive,22,-0.008002219786904111,0.0033494931012898687,0.012,false
1,Energy_intensive,23,-0.006592163959299138,0.0031348173944680847,0.052,false
1,Energy_intensive,24,-0.006325427887884562,0.0032434164188773025,0.084,false
1,Energy_intensive,25,-0.0060680707040656956,0.0031441970687206408,0.076,false
1,Energy_intensive,26,-0.0022792877170605104,0.002911974273140373,0.44,false
1,Energy_intensive,27,-0.0038501094187143687,0.0031348148269588435,0.228,false
1,Energy_intensive,28,-0.006917810771850102,0.003436687911760921,0.036,false
1,Energy_intensive,29,-0.005977961618887305,0.0030593169005409177,0.06,false
1,Energy_intensive,30,-0.008416296572284635,0.0031160824821841776,0.012,false
1,Energy_intensive,31,-0.010156287660232806,0.003036948397993954,0.0,true
1,Energy_intensive,32,-0.009009521817636961,0.0030966668404065604,0.008,false
1,Energy_intensive,33,-0.009611784523075716,0.003228724781949002,0.016,false
1,Energy_intensive,34,-0.007240964190015917,0.0031412418856904753,0.056,false
1,Energy_intensive,35,-0.002891874876125473,0.0031860979938158614,0.348,false
1,Energy_intensive,36,-0.004340171385580881,0.0031147990491431497,0.216,false
2,Manufacturing_Construction,0,-0.001490269216342478,0.0015472519589541215,0.408,false
2,Manufacturing_Construction,1,0.0011446470199148202,0.0022226502554818597,0.632,false
2,Manufacturing_Construction,2,0.0020390207185302382,0.0026973226031192865,0.528,false
2,Manufacturing_Construction,3,0.0008817167117687468,0.0031845815882638475,0.836,false
