horizon,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0013469726563312882,0.0020620982282959456,-0.003861026546345527,0.0013380011406866753,-0.0029544425178156973,0.0003252518336917874
1,-0.002333902708643722,0.0016484113915141991,-0.004317449196279789,-4.3435343221750154e-5,-0.0034600471858138937,-0.0008008571673447124
2,-0.0010051938591244115,0.0018326196097579878,-0.003625026324771374,0.0015810996186422272,-0.002440562880228524,0.00032574954299815877
3,0.0011381782861230696,0.002089361750287325,-0.0011410531995016211,0.004117499279498617,-0.00016078848592399877,0.0029818769976631167
4,-0.0012320294209201509,0.0022212623781094824,-0.004280752178082079,0.001612089643604032,-0.003008277043515835,0.0003599133671671373
5,4.231103831141382e-5,0.0023030772056576404,-0.0038059411653902906,0.003022065642595243,-0.0018630702368568279,0.0018920667480226863
6,0.0018956102304949892,0.0022458880024107913,-0.0017071933799340652,0.004334604564584371,-0.0003158767759485269,0.003416427374825651
7,-0.0005012129024450566,0.0016901730890120977,-0.002459917985422876,0.0017205427909576143,-0.0016799667811602788,0.0008092233547066438
8,-0.0001559684484109559,0.001583263322484942,-0.0020856757053980676,0.0017857537643674757,-0.0013303521115465033,0.0010241692178634984
9,-0.0021564791351065937,0.002022904978845416,-0.004531125600217344,0.00016239153993815106,-0.0036607906446434572,-0.0006368899089321161
10,-0.0015416334538681461,0.0018624466324796813,-0.0038426237155142423,0.0006601800106556678,-0.002902243044188251,-0.00019433900693959882
11,-0.0013656363318167942,0.0017394297771192399,-0.003412343557278614,0.0007318680708754365,-0.002601505549989938,-0.00011046910785493655
12,-0.0030094655780820248,0.0018036575221830767,-0.00534401134703158,-0.0005182391138569358,-0.004371307130990112,-0.0014571068155532353
13,-0.002595152957130665,0.0018992032531917717,-0.004737269861494295,-0.00021986652382335837,-0.003878884489084916,-0.00115072384439854
14,-0.0011855410156849586,0.0016997818161442163,-0.0035063489966304373,0.0010382232158469107,-0.002518851149648277,0.0002183593736458777
15,-0.0028440292159689186,0.002048229599581056,-0.0056874752842361554,-0.00018229066674968963,-0.004559645588965374,-0.0013045697099856137
16,-0.005443866794421462,0.001850707539746542,-0.008155590910806521,-0.002928332700813796,-0.0069954994011034305,-0.0038941866166101427
17,-0.004354856035482476,0.0021652552660601627,-0.007462241761054058,-0.0014754236515032316,-0.00620785000641942,-0.0026587683936739968
18,-0.0005361381651230609,0.0020027170827282203,-0.00335347832754064,0.0019027723615376432,-0.002103937006995881,0.0008810749321804608
19,-0.0021186381371900184,0.0019969059270602864,-0.0049666247408166,0.0004254805791355093,-0.0038507164592187695,-0.000604653095267529
20,-0.0014612156058415816,0.0019971853160712775,-0.003917777761930487,0.0008570844560114499,-0.0029910939688694094,-0.00011172539029351888
21,-0.005709107876127785,0.0023376718871177507,-0.008714953599450204,-0.0030839689280303686,-0.007344472540735784,-0.004075969695876569
22,3.647341962632043e-5,0.0023028707628139976,-0.0031938429638307337,0.0029941148415832,-0.001989722260358562,0.0017451943135656722
23,-0.0026598623377040867,0.001957448057776818,-0.005400327713244167,-0.00011547256351353502,-0.004291931630380779,-0.0011201870885499923
24,-0.0020362016226479333,0.0019190848437158664,-0.004471120430175276,0.0005849337906254455,-0.003622472532309731,-0.00047615521523028067
25,-0.0037067031958054643,0.0018995284724328061,-0.006103147563098184,-0.0011327543664670812,-0.005456371123597913,-0.002059486931806135
26,-0.005173932995683043,0.002008486228471387,-0.007948355563641141,-0.0023497240647208984,-0.0069975607904638575,-0.003353233113512301
27,-0.0032507939781639657,0.0022290402782151977,-0.00574636403430141,-0.00015160666283863151,-0.004765375855293942,-0.0014509309366119163
28,-0.0040215550339847425,0.0020471234999336466,-0.006721990526084685,-0.0010837098345086987,-0.0055173189603918635,-0.002509527716821445
29,-0.004441807302347885,0.0020095258340542027,-0.007285509171805904,-0.0017069407186106242,-0.006021411902818765,-0.0027209314591086224
30,-0.004915975831005847,0.0020833027976568555,-0.007851401999631531,-0.0022349680824430194,-0.006577394203776618,-0.0030999857112572115
31,-0.003428857310434069,0.0022301518736908667,-0.005855604324866085,-0.00026148986296203186,-0.004845846374090433,-0.0014310157133605528
32,-0.0016713149715682147,0.0018573437724363916,-0.0040015452645917205,0.0008424419927213027,-0.0030950811195647092,-0.00013233425710795083
33,-0.005189813671806301,0.002060056654966907,-0.007961616402497793,-0.0024151756108700784,-0.006891904380894086,-0.0034877905636271763
34,-0.00576831972725347,0.0022206818601798353,-0.008750050256590829,-0.002978765067366435,-0.0074043982854718774,-0.003952685460318418
35,-0.0071530331510033405,0.0018798672062539574,-0.009609409398309572,-0.004573995379603974,-0.008561998763123576,-0.005654044475790768
36,-0.005186637551575527,0.002761902600087011,-0.008755253895667977,-0.0013743481173806933,-0.0073292961093856124,-0.002808919925850824
