ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
1,Energy_intensive,0,-0.008251153506885812,0.004223154105337538,0.028,false
1,Energy_intensive,1,-0.0025976564942854215,0.004960185892558683,0.596,false
1,Energy_intensive,2,0.0005456146650916524,0.003872407918986707,0.884,false
1,Energy_intensive,3,-0.011787287096954127,0.003440103826948136,0.0,true
1,Energy_intensive,4,-0.005470308643849462,0.0041224951989432355,0.156,false
1,Energy_intensive,5,-0.00024970134825269183,0.004192139400639565,1.0,false
1,Energy_intensive,6,-0.0021145997789685242,0.0033267355254664828,0.492,false
1,Energy_intensive,7,-0.002730022927100683,0.004566931031695001,0.556,false
1,Energy_intensive,8,0.0001911834539845865,0.003754109003226488,0.952,false
1,Energy_intensive,9,-0.007501088473739864,0.004195246462054337,0.068,false
1,Energy_intensive,10,-0.0036716778707977203,0.0037576538987243177,0.248,false
1,Energy_intensive,11,0.000998320553803806,0.00448979172492494,0.788,false
1,Energy_intensive,12,-0.005674057359652262,0.004122163792589542,0.132,false
1,Energy_intensive,13,-0.006812697738401129,0.003819136829942459,0.056,false
1,Energy_intensive,14,-0.0017672523328425365,0.0035562495838594318,0.62,false
1,Energy_intensive,15,-0.001332199992747882,0.0036473795814512444,0.652,false
1,Energy_intensive,16,-0.0009085830990506839,0.004082146898742922,0.836,false
1,Energy_intensive,17,-0.0013929242297464868,0.004197670765637352,0.672,false
1,Energy_intensive,18,-0.007223557532321001,0.004100529342836215,0.064,false
1,Energy_intensive,19,0.0038490968230964727,0.003610511346594898,0.28,false
1,Energy_intensive,20,-0.004891324170842579,0.003805120490633773,0.18,false
1,Energy_intensive,21,0.0009224816007301908,0.003626469776288592,0.76,false
1,Energy_intensive,22,-0.0001951506271215686,0.0038741600473812332,0.896,false
1,Energy_intensive,23,-0.007207936533885531,0.004145777544862868,0.06,false
1,Energy_intensive,24,-0.005822411586667812,0.003639580255031244,0.096,false
1,Energy_intensive,25,-0.008808942679674373,0.004197812807570067,0.06,false
1,Energy_intensive,26,-0.0024400461912676566,0.0035767015464985862,0.5,false
1,Energy_intensive,27,-0.002301854316464408,0.004208597806853275,0.684,false
1,Energy_intensive,28,-0.004947291228540335,0.004823820794664079,0.296,false
1,Energy_intensive,29,-0.002115907756140593,0.0044050536458553075,0.656,false
1,Energy_intensive,30,-0.002319250868676375,0.0041933315941190255,0.636,false
1,Energy_intensive,31,-0.0028990772282726633,0.0037424098793429907,0.456,false
1,Energy_intensive,32,-0.0022027600882389966,0.0037143842566101037,0.572,false
1,Energy_intensive,33,-0.008539704552667152,0.004086215348580582,0.044,false
1,Energy_intensive,34,-0.001176211480345584,0.004662834699168646,0.78,false
1,Energy_intensive,35,-0.001287465336186918,0.004799752202932943,0.796,false
1,Energy_intensive,36,0.0030919231033989035,0.004073411205956002,0.376,false
2,Manufacturing_Construction,0,-0.005104671872813536,0.0028005212780449077,0.068,false
2,Manufacturing_Construction,1,-0.002908656015812223,0.002863092303418855,0.248,false
2,Manufacturing_Construction,2,0.0010931766653017971,0.002966616654636646,0.724,false
2,Manufacturing_Construction,3,0.0031117104689364623,0.003106020899729771,0.348,false
2,Manufacturing_Construction,4,0.0012542980450666382,0.00261488357839872,0.584,false
2,Manufacturing_Construction,5,-0.00013405244981883613,0.0028307826330571688,0.984,false
