horizon,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0013719462996469175,0.0022273502194131056,-0.004266048808384294,0.001483778979504701,-0.003137572162833626,0.0003134201514831947
1,-0.001964398219285049,0.002154861076509827,-0.005102033701245896,0.0005503872332312185,-0.003690257517909981,-0.0006425259655574828
2,-0.0049954287114668035,0.0024427265963998523,-0.007625624612133897,-0.001805145795357958,-0.006806610329654165,-0.003217288906209593
3,-0.00332818392731075,0.002554024319727739,-0.006443773843792351,-0.00024212372034537006,-0.005136436708652498,-0.0013056674879339857
4,0.0013711883143364065,0.0022776483372554802,-0.001413696421375816,0.004280263140051777,-0.0003436353252590958,0.0030669122741008403
5,-0.0005905650233452957,0.002196938937123645,-0.0032577556553333976,0.0017695981419488796,-0.002032367129653999,0.0008992391816764627
6,0.0012122212630918657,0.0023390023921651937,-0.0016460049838221615,0.004114802894569129,-0.000532454184583669,0.002848535717525391
7,0.00041982334533080784,0.002254097435873337,-0.002356906858244395,0.0036502290928893573,-0.001216254265047278,0.0022072793716999663
8,-0.0007638086135547608,0.002215045819381441,-0.0033688785338904233,0.0022700735955574116,-0.002375870953065631,0.001035220129958375
9,-0.0024252600204722934,0.0020622468446243537,-0.005185104567608578,4.0226274457079e-5,-0.003906960971600655,-0.0007037445210928254
10,-0.003200329813194865,0.0024033487806044097,-0.006257953329642664,-0.0002809680916765903,-0.00513813394382635,-0.0013915449120544246
11,-0.004470796947064282,0.0019647191100866726,-0.007240076972630844,-0.002164187952614162,-0.006170804963183432,-0.002961517068163384
12,-0.0017199698946720422,0.0021370401082223753,-0.0043256337049074264,0.0011730368384321494,-0.0034009249941227802,-8.448076148619144e-5
13,-0.001505802560778486,0.0021289579511550067,-0.004096072429323807,0.0013321606211023826,-0.0032131241656517167,-5.050885139903016e-5
14,-0.004242710136306019,0.002074968478930246,-0.007256347828261268,-0.0017405604761893427,-0.0060317864031437405,-0.002777821584162848
15,-0.0027630778263950566,0.002239334074631323,-0.005678209283307065,-4.8386010821461004e-5,-0.004478031754144815,-0.0010244381493835408
16,-3.332806635409765e-5,0.002254850940993964,-0.0026859415870161512,0.0028278415233282286,-0.0015852768976992583,0.0014897238568731795
17,0.0006778201866119227,0.002933545147194521,-0.003092252880520059,0.004166250228572602,-0.0018831193616067308,0.003036449164359187
18,-0.0015131644551201987,0.0024895252455471137,-0.004857271745301918,0.0013926679898806028,-0.0034862454511767017,0.0001168447456145554
19,8.301278837646837e-5,0.002179144851756497,-0.0029027537205340093,0.002675120470698147,-0.0018800423484875222,0.0016720450994467267
20,-0.004855794536912599,0.002496046368564807,-0.007927279148358602,-0.0016067216415437302,-0.006924713544481752,-0.0028172765193042555
21,-0.002743473706865081,0.0021702001603511327,-0.0055600341923437565,-8.621205840472638e-5,-0.004445711654556679,-0.001082472556869285
22,-0.004033933661957361,0.0023698619207785784,-0.007226701947375179,-0.000791663891768715,-0.005974385560911586,-0.0021992632642596054
23,-0.004632881179278532,0.002496288490874647,-0.00799453621191161,-0.0018685286524536947,-0.006726709543458116,-0.0029546239721482586
24,-0.001116446110957692,0.002183113169217251,-0.004049875636777188,0.0017796683152798056,-0.0028640869815309057,0.0005315404535126903
25,-0.0021875829193766555,0.0021242939558568695,-0.005044609545424468,0.00034987655570543723,-0.0038813654697781655,-0.0007328127388826649
26,-0.003019816343973918,0.002068945965660981,-0.005664575788682189,-0.00043142420601067913,-0.004585005678199764,-0.0014448449538644796
27,-0.0025984911282153932,0.0022994901029385526,-0.00583678027415948,0.0003654486295715377,-0.004712972634813102,-0.0006595677199091635
28,-0.000379144094471924,0.0026901226608688294,-0.004006007120067198,0.00296899993224457,-0.002481782146079932,0.0015738730029070586
29,-0.002007023830670675,0.0026125272760091026,-0.005296561431042269,0.001337182430867508,-0.003997431050441031,-0.0002286481757393221
30,-0.0023912058515172096,0.0022690190717645138,-0.005082031742949263,0.0008163612332136635,-0.0041188907421257515,-0.0004794097232749628
31,-0.001173650929803545,0.002683605696139132,-0.004178912320719527,0.0026350892975301973,-0.0030054577522482164,0.0010050876970361731
32,-0.0036811924951892488,0.0022619799967786634,-0.0065650489379378224,-0.0006053822079935744,-0.0055446591476985005,-0.0018869382488548433
33,-0.0007502392182699742,0.002297534396682025,-0.0037230607236932107,0.002433255349055787,-0.0026114716013089364,0.0010760477877042578
34,-0.0017015460029259197,0.003025024835538816,-0.006489017788876847,0.001785307202387752,-0.004388556780411767,0.0002900545782811954
35,-0.005174574468581908,0.0027595456936624773,-0.009181476025550299,-0.0017331406788721128,-0.007499853294589078,-0.003111080691143722
36,-0.004835464524081834,0.0024065767369247297,-0.008237952201065463,-0.002092717415626349,-0.0069489398078076605,-0.0032586751470350048
