horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.003244416359806862,-0.0064027111869127806,-0.0008859097072213698,-0.005318443368313918,-0.0017168277338819914
1,-0.0019060525003876303,-0.00500036585610791,0.0010930941703193777,-0.003920003999312556,5.155643137244809e-5
2,0.0014664997138387412,-0.0017303574475267627,0.005230787905431609,-0.00070979043873459,0.0038717266641971645
3,-0.002031175098876141,-0.006565768820348225,0.0022457387355192993,-0.004582641716935369,0.00067174239976779
4,-0.0034863981102205683,-0.0080468912920624,0.0012348209342751717,-0.006192429737526282,-0.0006620317579555152
5,-0.0021995056847417213,-0.007958723057503449,0.0034383652641424493,-0.005477798660434904,0.001085184794982884
6,-0.002688003697141285,-0.008403760089122855,0.002966498904970242,-0.006154873539310625,0.0007628390671653657
7,-0.00392646228667123,-0.009518837221822597,0.002067047736152355,-0.007346238509369981,-9.742741097795672e-5
8,-0.004689584537510842,-0.00927128319635112,-0.0006868445736988573,-0.007414334607937692,-0.0022582768615153396
9,-0.004403223076034686,-0.009007626125718336,-0.0007988296935733854,-0.007245076920698347,-0.0023547527337947024
10,-0.004148949951261817,-0.009721535519922428,-2.115633342961252e-5,-0.007608799495966266,-0.0020045865977515163
11,-0.0038696558514997137,-0.009776982772298366,0.00045566637586351997,-0.007657521838771639,-0.0012929187140940921
12,-0.006678814295837115,-0.01279805707233998,-0.002651260835121315,-0.010454630126793606,-0.004242952976568757
13,-0.004771718014698929,-0.01126447682125992,-0.0006608166601466507,-0.00844882506652931,-0.0019500015986073467
14,-0.004865554547967185,-0.01150387410315699,0.0002860512583774564,-0.008910335980631429,-0.0019532788957878065
15,-0.0049866840404324785,-0.011864047255296575,0.0009095159297469978,-0.009014988193535307,-0.0015171071162833993
16,-0.0079024619384939,-0.014674175717866606,-0.0017590986533788135,-0.011831360195814225,-0.004122580584340013
17,-0.007696777520394296,-0.014812410226076225,-0.0006534548056324058,-0.012223914707794884,-0.003436349525235755
18,-0.009817378521645785,-0.016568795237880053,-0.0022487810284818922,-0.01462623863876146,-0.005296334634823707
19,-0.009164001225276566,-0.016013510664648227,-0.0026882872509828154,-0.013262284297897244,-0.0057671744611589755
20,-0.010144102741146067,-0.016703545665562123,-0.004471851826220379,-0.01400342337329168,-0.0065734647460113284
21,-0.010714909715383969,-0.016109679841859834,-0.0054301352346691825,-0.01417377201552198,-0.007616446961941201
22,-0.01288747792278956,-0.018341429316458276,-0.007348789942499987,-0.016065723426882013,-0.009798122873452202
23,-0.015067174972794348,-0.02104397138361413,-0.010198275503131057,-0.018655386398752617,-0.012011907119406426
24,-0.015566860956337905,-0.022220887295876235,-0.00964866940446437,-0.019516723686747887,-0.0122807213352677
25,-0.0156338895939398,-0.023398662803225764,-0.009585567612221796,-0.02018254674027179,-0.011696346455244111
26,-0.010716907007380833,-0.018120896948873366,-0.004946526779876088,-0.015115992372309336,-0.007047640629617111
27,-0.01039924829402334,-0.017397518428097322,-0.004244221189577013,-0.014790176282831231,-0.006407144655793651
28,-0.009601039591104405,-0.016623637094231244,-0.0035158578327735062,-0.013730172990404795,-0.005674233760760073
29,-0.009251385664594085,-0.017502110728523042,-0.002235780290850385,-0.014113571172482381,-0.005325862455233596
30,-0.00833583720619202,-0.015595183637820892,-0.002667821167698688,-0.01263047303933668,-0.004601677107697101
31,-0.00610543245497711,-0.01384043423103357,0.0004971748208170918,-0.010672981670447747,-0.002148413296947346
32,-0.0066310629179953135,-0.014109273967426113,-0.00018527237832758996,-0.011024123855409306,-0.0024346604600542577
33,-0.01044314686176849,-0.01714642577789473,-0.0038321163760835254,-0.014502430787663383,-0.006704859224210996
34,-0.01322655992078898,-0.020202289680446815,-0.00714346312529728,-0.01730899608628721,-0.009374196647382396
35,-0.010879261640546525,-0.017942585225381204,-0.004511969203203665,-0.015384872471186148,-0.006876111540091641
36,-0.011733285429142282,-0.01873931829190523,-0.005087051678367217,-0.01594299742688203,-0.008076587158185669
