horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.00114614922113101,-0.005620094328967485,0.0079674376593236,-0.00273107386329055,0.005204195088096464
1,0.009980254226534483,-0.0003776496106959546,0.020854650600195774,0.0037908104165941363,0.016166973976116626
2,0.012247740809032957,-0.0027465792260882894,0.025662011822447862,0.003645915606433169,0.020335099866412472
3,0.015488431291866432,-0.0025695898761363047,0.03451840032290693,0.005991108373333789,0.02696250171569959
4,0.013642049655415486,-0.006184712015995086,0.033984132546953545,0.002111010238476164,0.026109830811288648
5,0.006457783443178099,-0.015668585479292594,0.026325280327107393,-0.00591463655496294,0.019615510292542528
6,-0.0018167477477693797,-0.021267297705005784,0.013899720650191265,-0.013758370302911027,0.008631636685185191
7,-0.006223479589029932,-0.02125913430547113,0.007868932978306944,-0.015690256731980334,0.002661050628997572
8,-0.0059365388659094655,-0.01915404803520593,0.007780063535417029,-0.014714830284948183,0.0016702401451828882
9,-0.003521609868545398,-0.014512550467603889,0.007000398726598443,-0.010555413394944762,0.0025998371357132564
10,0.004004801177873142,-0.004024836343553632,0.011885665973239503,-0.0011224896253171123,0.008424887762055858
11,0.006586170247708403,0.0012435454912453,0.011138974695832846,0.0032277341000251434,0.009241185307831823
12,0.009484321298045089,0.0027285613661350485,0.016517623523030663,0.005386934259857156,0.013233968099146514
13,0.014260861023921989,0.0027768527801808537,0.025480009763833897,0.006850993765248055,0.021299325952696877
14,0.014349446231365996,-0.0019534429282034877,0.02917369796734142,0.0048616527341874115,0.023835226804675536
15,0.012957460576751997,-0.0067789905757883705,0.031155082023888298,0.0016926392164266849,0.023984594861223393
16,0.0037270876798660077,-0.016001870481198062,0.021715636319107334,-0.008017868868287367,0.016019974746217344
17,-0.0017263971123353354,-0.02233124123614747,0.016024645269628837,-0.013119066834617818,0.009553267476643897
18,-0.010587172088441264,-0.02920982768525391,0.004701714815508009,-0.019943211559745322,-0.000958907376370206
19,-0.01289763763702263,-0.02809374131801986,0.00203138929055165,-0.021240747421474956,-0.004216921509423575
20,-0.007388052636475364,-0.018620590401442632,0.004978060725655874,-0.01389848408893688,0.0002719533078128361
21,-0.003279128586522838,-0.012521882537405753,0.007456116069884321,-0.008784822169807499,0.0023955567050020178
22,-0.0017993214088287877,-0.008046576677534117,0.005008184237602012,-0.005891348772792539,0.0020526001948428913
23,-0.000474773801564736,-0.006420925187611928,0.005099395572578841,-0.004162583397139298,0.0031618499679926305
24,-0.0003160833011970416,-0.006788985292610417,0.006580310716609793,-0.004285045940405745,0.0040663306830983825
25,0.010554022623176344,-0.0005856363609288758,0.020784496793157685,0.0034163233035618204,0.016653690484226248
26,0.012924340319202712,-0.003495082505052788,0.026176192881158432,0.0029018734284974763,0.020964229436026702
27,0.010530210843082564,-0.007193265574030917,0.026491010940204913,0.00018933980048413922,0.019666178772693554
28,0.004515254593532092,-0.015399019616137002,0.02290634571771272,-0.006726022682506,0.015568965341137862
29,0.0022556228608439214,-0.019100464737943853,0.019829899241983525,-0.009681352301046504,0.01261908550705381
30,0.0004897462566083631,-0.019672600702320475,0.015588821727710821,-0.011717810403622568,0.00904428136582762
31,-0.004104418703827631,-0.020838141937552627,0.009564229249842349,-0.014152175644490755,0.004071017578717581
32,-0.004338887653884498,-0.016832843577020563,0.00815764888654262,-0.011448951303991522,0.0030631670998854336
33,-0.00421477249467951,-0.015809179412253353,0.005108032563995388,-0.009852797096598276,0.0014863298078565453
34,0.0019079597832101316,-0.008068194090716158,0.011378193877760337,-0.003709795543557171,0.006974485459028151
35,0.0019332863344913075,-0.005534309193468724,0.009944807153435327,-0.0024304462864760765,0.0067004259982574215
36,0.00661347300142508,-0.002030962730300542,0.01556384777610163,0.001530024354807649,0.012407159755846643
