horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0024034976712600893,-0.004728966400585103,-0.0009272046026668397,-0.003871742054747617,-0.0015140653076032723
1,-0.002936127066823409,-0.00606612564781451,-0.0011608061502956261,-0.004698347278559511,-0.001800450960153002
2,-0.0018250301115067056,-0.004776891562022171,0.0005303390307687614,-0.0036148176425975075,-0.00040747110108361627
3,-0.00041216352687123203,-0.00356665573243404,0.0018726168355537092,-0.0021989552307224453,0.0010542438710192826
4,-0.0015909414008109248,-0.004829698794988033,0.002065630782233428,-0.0035259723244825273,0.0004974375829806309
5,-0.0010674545561255935,-0.004707546810496918,0.0021462744901645887,-0.0033490016314236433,0.0010124354067155702
6,-0.002259686128752396,-0.006294029882996046,0.0015230481306067233,-0.004815694521986078,0.00021339543783909865
7,-0.003335707030138357,-0.0074483767679901156,0.00025687880333224175,-0.005875472867992417,-0.0010672506220896832
8,-0.00465245674357123,-0.008947400217369545,-0.001876454203636926,-0.007295432334804855,-0.0029405861247403017
9,-0.0051441826830845,-0.010108513935033793,-0.0026457129803026417,-0.008042579546934681,-0.003600493070965716
10,-0.005589696179623873,-0.010715581777507453,-0.002741199426919699,-0.008251829775172305,-0.003757859455299364
11,-0.005700157331309273,-0.009920374452860389,-0.0025667834284575654,-0.008463405870961133,-0.003909336250856431
12,-0.006347861015701608,-0.01052163765662546,-0.0026798441938184056,-0.009062973822516519,-0.004046421727965661
13,-0.005720673875703025,-0.010219587050603156,-0.001535817254023953,-0.008456036522848287,-0.0031233142933735306
14,-0.005542384854105751,-0.010499124422604558,-0.001265798095780554,-0.008660560806521223,-0.0030594173673689725
15,-0.003886054303100503,-0.008889475401338836,0.0006656296709653987,-0.006915111163597942,-0.0012776375883573844
16,-0.004748554424212676,-0.009698190678090997,-0.00033682003609922413,-0.007566320949643728,-0.001973369669267836
17,-0.004062673270173732,-0.009481849228331056,0.00112189717148706,-0.007693224762712263,-0.0008967327446770326
18,-0.00607963617070985,-0.01194025353478554,-0.0003616542755469519,-0.009653899013572997,-0.002913366831762182
19,-0.005969784479639578,-0.011892292666723099,-6.08195466737186e-5,-0.009468733537549293,-0.002447917847403814
20,-0.007056967415990495,-0.012525828351976378,-0.0011719472655418416,-0.010662718623716538,-0.0036110316038770094
21,-0.007062854556380968,-0.012687167387417765,-0.0015636714043401985,-0.01070567593615172,-0.0038069802192192337
22,-0.0067609732096533225,-0.01219437063869943,-0.0010542386558963102,-0.01019712562470018,-0.003583914771773308
23,-0.007872074994570618,-0.013828931271059147,-0.0029758002165247094,-0.011588996960344192,-0.004724221659129685
24,-0.007237331642523528,-0.013438758144740114,-0.0015839794718056415,-0.011011657484557338,-0.0038536266317688974
25,-0.00711358822894419,-0.013221872266248741,-0.000633173098744875,-0.010719149894212042,-0.0033252928804985795
26,-0.005546204919677312,-0.012338150587829085,0.00104918850671563,-0.009395383708348533,-0.0017144169933485261
27,-0.0062330704500480885,-0.012407525598796706,-0.00038559927256923924,-0.009959781500615574,-0.0028124010888374473
28,-0.008347574595345542,-0.014654577220639156,-0.0024406241094797054,-0.011901064614610648,-0.0047881958093678656
29,-0.00819981067537704,-0.01420041475554993,-0.0027016709107754106,-0.011804414711319499,-0.004922465483107781
30,-0.008268787143255978,-0.014090367493709852,-0.002606995284960315,-0.01207121385492681,-0.004923729843980325
31,-0.008744932823324942,-0.01461020838432624,-0.0028946828282295977,-0.012555259016232678,-0.005145020369767345
32,-0.008864432151821179,-0.014727164106492933,-0.002720399105491422,-0.012754082019369247,-0.005463726768464201
33,-0.008728176386082732,-0.014345608247106078,-0.002916318508037032,-0.012280626696108883,-0.005472163293270551
34,-0.008516148874480784,-0.01345605196475869,-0.003103028150924011,-0.011661142509671967,-0.005396042404791159
35,-0.007717984986609369,-0.012907258631797784,-0.0025426824785571072,-0.01079787320827921,-0.004548651696966811
36,-0.0067267805294428384,-0.0121177995648245,-0.001024816246153938,-0.009881368571022685,-0.003388389162306824
