horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0017177356141449957,-0.004090801743929649,0.00039337657415534195,-0.0030886873917450094,-0.0005565683707036122
1,0.0008922376584168676,-0.0021848645917067304,0.004673577260031643,-0.0011826421712964699,0.002941854601318162
2,-8.379408697371919e-5,-0.00357952375648607,0.003596162166044167,-0.0022276225638581696,0.001975139589844785
3,-0.002106494479185347,-0.0056470517692948485,0.0010973462342395795,-0.004245366209037454,-0.00014438150181179292
4,-0.003085681534048157,-0.006980175312327554,0.0015780215577061137,-0.005153544242668258,-0.00052878565744152
5,-0.003382033333268831,-0.006980647487445035,0.0015125106834555035,-0.005690716706393218,-0.0005652718064481583
6,-0.0035114572094925196,-0.007632841732179685,0.0005123620154488901,-0.005887596308292605,-0.001232665178803354
7,-0.005767812079664081,-0.009898202829760625,-0.0017300031197624629,-0.008228049089546398,-0.0033282391329126915
8,-0.006485940761405832,-0.010148449392038805,-0.002734998404381098,-0.008697019876086017,-0.0042159733521984905
9,-0.008760323624860405,-0.012587005727914697,-0.005183410978957295,-0.011350289524495454,-0.006464945844439556
10,-0.00564696423308646,-0.009506182059157115,-0.002519420738398906,-0.007828773414953177,-0.0035364190020244096
11,-0.003059267601772417,-0.007619500563260138,0.00063326488643987,-0.005696659233523018,-0.000922155597367409
12,-0.0011985511489159906,-0.005086231957921133,0.0025878145266104084,-0.003754724098811199,0.000981776033313819
13,-0.001888427420297687,-0.006056353141013734,0.0019259738856901155,-0.004210789377434352,0.00044176664244687794
14,0.00023961877391213244,-0.004285611670324212,0.004957543888912346,-0.0023339137432291184,0.0030822754603350095
15,-0.0015793206499553054,-0.005598575324502957,0.002193091070056008,-0.003913040987345666,0.0006425612378971799
16,-0.0027689636399266773,-0.006718640113790007,0.0008451578437521498,-0.0052635103025458815,-0.0006505744553307992
17,-0.0038931651448220056,-0.008594234144047912,0.000686628030407737,-0.006953340255076123,-0.0013346036489683397
18,-0.005330335030138177,-0.009285928243775138,-0.0006350653432928566,-0.007841796360519408,-0.002619015419347171
19,-0.0058909591626859345,-0.01093590174243951,-0.0012847935711757684,-0.009076077096224693,-0.0033313378002245743
20,-0.0049928194786066984,-0.00988614100683506,-0.0005446569729611267,-0.007823627459596666,-0.002249532071431907
21,-0.0028695164666466652,-0.0071121528613107676,0.0011700804708962664,-0.005483538272482021,-0.0002945683285392425
22,-0.003866081674659251,-0.007985307953427842,-0.000192503297547459,-0.006435120690574251,-0.0015387958172454514
23,-0.005188178189000783,-0.009463540444795384,-0.0013537773780381555,-0.007952644595689232,-0.0029660156550699915
24,-0.005604531039734311,-0.010474974265485628,-0.002032736884320911,-0.00861719187385135,-0.003364136913158665
25,-0.004955732483334803,-0.009301912699452266,-0.0013171807317653222,-0.007683254662661225,-0.0029029372372263865
26,-0.002511352610522916,-0.006266376048894955,0.0009596851401457505,-0.004782246925916368,-0.0005579436887717883
27,-0.002723177939514592,-0.006634237913623114,0.0013260812939732461,-0.005259508365366114,-0.00013642755489487674
28,-0.0047475374975997795,-0.008218111043461996,-0.0010475298805184344,-0.006923671077786998,-0.0024804839900406214
29,-0.007920656359466172,-0.011761006966322825,-0.003992291766972064,-0.0101722432490974,-0.005803194481096627
30,-0.008534052976326489,-0.012469221618482615,-0.0051855926287728005,-0.010854927007216375,-0.006470854243808854
31,-0.005918409679845443,-0.010035836888258251,-0.002310173454230013,-0.0083971150507189,-0.003718862567905606
32,-0.0035280222195507357,-0.007840446981649526,0.0006143455097161205,-0.006185033269817248,-0.001172706728898736
33,-0.005068695871153713,-0.008928146650389142,-0.0014440051734743585,-0.007539291084477489,-0.0027744230067884746
34,-0.0038818464698144733,-0.007852722433544818,-0.00036166219054942043,-0.006195682866533792,-0.001722476768383759
35,-0.0026389652097309644,-0.006884856842658166,0.002144727417112015,-0.005264066061301325,0.00011954095489982155
36,-0.0019788586332220703,-0.006634912708048442,0.0032250122169341228,-0.004659130380731673,0.0010855011107789342
