horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.002556653882872652,0.0022058093208049074,-0.0065566786007491,0.0020262923042271446,-0.005758907661452186,0.0011617714245717211,-0.004666205007832807,-0.0003699233615184172,-0.0016502593869921524,0.0027275222199272552,-0.006492927159640339,0.004211051784084118,-0.005741333006904826,0.0031416509580777757,-0.004148226602571432,0.0011185513367604006
1,-0.004884438532585126,0.002512280634373116,-0.00973391459927982,0.00017413471895356356,-0.009059123249175832,-0.0006911082650355034,-0.007438449069412245,-0.0025467147215361696,-0.0029635292805085664,0.0032615112329507354,-0.009450680077855041,0.0031478649395413325,-0.008403485385822787,0.0021969524124251538,-0.006132917549348618,0.00025684712407848803
2,-0.00406106698381663,0.0025201131006471486,-0.008672052590234415,0.000996736065955293,-0.00790624366918916,0.00011405105115364013,-0.006665896336062261,-0.0015856857598534565,-0.0035958326137714145,0.00294030826093741,-0.009163145301726409,0.0021181856230042314,-0.008439126523076542,0.0011334808531261319,-0.00666411242236519,-0.0007742051087829994
3,-0.0030636822931606814,0.002787235077012051,-0.008077906000008626,0.0023660256145200675,-0.007417442030593212,0.0013542071977099088,-0.006001916870617414,-0.00038703888511354277,-0.0015984068248067348,0.002876806220542675,-0.007542184797491028,0.0040771500779724495,-0.006402269013308301,0.0030697950976772263,-0.004388208668797597,0.0012490702945853179
4,-0.0015931294529805942,0.0029829920143354194,-0.0074625604035631,0.0043529749829226885,-0.006738804884141058,0.0034703188636796274,-0.004563712472713292,0.0010754954512763716,0.0009967160948752783,0.0034570446332963444,-0.005063555316518967,0.008525182937311037,-0.0042410807312828185,0.00692954674005015,-0.0020807462471116736,0.004812389173252042
5,-0.001756314346511459,0.0025828542494304835,-0.006618016297159718,0.0036714671280119724,-0.005837097742529765,0.002618418099729483,-0.004437838076097964,0.0006103714477517123,0.0001445037472395592,0.003091791704559753,-0.005666887162550467,0.006231825147477287,-0.004782522378734992,0.005331087706031157,-0.0031150134088892755,0.003181366499169539
6,-0.0035296764739913295,0.0029111289192138086,-0.008758551379088406,0.0027316225199817013,-0.008184634195014962,0.001373840193689794,-0.006388084568298154,-0.0004602231137239813,-0.0010413397936370361,0.0028560768392466005,-0.006083909967537488,0.004875220382661505,-0.005365094531484294,0.0038824309542743783,-0.0036331732869771703,0.0019319019030822789
7,-0.00251221235056943,0.003116635494982236,-0.00843252515613469,0.004005172806549002,-0.007301985835363883,0.0026165931117862347,-0.005745088634943033,0.00044057723560203093,0.0010590330849849484,0.0036138561044374855,-0.005510035300645091,0.008475212719810967,-0.004748478581741891,0.006890276159138006,-0.0023994837685418955,0.0047879763231259255
8,-0.0007127618776431533,0.003450095665339901,-0.00758171028883192,0.005711646246598381,-0.006052170955021416,0.004724493278257351,-0.004380538994926532,0.0027149409794081213,0.000498813405164809,0.003038944695584442,-0.005616239714035295,0.006429740034156042,-0.004682141949267837,0.005496953525402241,-0.002580960735186028,0.0033236061162207845
9,-0.0031095091380166587,0.0030102933072271893,-0.008301131390985917,0.0029843048401251727,-0.007764954973991623,0.002133867355890513,-0.006052315613963579,0.00024731418235239663,-0.0004661511772972133,0.003344544848261665,-0.00727679009946534,0.006347685595046575,-0.006107928495050808,0.004899558027819919,-0.003469036857699525,0.0029143522338906805
10,-0.0015594095677773866,0.0036079515215541244,-0.008644781487796748,0.005106548061055233,-0.007453064281204909,0.004318603269339232,-0.005255537954951946,0.002229369502551446,0.0037752947672533336,0.0038619212330776925,-0.003434149145671733,0.011461336352667844,-0.00252591269995685,0.010511713741200667,0.00024513421565590756,0.007942703913973953
11,-0.0033883447780291677,0.002885079133812187,-0.008547024802090837,0.0022969918884400966,-0.00774343797868034,0.0016831476257076336,-0.006137115918346394,-0.00017148164590811236,-0.0015719546152917253,0.0027784470016063516,-0.006676596687943742,0.0041338457216195425,-0.005840511874175484,0.003201560086775601,-0.004251730358938145,0.0013246647722557734
12,-0.0028965632296317854,0.0031197979070562007,-0.008407704082624971,0.0033722632057936594,-0.007876723572161553,0.0025927210203822004,-0.005960311869067319,0.00010495870666142444,-0.002067179362140172,0.003824090486808962,-0.009375134631543401,0.005526827095277185,-0.00836799848590586,0.004238050936443796,-0.005955596635608747,0.0017805317124461797
13,-0.0027021126187822143,0.0032837469662684864,-0.009132984342654794,0.0033379227893677145,-0.008402971250981614,0.002700973008937157,-0.006023716192160867,0.00038005440892937377,-0.0031332492193094593,0.003549611639639043,-0.009936000253648393,0.0038661879986969386,-0.00880231591529513,0.002971952596396398,-0.0063098255291241965,0.0007648130677542196
14,-0.002172350812989362,0.0030491349824969855,-0.007566513326072769,0.003950645455056641,-0.0070986668810083045,0.0033109026790342773,-0.005162701186193478,0.001003741050717201,-0.0008601383235007633,0.003083917787904115,-0.006495249085168446,0.00597191149646871,-0.00578686031350913,0.004416301837624691,-0.0038414077321977202,0.002141079376454275
15,0.00017320076611279222,0.0031960906074069984,-0.005802997397367695,0.0061832670282161205,-0.0050898471810956305,0.005349723298930784,-0.003200145053348944,0.003436642578682007,0.003321816561443804,0.003109727896213498,-0.002102821979588436,0.009809143589493174,-0.0016117550305981467,0.008433310435773845,0.000293078110820062,0.00656340937805468
16,0.0010143105275205204,0.0030521615962247842,-0.00508249697424396,0.007139354820097227,-0.003955622598259351,0.005563005088951246,-0.0023583002057946233,0.003622008396019427,0.0052640031395309195,0.0035170988824320733,-0.0013539490423024846,0.012976269867307454,-0.0004943191466318508,0.011089173720209136,0.0012453730978698723,0.008405934350399548
17,-0.0008770462375431363,0.003005223289791761,-0.006740851391575717,0.004739904870138131,-0.005844036941709633,0.0038601211395340824,-0.004139959232775376,0.001920589391772764,0.0007086427576119897,0.003385053812977944,-0.0059211625913244935,0.006996176175749366,-0.005008115498220642,0.005975146358027133,-0.002758904466243903,0.003871875297680286
18,0.0007994494878854776,0.003002557271558832,-0.004872869899999107,0.006884422834353719,-0.003941266070571933,0.0060496981446930284,-0.002165122919854305,0.003552085782979702,0.001582905418899288,0.003228547397041605,-0.005133916038575824,0.007877595321594688,-0.0033713202486635014,0.007158338368142535,-0.0012001982319500438,0.004872766722730171
19,9.717107091655329e-5,0.0030917663459477866,-0.00557206512584723,0.006372837684356468,-0.004951887219731159,0.00489815851518722,-0.003266230331342409,0.0029994194284314333,0.0018572492008193178,0.0030595129329520116,-0.004704196677966937,0.007583735422375983,-0.0036226938321798356,0.0068479818363472895,-0.0012705992701748752,0.004608947280596443
20,-0.00122875806578819,0.0037672196757906774,-0.009294052088963823,0.005717552814373546,-0.0075504363285523474,0.004655495898644206,-0.004778116861373904,0.0025266286221066825,0.005195191932896298,0.00376450307603925,-0.0025181965991624583,0.01258357484556128,-0.000570756960159284,0.011233785452707918,0.0017225399814780932,0.0090408419385412
21,-0.002403307505131284,0.0035242462344648863,-0.009017911225075278,0.004936310488484265,-0.008152989662309195,0.0038782829101406003,-0.006039708065627318,0.000937116887646257,6.539031886947504e-5,0.0041769987361122,-0.007555173373984854,0.007783668470273498,-0.006428797912773792,0.006987376023754436,-0.003895787416339503,0.004378430000987759
22,-0.0018663138192571795,0.003885562110124624,-0.009378168175233419,0.005953508553531949,-0.0079366267765959,0.004823261146461979,-0.005471775828529708,0.0021864030888438272,0.0025949747748621947,0.004010413043350435,-0.005166639358265911,0.010327621067515162,-0.003330302301814488,0.009275671952382632,-0.0008655931165271686,0.00711441963887755
