horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0025806887936379234,0.0037408946886630557,-0.010220500726202368,0.004786225069880374,-0.009282893838090028,0.003420949345978849,-0.006164616916191603,0.001132648990834631,-0.0016742942977573869,0.004603230681354319,-0.009997383529263607,0.007927718976928401,-0.008899898101469518,0.0063437521578343665,-0.005932603164599534,0.0031148371399739036
1,-0.007267695077773044,0.004482723576569441,-0.016952762720503115,0.000404182742560675,-0.014799784327236727,-0.0009282634276421056,-0.012168316602256176,-0.002920811194724734,-0.005346785825696487,0.0054683487589421145,-0.01595313477246938,0.00469728613519033,-0.014977797625360643,0.003256071506492794,-0.011275339143741256,-0.0005454228734886231
2,-0.00811895359837419,0.004456878927504386,-0.018029671065518074,-0.0001414187977987232,-0.01565647998741063,-0.0016480121321188921,-0.01284880086950447,-0.004479493539859131,-0.007653719228328978,0.005269090646621605,-0.018823117754228694,0.0015330418273894096,-0.016942336511746817,5.9497244289686797e-5,-0.013278303155984853,-0.003248909169560989
3,-0.003527301673699147,0.0046846600017792376,-0.013153236635321915,0.005487252803988995,-0.011323089603699729,0.004093103815003872,-0.008389054099603626,0.0005607766858555043,-0.0020620262053452016,0.005209506560155826,-0.01302766708412944,0.007859795793626785,-0.010701167123960442,0.005960432047644042,-0.007296002353059264,0.0030402043412927652
4,-0.0051673993220326155,0.004991204685576555,-0.014830016631786487,0.005365843071995029,-0.013556387887670244,0.0035890124283881426,-0.010219756435783909,-0.0007430160619804987,-0.002577553774176735,0.005525594592418943,-0.012185450258887613,0.009340966164456708,-0.011325021427412856,0.007052422930555683,-0.007705638114223903,0.002963504044872078
5,0.0015518547338921923,0.004927194638204104,-0.007263343459062904,0.012593766130621905,-0.005896522279884327,0.010210668838054982,-0.003591799974896769,0.0062337110765392206,0.003452672827643201,0.005555078146648926,-0.006733956276595806,0.015878050083280557,-0.005310169804624751,0.013288180068565851,-0.002044803872181927,0.008644790061221628
6,0.002602634617402554,0.0045450460240943616,-0.005585628390685503,0.011466844368829623,-0.004688662779924711,0.010256853425677802,-0.0018491736783915432,0.00713885600910133,0.005090971297756847,0.005156029403065381,-0.005483833536391902,0.015596781512822035,-0.003368495448358521,0.013807124807706198,0.00012510274859391167,0.010048890439846381
7,0.0022521798064007587,0.004424137987490362,-0.006914057667974563,0.01041415218724861,-0.005574996874748448,0.009523746681198438,-0.002382811004369199,0.006342301114640947,0.0058234252419551435,0.004922882488121214,-0.003833737780231569,0.015450025363815813,-0.001959466024470062,0.01354480016056061,0.0005602447260203827,0.010901526989045002
8,0.004216806122924212,0.00375223771692172,-0.0034695780185902197,0.011259388912161902,-0.0022918328880418416,0.010089625805794806,0.00043038301094044056,0.007581325653924302,0.0054283814057325035,0.004607321263679721,-0.003848246105400956,0.014075332424053212,-0.002584441462127466,0.012635032527996588,0.000514832784011879,0.00942212514911775
9,0.0022333518295089244,0.00404672151208392,-0.005950820732656358,0.009608850552698913,-0.004551068873665788,0.00881367058070121,-0.0019180934155288655,0.00653969357492112,0.004876709790228607,0.004539549256111869,-0.004041015638189769,0.01439071622616248,-0.002385514204080978,0.012425572558151146,0.0006091736842580816,0.009368550093982962
10,-0.0003074641797288615,0.00439250386252582,-0.00893771457479129,0.008590086723897222,-0.007521654379964209,0.007120345441616115,-0.004650952200225841,0.003906193164017374,0.00502724015530253,0.0052385190623067445,-0.004757854441352085,0.015362980819460952,-0.003164408157591746,0.014105064366177322,2.2158279441447745e-5,0.01029062870825048
11,-0.0010317384304442056,0.003550161989215171,-0.008214569470950584,0.005559721059034619,-0.00739958854080745,0.0044966919254755145,-0.004476867217609021,0.002204884482868476,0.0007846517322933285,0.004343719725660024,-0.008783604036818497,0.008556177617166478,-0.006538822905557666,0.0076350275334814855,-0.003484325646995687,0.004868419548090177
12,-0.003577402435504623,0.004341816558771954,-0.01312987935744563,0.004280974082094553,-0.010414687263375608,0.003312995590651158,-0.0079053805574653,0.00028477817213419336,-0.002748018568012751,0.005501358476351731,-0.01371453266826096,0.007523346202505535,-0.01203973243517994,0.005934962736497045,-0.008214773267438845,0.0024307765816889808
13,-0.010340373244904189,0.005230504448047804,-0.019570943349442163,-0.00011111188069283572,-0.018516808058296755,-0.0019664898334587123,-0.016022894016089417,-0.00516307811058913,-0.01077150984543013,0.006151559460102668,-0.021737037011749293,0.001602375248917248,-0.02033095142335365,-0.0010095599159827817,-0.016777877763821957,-0.004701535445767997
14,-0.006549302641043309,0.0043712443429601315,-0.01529138133806154,0.0019284141165228476,-0.01392068273826232,0.00038644382871663415,-0.01065349151225725,-0.0025881464988199354,-0.005237090151554354,0.005054299563083193,-0.015389487151772359,0.004327331742356199,-0.01439491383931607,0.0028450897027067715,-0.00982029954460779,-0.00033050859672232956
15,-0.003637540556743359,0.00534714861357243,-0.013190908267180002,0.006934336611422898,-0.011821317454735117,0.005195585860998835,-0.008705800516906854,0.0016223790360776222,-0.0004889247614123488,0.005281280250990854,-0.010081302250966814,0.00946930777796991,-0.008518652818374793,0.008169439743949335,-0.0055916835855318965,0.005132502906734505
16,-0.0027340814960512593,0.00472072515818423,-0.011357198929167738,0.006129372465342783,-0.009921271156192605,0.005228050953066957,-0.007631267841539741,0.0024429185300893766,0.0015156111159611802,0.005736288736206765,-0.009323178084974907,0.01305482479522132,-0.007676569742315497,0.010987325866765476,-0.004045023985149244,0.007372388848852459
17,-0.0032953689867307213,0.005007988550804221,-0.013421725827190638,0.007793726277817888,-0.01096050211887304,0.005313397693766813,-0.007930463412349886,0.0014323685627379672,-0.0017096799915749723,0.0056369166215539425,-0.012018817043089733,0.010434657324873906,-0.01079712132030718,0.007995373521680445,-0.00706201325686522,0.0035800055122670576
18,-6.857720741526227e-6,0.00505345245466569,-0.01010975753979565,0.009422242416685047,-0.008596915420118997,0.008253361858879338,-0.005111157232361192,0.004931770035788498,0.0007765982102722794,0.005706574826958351,-0.010839156493238758,0.011328654595503956,-0.008824714984714323,0.009830264381656377,-0.005000566356308998,0.00701757091699003
19,-0.002600455474997271,0.0041656257318304765,-0.01086759166303854,0.005380740462017126,-0.009599265261371505,0.004425838517817643,-0.006929041059387119,0.0016750196763921582,-0.000840377345094488,0.004945436459577204,-0.010715871454695892,0.008137911295405958,-0.009431890782575267,0.00709940752430063,-0.005814697262271965,0.004120536540427578
20,0.006802111592804872,0.0041435393810176704,-0.0012314498740100832,0.014813601986018,-0.0005742119314227495,0.013628174962591607,0.0024807867819566735,0.01054303688489832,0.013226061591489344,0.004410374192236316,0.0037228986830558646,0.021759778728104216,0.006255157918431787,0.020348173122830045,0.00903254605789862,0.01768483187080297
21,0.00013825266002725654,0.004459363863058221,-0.008602401880573932,0.008918423667905495,-0.007463250460523841,0.00718434207930342,-0.0044910618861255785,0.004458159536576302,0.0026069504840280254,0.005222778186239642,-0.007027096984165062,0.013198927083540209,-0.005571906101691242,0.011258247790333787,-0.0021363746856838317,0.007256929661079997
22,-0.0022370746434092824,0.004443487230397262,-0.010809701062867156,0.005895756007904721,-0.00936418528741672,0.0050038910892419835,-0.006813254211245984,0.0022515279173687154,0.002224213950710099,0.005242806706646152,-0.0074856859987689406,0.013276076122919998,-0.005686242811465095,0.010973829281581304,-0.0028473063971899666,0.007570906154355208
23,-0.0059994023162184265,0.004102613421528794,-0.014723542836927579,0.0019476153842739095,-0.012933937962603224,0.0006870442785940788,-0.010053056560219556,-0.0022205557307395105,-0.005441017356661053,0.004828053325812526,-0.01491825540137641,0.00391747730403221,-0.013891580701801687,0.0020881056571018445,-0.01031748590907727,-0.0007719927766417817
24,-0.0014431644162403456,0.005211905285925508,-0.011218607269378386,0.008862635682342163,-0.00986594237641914,0.00709921733299583,-0.006500273359965132,0.0037429031406771038,-0.0012429269306350567,0.006517684099891054,-0.013132574511535659,0.011490244160242784,-0.012071252844125064,0.009987873929173994,-0.007537293288464978,0.005411923246875309
25,-0.009927976271324638,0.005033666970225016,-0.019819469165234787,-0.00023221412932567274,-0.017907888776418503,-0.001621867258554828,-0.014638888360758204,-0.004948795289006921,-0.01308046330411008,0.00578295674879776,-0.023976913983475137,-0.0015747826223256106,-0.02223652680811309,-0.003225136506326672,-0.01848538535724725,-0.0070917709478020155
26,-0.0021532386103474896,0.005740631443862325,-0.012704868645429745,0.00886466085415145,-0.011633736306356002,0.0073214693500809145,-0.008366435560560118,0.003972992974485002,0.0007318716515603164,0.006500617915152193,-0.011403162857866776,0.013277538005069808,-0.01029023695302738,0.011865863534024908,-0.005809737068991266,0.007452661588640023
27,-0.002873727328323769,0.0051004156873827216,-0.013248675551198233,0.006394044927360912,-0.01103618910297655,0.005314267898493604,-0.008542432778718502,0.001572854311245197,0.00044311515753419137,0.005690791061322678,-0.010613377751386734,0.01125199421845845,-0.008355555365109502,0.009222440737968022,-0.00553025459154146,0.005976258027625847
28,-0.0036129762289450855,0.005322114373853937,-0.013154059438558817,0.007405246882115016,-0.012511484616736374,0.00524553467170357,-0.008968141425710199,0.001771293976303665,-0.002231141901872318,0.0060422055664381,-0.013421293157822874,0.01060995352406063,-0.011798040547271066,0.007178189116825725,-0.008098786497247762,0.0036289802961434296
29,-0.005230741549332084,0.004443695782235653,-0.013975979102124229,0.004263288338337025,-0.01265031274030908,0.002188932984070189,-0.00931726064833734,-0.0009939128071355728,-0.008119111593114268,0.005191377564980333,-0.018367761189159126,0.0016023902125536418,-0.0169227992354336,0.00033069382140559736,-0.013163524614315992,-0.003005747691249072
30,0.0004090010391534539,0.004851863845652853,-0.008996143642664624,0.01015359625268114,-0.0074414505688234255,0.008115804113736764,-0.00424326853790095,0.0050526402905706575,0.0013995334735416335,0.005619324657276139,-0.00945672408364319,0.011950683881692086,-0.007753617631194368,0.0103868574073578,-0.0041860421976801935,0.007056572284044358
31,-0.006236350136799321,0.005536117916142104,-0.016855711142224894,0.00474982111305627,-0.015236663370957554,0.002792008876435239,-0.011661826913291862,-0.0005122553581223027,-0.003911667635293812,0.006381808020776006,-0.015304451233637526,0.010088531872739361,-0.014111551642832633,0.0074467511490597885,-0.010014070595547635,0.0022194213987270202
32,0.001330052460851174,0.004802598675104157,-0.008475914032701537,0.011025387477397428,-0.00669522447966866,0.009660315792704516,-0.0029067082571360317,0.006153280425887824,-0.00035700033423513935,0.005117227951244736,-0.009734820447260439,0.00934479420895502,-0.008629474727875999,0.00799916699004951,-0.005120617388005596,0.00472560688314212
