horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0032067219672357516,0.0016157986174885745,-0.006207278171971779,-6.860948965839218e-5,-0.005794233771464111,-0.0004386459704841225,-0.004869255334606274,-0.0015707443854422443,-0.0036147908646648537,0.0016650711941296364,-0.006977179003330151,-0.0006637056524881764,-0.00644684958420005,-0.0009744759241060991,-0.0052597192950226265,-0.0017549237878610622
1,-0.003072352002321639,0.002197576685466173,-0.007147154542245184,0.0008793306019327552,-0.0066269839655611245,0.0004977298838743125,-0.005251250427347484,-0.0007549082973717982,-0.003950689716429973,0.002246234002377859,-0.008248949348543616,0.00026532858078405524,-0.007698454855068314,-0.0003486001813140903,-0.006099084356878994,-0.0014761310125347457
2,-0.005274763574823599,0.0023589348272870345,-0.00989635431274853,-0.00012101703280047209,-0.008932730091925693,-0.0009309393285093834,-0.007554364201758062,-0.0029940007403208764,-0.005979922250430529,0.0025265690924844205,-0.010914279274248158,-0.0008044856339054612,-0.010021942104459062,-0.0014658394465702426,-0.00838604359490589,-0.0035274946253323375
3,-0.0019136305959940605,0.0021928776862915117,-0.00647439843672357,0.0023414329329282868,-0.005558125689734443,0.0014788605627272266,-0.004093256701381082,-8.741462472386922e-5,-0.0025063782695724395,0.0022103807963249913,-0.007037791241131842,0.0012597022142133156,-0.006401523200684155,0.0006921371224020763,-0.004728591084845895,-0.0003481731521184347
4,0.0001213176297526826,0.002396683390761347,-0.005314721157051788,0.004115887609038688,-0.0040833527067114074,0.003612966842975445,-0.0022921255961811846,0.0022833555960556254,-6.80459688595278e-5,0.0023324179280369882,-0.00512653574707874,0.004170241303516218,-0.0041107176016336785,0.003350596129749024,-0.0026467085576739047,0.0019493817687904797
5,0.00017011148501987254,0.002211291307799803,-0.00452154561282739,0.004256381711719161,-0.0037606425144992095,0.003410754405959641,-0.002210001199757983,0.002161641313619422,-0.00010588277960503142,0.0023760918859240428,-0.004975513827377817,0.004092207967130568,-0.004196092062861641,0.0035015084470648634,-0.002520103454811011,0.002207257850238626
6,-0.0016147075392307776,0.002119485511791805,-0.005998542365817294,0.0018758831568433327,-0.0052420847285012066,0.001547239579255795,-0.00393863447143925,0.0005426535030768504,-0.002177880842449034,0.002161935904942788,-0.006457332442653152,0.0019481532102946517,-0.0058221147238569785,0.0012074538392843114,-0.004297373962296544,-0.000165258105545631
7,-0.004623402244587207,0.002178275915088869,-0.009137282119762797,-0.001021910222868649,-0.008531017100415282,-0.0015849945527773642,-0.006987776710664347,-0.0025410781214960923,-0.0037108662083800113,0.002532579266765391,-0.008642578376729807,0.0009366900084003696,-0.008108888902756257,0.00023135409271770794,-0.006186259898320975,-0.0013250297471506217
8,-0.004695886621082411,0.0019029077286953759,-0.008167386712726588,-0.0010487960251048228,-0.007598475006770528,-0.0016105706886813402,-0.006680994012563306,-0.0027157837401691233,-0.005565569135780802,0.002181159914932933,-0.009852180602264983,-0.0017740110405639361,-0.009255858122589259,-0.0022464163372330195,-0.007761130775486638,-0.003370354230424426
9,-0.005934975161212916,0.001953216183950533,-0.009569189198974657,-0.0020773387983631054,-0.009109423652342595,-0.002629527276287936,-0.008039447714576846,-0.0041620664411223755,-0.0054293233381332694,0.002047888027647329,-0.009340384978491989,-0.0014904059579126496,-0.008804455278902645,-0.0021283632685052695,-0.007631762936053677,-0.003562611149060796
10,-0.004436568822302445,0.0017800016984446622,-0.008019478548496892,-0.0011047235123929026,-0.007259149829102199,-0.001598020942948058,-0.006172849107268395,-0.0026998875210583486,-0.005687359924290171,0.0020539172067764195,-0.009376276882168511,-0.0016287525996915178,-0.008747129053975651,-0.002248015169097286,-0.007676131980974096,-0.003719357311093483
11,-0.0045624181767748555,0.0021160419973829643,-0.009108591260728091,-0.0003936494770507233,-0.008449593104570526,-0.0013703750150465127,-0.006670028614127825,-0.0024591207020586933,-0.006452803305489387,0.002183603814614544,-0.011241605507315825,-0.0021899007425890842,-0.010459179219629097,-0.0031272199595091393,-0.008463978788023276,-0.0042290194273883926
12,-0.004420027140385651,0.001666197094179538,-0.007918350416380723,-0.0015154249687476056,-0.007216987114610766,-0.001888604309802409,-0.006166735065749638,-0.0028479480404189827,-0.005507237655169135,0.0018811519309402877,-0.008949238526845016,-0.0020053136480377085,-0.008726143488474144,-0.0026454509668707694,-0.007330126927335928,-0.0035611797373827627
13,-0.0031869490704398394,0.0019904831816632803,-0.0072942800502097185,0.0004325400121583423,-0.006711092132636717,-0.000315387083092278,-0.005298053696852923,-0.0013148978213408534,-0.0036678282495752283,0.0018654104353117806,-0.007727624775083618,-0.00026656946307568915,-0.006916681948433595,-0.0008312758243778219,-0.00553062155688841,-0.001981888881222647
