horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0010161386611014774,0.0011405341861055595,-0.0031752213444192247,0.0011790014245944627,-0.0027616796971619926,0.0008459642375486064,-0.0021046468103491527,0.00021179339015048966,-0.0014242075585305732,0.0013473826173509317,-0.004099277842255068,0.0012497927077495985,-0.003413600271594298,0.000819140702763765,-0.0025185825913982183,9.299134743692277e-5
1,-0.000447148985168614,0.0015432530577471643,-0.0035110589859403884,0.0025228966959037783,-0.0030749776443532045,0.002042455054045921,-0.0021290451340547473,0.0008765079664399403,-0.0013254866992769487,0.0016590423865435334,-0.0046221350954634395,0.0018817763284603027,-0.004051544586584701,0.0013054560456491606,-0.0031229822356718005,0.0002686502521964522
2,-0.00031371503662767854,0.001542356435711867,-0.0030526048949154035,0.0029113739201656174,-0.002744999527733176,0.0024160601360686614,-0.0018976426664297694,0.0011169745419618577,-0.0010188737122346042,0.0015428551403722233,-0.003883393625945211,0.0019998223971064637,-0.003623295540762013,0.0015027727903345034,-0.002597548105137227,0.0005196099678457552
3,0.0008289614016706889,0.0018385063633601943,-0.0031645594487771656,0.00430470219712926,-0.0023897465610177803,0.003687240009630923,-0.000927638912359722,0.0025306236867289464,0.0002362137280923121,0.0018228728030325045,-0.003393397376862075,0.0039765441228451675,-0.002694862566017186,0.0032597683789229973,-0.0015037595940689244,0.0019553573750814572
4,0.0005897133728529921,0.0015759951107574886,-0.002610057222580535,0.0036245513679280385,-0.0019793333978471955,0.0031728717877458927,-0.0009434468127416392,0.0021368915653251076,0.0004003497742407817,0.0016342222952995104,-0.00269063778091652,0.0036979372514053194,-0.0022396112501740983,0.0030936538914258355,-0.0012412887984729,0.0019602000340296043
5,-0.0011667468202063791,0.0017544608479563815,-0.004558817834913369,0.0020730604399601307,-0.0039141192500337894,0.0018613257031872968,-0.003038040457217004,0.0004782191232487956,-0.0014427410848312872,0.0020791468938843255,-0.005937608054781959,0.002386056590566948,-0.004978123330018257,0.002076739631826151,-0.003415108612414512,0.0005464943845242883
6,0.0010671882814495743,0.0016393087969579678,-0.0021863096747234126,0.004125063135789568,-0.0016650897666508997,0.0036970156394864418,-0.0007236154165728199,0.002669504047084113,0.000504014978231317,0.0019172880343161116,-0.003243447300769607,0.004284273668323033,-0.002729675936616994,0.003651359711116309,-0.0013275981988499447,0.0023745391846185333
7,-0.0019148836667872344,0.001616441433448893,-0.005326670385060696,0.0010672584110211268,-0.00487937221159976,0.0004663428972698809,-0.0036984240197137615,-0.0005106009913244185,-0.0010023476305800474,0.00199297663836338,-0.004909118332422212,0.002844601032228463,-0.0043954730215417315,0.0022426855244013304,-0.0030599687093896236,0.0009274432279053008
8,-0.002078731098249774,0.0016459620074470258,-0.005396853114673868,0.001271118275093314,-0.004760859861667969,0.000699619339292365,-0.0036584932036823298,-0.00037544346355432317,-0.0029484136129450584,0.0020486842354246718,-0.007187966826532874,0.0006298143474041118,-0.006334365338726686,0.00013353190989257268,-0.00494843298821043,-0.000982065578721647
9,-0.0017865716983060114,0.0015225361714964552,-0.004991192002147949,0.0009966990025930536,-0.004564768562334177,0.0005908210722898096,-0.0034974393303976326,-0.0005260182755407826,-0.0012809198752268959,0.0017766575975062292,-0.0049300807841969815,0.0018338705127164407,-0.004405296400873708,0.001341493243394087,-0.0032541888499363274,0.0002686795622301294
10,-0.0020219942854426323,0.0011964207290236528,-0.004303727604642007,0.0004475208607597794,-0.003953125673784042,-5.4302342745297434e-6,-0.003194947944546951,-0.0008727379272281785,-0.003272785387430339,0.0015482916228502233,-0.006130724483539657,4.7239544206506986e-5,-0.005690938124518101,-0.0007064200610298058,-0.004725711289370718,-0.0016628768724141472
11,-0.0007587820210785349,0.0011148282184821055,-0.002732054726889326,0.001423488782295168,-0.0024942930582544168,0.0012028302638040556,-0.0018329192162743675,0.0003440934765389031,-0.0026491671497933956,0.0012682307734183163,-0.005040496893568579,-0.00012585488212826578,-0.004643891137398187,-0.0004363638380953223,-0.0037971110282296406,-0.001369552619344445
12,-0.0006545612802606722,0.0013623525948181102,-0.003351892469966168,0.00195469714903353,-0.0029685408977455424,0.0015665290388298826,-0.002080914870615497,0.0006287872025282187,-0.0017417717950440092,0.0017025770543758706,-0.005042078011188914,0.0015269629166528376,-0.004643627241814943,0.00114688252112997,-0.003498975389019718,-6.830191843726273e-5
13,-0.00036238353643490835,0.001485840604861875,-0.0032984524762208257,0.002463363879757911,-0.0028322712023132884,0.0019508214863657866,-0.0019091017904498565,0.0009495462209120916,-0.0008432627155704938,0.0016734930981015476,-0.00412273666490924,0.0025275968986637294,-0.003539262807200918,0.0018804220437378654,-0.0024395251471266252,0.0008098457837097328
14,-0.002500217900621007,0.001684482206485346,-0.00605658695033452,0.0008250110605080953,-0.005336014910122077,0.00036762469714949177,-0.0040886975204953695,-0.0008805576404254638,-0.003383642669435635,0.001822261022710401,-0.007135350639530456,0.0004003426024923551,-0.0062847886501703355,-0.0005119339114018872,-0.005084448369547364,-0.0015661184307509599
15,0.0002785396893854077,0.0016934141627017742,-0.0028194962287471006,0.0034393866949410383,-0.002339371162370215,0.0031683454827491978,-0.001324443811854091,0.002141246010067785,0.0006623390905871446,0.0018654499959725754,-0.0031004254627113067,0.004343201494537301,-0.002256810857442564,0.0038357340838565995,-0.0010865472807642378,0.002586160496827563
16,0.00042546745694200454,0.0017337605491955746,-0.002854025110460014,0.00380708636455028,-0.002352004187831263,0.003162865282762405,-0.001214905216301542,0.002079690201568495,-0.0003402765890136659,0.0016922604854253888,-0.003942612810315058,0.003032179898100863,-0.00314541047904305,0.002399239269632921,-0.001925195517166801,0.0013459443659789593
17,-0.0009360014841510446,0.0016391300403810283,-0.004250340098466962,0.002273566400670301,-0.0037097290213798126,0.0016462383877024454,-0.0027242798642994263,0.00040346771707953124,0.0004422597078306321,0.002101164816740368,-0.003746262000169613,0.004541777613005522,-0.002991398792166917,0.003903098878952108,-0.0017143614194882182,0.00239767172844153
18,-0.0005772029754403735,0.001649838131841343,-0.0037662727503259413,0.002528060935520619,-0.0033049871413680988,0.0020847555142796503,-0.002261712481251837,0.0010911104247903452,-0.00011659711091295659,0.002041747119494495,-0.004179112403948337,0.003647826077979057,-0.0034116688043224212,0.003201705585538441,-0.002198072930296904,0.0019409506970229865
19,-0.00321807301205937,0.0018914191576449595,-0.007196189654591236,0.0005945035030460611,-0.00642302871393048,-0.00022815196608326097,-0.0052753859910349594,-0.0015239211874128484,-0.0014745647417929199,0.002338569558360995,-0.00617842015030488,0.0033467820241758917,-0.005633109070949837,0.0021568896421511412,-0.004039984665827487,0.0005476640068892013
20,-0.003992897531397739,0.0017538114736771627,-0.007555068044111665,-0.0005728824193220397,-0.00674580563686014,-0.0010868745317208287,-0.005677812323069027,-0.002345617987980982,-0.005132872929724627,0.0020742948958463892,-0.009058212285857209,-0.0010705380652031747,-0.008503468320461774,-0.0017060412120171405,-0.007125490735069268,-0.0029467217961632094
21,-0.003324391911644417,0.0014062317762836985,-0.006129991416137008,-0.0004996554640015246,-0.005443345458772438,-0.000878333508081256,-0.00464001859493018,-0.0018708894698963659,-0.001751703509270832,0.0016490847985320015,-0.005098016867599393,0.0014415016619406013,-0.004590783848622127,0.0010400358413501561,-0.0032615629518697948,-0.0001272715528568285
22,-0.0019286281244163624,0.0014461393582288437,-0.0047873240379498316,0.0009185020138900812,-0.004311024521542239,0.0005421904741446119,-0.003344904053064533,-0.000525322890686363,-0.0017472543435099947,0.001755703945007052,-0.005215041631099129,0.001893290263667761,-0.004631079042908623,0.0011125504478597039,-0.003610325216083476,-0.00015524879823899522
23,-0.00022860704490805213,0.0014498678091017978,-0.0031952468782295313,0.002226709950510542,-0.002777049650832722,0.0020237638042666707,-0.001760733399681285,0.0011614942914491074,-0.0007619874759295193,0.0018243793662711628,-0.00465997893562684,0.002508380077698112,-0.004023419991026297,0.0021138573644611043,-0.00266905018263246,0.0010823461520238825
