horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0037718486966083977,0.0026781808230921305,-0.008773771667040353,0.002058774362424023,-0.007893096560822491,0.0006957029497083784,-0.006359348388984812,-0.0012098303927408544,-0.0030640382042339247,0.003197273132779466,-0.008787693179385037,0.0034351916369780413,-0.008068738409957638,0.0024390807961114837,-0.0059928366091118734,0.00025015428341289037
1,-0.005209280722676741,0.0032905456948978044,-0.011494784058694626,0.001376604834151282,-0.010620517496111927,0.00014900462382633922,-0.008455996469068385,-0.002078230520786345,-0.004228539285127329,0.00408371115835542,-0.012459974934708682,0.0040112949997032354,-0.010775482953770251,0.002368776758452771,-0.008150891851625952,-0.0002657431822596748
2,-0.004193413246486976,0.0030985233704411293,-0.010070827511411588,0.0017575202626548682,-0.009123827300243484,0.0008572545329561874,-0.007286733880864697,-0.0011206071478814584,-0.004560635573098128,0.0032783598211269436,-0.010801870163439097,0.002211490953018856,-0.009746553051789964,0.0011827253382565824,-0.007856006826854832,-0.001626558937135891
3,-0.00198791921610783,0.0038634620953251556,-0.009012714558300229,0.005613598191940008,-0.008292958139910853,0.004562602245616626,-0.005894396839344019,0.0016933580376554834,-0.0012984448135452318,0.0037520338035583432,-0.008806232255612327,0.006052750337116993,-0.00745115777122721,0.004668238914224655,-0.004937527708642701,0.002220589466751865
4,-0.0007066723555028103,0.003807570652446699,-0.008187434357726108,0.00689377430515143,-0.007057150598439511,0.005806077041961815,-0.004671232168416482,0.0027078079591663627,0.0014887650961833063,0.00409625437867615,-0.005520964854226483,0.010627579890045934,-0.004439123690104839,0.00894789141806574,-0.002305913193439873,0.005675612774494267
5,-0.002591471613210196,0.0032358117833417334,-0.008968377508234662,0.0039117259885739905,-0.008163624940639606,0.0025928134069936005,-0.006006973497189391,0.00038725180318176884,-0.0011731741457537026,0.004193119967977178,-0.009126360064753702,0.006914377834878842,-0.008319161357660707,0.005885706929615167,-0.005746393833776072,0.0025741857363760453
6,-0.0020963671078175236,0.003631182338212322,-0.008834470405592848,0.005321832315436466,-0.00817261431938911,0.0037894082998562607,-0.005625709248132651,0.0014726263575804222,-0.00043781502360367965,0.00370468258806091,-0.007076183290611045,0.006841747423642991,-0.006097276291052218,0.005754261661648453,-0.003878880640735132,0.0033899434704122455
7,-0.004040533718027686,0.0035153881553900215,-0.01077762153925372,0.0021780159992751567,-0.009986231006019726,0.001270535306202256,-0.007825776167604303,-0.0010021737417476488,0.00019336410588455187,0.00404872396220945,-0.0072286511926293595,0.007850206925942477,-0.006485973881673688,0.006923648327714209,-0.0040650973551071305,0.004143497403838296
8,-0.002455467273577733,0.0040522737072828385,-0.009913627961903277,0.005738315890235934,-0.009063344567530735,0.0042490337693039905,-0.006466762542653085,0.001316173489312234,-0.0023392979600865937,0.003951914802561345,-0.010113114335284086,0.005143433922825352,-0.008808646535917574,0.004098990278901722,-0.006324564130777975,0.0013510692575365892
9,-0.004611740055112988,0.003921629204439712,-0.012248036574181595,0.003360123070147056,-0.01098818080079246,0.0019027416588726185,-0.008721770222813813,-0.0005899462266212509,-0.001625379128835203,0.0043131888427584576,-0.010158309592037836,0.006626515956543642,-0.008917826161822705,0.005343568398504233,-0.006023267254258564,0.0024374144438625155
10,-0.00327602797008253,0.0037624393886594634,-0.010537928062770744,0.003554872663244708,-0.009173149243731978,0.0026509970110855487,-0.007357047796177338,0.0007691545911944197,0.0006373820536373034,0.004456736054809628,-0.007132159044291174,0.009665985809421006,-0.0062670461446261965,0.008448405341132902,-0.0033884946585429213,0.0054399738809486585
11,-0.0038211917984121873,0.0031254343867327143,-0.00975020463901432,0.002355797915000027,-0.008513261476150124,0.001614350431604479,-0.006844890223625731,-0.0003882531124137875,-0.004080620975528117,0.0032184931240437603,-0.009800376436648509,0.0027796641507555615,-0.008746557715834073,0.0016090693404718858,-0.007079773276667993,-0.0008897025794687188
12,-0.003223749332384348,0.0035532390221931437,-0.009947720812655988,0.004115430251391587,-0.009512561719992785,0.0025974464586892595,-0.0066689001427296885,7.773076809099063e-5,-0.003621608605067566,0.004464203436664576,-0.011953241326411786,0.00555746702023168,-0.011123815209768012,0.003927288641168812,-0.007725043953245015,0.0007810812753023799
