horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.006242325085981517,0.0033984533712012807,-0.012494242728623307,0.0010635554516187536,-0.01157762181269141,-0.00029530320846884084,-0.008962729231812521,-0.002680383987383988,-0.0055345145936070445,0.004533399295554162,-0.012767285733237045,0.004422332421215511,-0.011900674851714654,0.002669210402730713,-0.009714682531204857,-0.0005296560330521912
1,-0.011468263855278653,0.003859554280433446,-0.019101157217947043,-0.0037743992025291804,-0.017870680171271257,-0.0046309144607365,-0.014963014519112219,-0.007485941376201792,-0.010487522417729241,0.005342451367995566,-0.021585196313118605,0.0011547563582780217,-0.01941617434270364,-0.0017843271021387346,-0.01543146210547682,-0.005351606457826454
2,-0.007745310212680199,0.0037471788996003464,-0.014176148351731022,1.4376607522817026e-6,-0.013532706680528648,-0.0010406657460461188,-0.011289401580451504,-0.004042672406706655,-0.008112532539291352,0.004691650661201814,-0.0164250072840548,0.0011893730611602937,-0.01559829006491829,-0.00020223996932697792,-0.012755276093612912,-0.003412653313852507
3,-0.007254430368869539,0.003566584536052305,-0.014334946414236705,-0.0004945751124292082,-0.012753255745061611,-0.0013136416997052574,-0.010527344616508678,-0.003770539830720018,-0.006564955966306941,0.0044491727385123836,-0.015032128696911135,0.0022632489519896558,-0.013852423443904329,0.0010908177814939457,-0.010820636494713612,-0.0019698993958056827
4,-0.008284270082767409,0.0037215891962163253,-0.015493436322369367,-0.000791422310444169,-0.014535110426708837,-0.0018149022953813725,-0.011594539170979641,-0.00452323239532589,-0.006088832631081293,0.0045794717386104696,-0.014738248457314604,0.004207770397926186,-0.013018672456841372,0.0020998353650956538,-0.00993355418405222,-0.0013288713540010502
5,-0.00963602473824321,0.003799198040037334,-0.016791947686814884,-0.0018171070882578764,-0.015484995535301593,-0.00337854914017902,-0.013520438908555409,-0.005755911695353128,-0.008217727270786717,0.005214245282734438,-0.017779057826007347,0.002551032574773157,-0.016359216537246906,0.0003148892735202877,-0.013444936088528365,-0.003085132468469146
6,-0.007670506715798462,0.0032791284297868798,-0.013621264171117135,-0.001071109719447491,-0.01263563123663988,-0.002282815934731964,-0.010955959933525139,-0.004298881980291024,-0.006011954631584618,0.0046265901353447865,-0.014578990746519527,0.004070526952154067,-0.013420212341261376,0.0022184739424493064,-0.010027279198138934,-0.0014795447530848427
7,-0.00982990170891251,0.0033531270951712693,-0.01639385499372861,-0.0027067183010046412,-0.015106479691793975,-0.004196620190194483,-0.013084704833939755,-0.006683284719185849,-0.005596003885000273,0.004581745766024609,-0.013702401509674906,0.003772111798588977,-0.012663956914798635,0.002168031696783331,-0.010240833729014735,-0.0008098782525461822
8,-0.012753585612451017,0.003548908228230487,-0.01956369614312238,-0.005533267271130752,-0.018537834163773064,-0.0067941660051778485,-0.0161485053930765,-0.009365563185090088,-0.012637416298959878,0.005286161336373484,-0.023217644783693696,-0.0024464666921187933,-0.021349736567557207,-0.004329848870919407,-0.017720580419890948,-0.007203514630321768
9,-0.008582217844610907,0.003981624805647739,-0.01635220164587359,-0.00021085511327939132,-0.015052164679729484,-0.0021025053045068774,-0.0126823563849551,-0.005073822535901837,-0.005595856918333122,0.005792339420747281,-0.017390943510727647,0.005472132876357942,-0.01583715086801699,0.004000950058462921,-0.01179411663422767,-0.0004742405656403427
