horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0002635707009354635,0.0004317744363926507,-0.0010992912786660053,0.000602809964566191,-0.0009324229966697754,0.00044812805200455946,-0.0006715270880370443,0.00018318932376631765,-0.00011518183562463891,0.0009473830558925893,-0.0018727130225997726,0.0018059411143711746,-0.0016252190677186796,0.0015553952205842351,-0.0009851664660134544,0.0008942316378433844
1,-0.00048428611918908184,0.0005750877006765153,-0.0015440343994506287,0.000706041098144059,-0.001384820718463161,0.00046866771499065276,-0.0010804589929011349,4.244822536282512e-5,-0.00045845514017640263,0.0012108800075239826,-0.0025730631940073558,0.002120033635229627,-0.0023294067219696768,0.0017059729506110324,-0.0016555862203279947,0.000762024306437128
2,-0.00010768572270391727,0.0005717165800589068,-0.001241748856084276,0.001066394057919807,-0.0010116442522545665,0.0008540672575096506,-0.0006865770357719913,0.00044693723371624087,0.0010680140587340427,0.0010573544451968318,-0.0010246780016500742,0.0030626251930622505,-0.0006422157524683644,0.0027025876079111713,6.889723210139653e-5,0.0021269038258001955
3,-0.0002201312357699172,0.0005350899661694456,-0.001361869922600787,0.0007291453740268307,-0.0011371503754501143,0.0006451590056071266,-0.0007515340629129216,0.0003034080521909329,0.0008306473645680818,0.0011882233959860948,-0.0015990506432108195,0.003073467867223037,-0.001233456691322153,0.0027858887069259113,-0.0004368570230760601,0.0018812426587932183
4,0.00010589085564624773,0.0004919529094759813,-0.0008520162892529371,0.0010538130362813289,-0.0006756710560480515,0.0008755733640104336,-0.00034672710142971995,0.0006243980617169493,0.0007234516113797037,0.001068863740660849,-0.0012387068564071358,0.002960973305520658,-0.0009762426767207697,0.00256952108072729,-0.0002998457946741827,0.0016941645449437188
5,0.00015825806536484894,0.0005439040821576666,-0.0009040055341217101,0.0012377662861481735,-0.0007139247460008087,0.001085589298657847,-0.0003524870568306858,0.0007039145863277835,-5.1600640200683835e-5,0.0011468088421916782,-0.0022426085045641484,0.0021758406638851657,-0.0019045954626429476,0.0018765788407745356,-0.001220785455625299,0.001073138240097157
6,-0.0001013639778993986,0.0005087608521525554,-0.0009798342570993281,0.0008902327036474161,-0.0008585040648887146,0.0007492898902694649,-0.0005767361027069005,0.000426080569624256,0.0003918158700619929,0.0011739811201903602,-0.0016220586455609435,0.0027856840668269416,-0.0013708806121006524,0.002417142824562933,-0.0007537037436192886,0.001607112831641947
7,-0.00025276577309137527,0.0004676899544994596,-0.0011092052276546135,0.0006676251104806429,-0.000981791851865249,0.0005269268279545137,-0.0007198387407455681,0.0002021437194985062,0.0002829647793006159,0.0010815196454317694,-0.001755487915593435,0.002678485408293772,-0.0013685141471865185,0.0020647700124076023,-0.0008816448257275553,0.001232936641633549
8,-2.3569857928540036e-5,0.0005099453067067433,-0.0009513443363222378,0.0010230438834239722,-0.0008306020862019079,0.0008913548299540657,-0.0005110040523570882,0.0005227710333405228,0.0003907050475310416,0.0010911987230966538,-0.0017589005004584315,0.0026795037152866144,-0.0012442390304702668,0.002331196611988105,-0.0005525940918758382,0.001540256365511789
9,-4.158671420714474e-6,0.0005076249952620838,-0.0010090172533972514,0.0010301243360800914,-0.0008093745288142349,0.000889008217389726,-0.00043480987762082755,0.0005370821880756692,7.269228535666933e-5,0.0011904045032337268,-0.002016178688958055,0.0025445076153005983,-0.0017792427215354363,0.0020893870835864223,-0.001075721680501625,0.0012711586090058478
10,3.339029086159409e-5,0.000498441867995134,-0.0008136769392758881,0.0009855853376449408,-0.0007316385057734397,0.0008918423629604149,-0.00045461548798241,0.0005369087158796548,0.0005148332019866936,0.001194337444960017,-0.0016814865890741556,0.002992157328626699,-0.0014377213843483091,0.002820354966477401,-0.0005758830157848742,0.0017251403972152464
11,0.0005181878420349268,0.0004931135310551967,-0.00040533682343462036,0.001497285967022502,-0.0002444307759897165,0.0013616099877681238,3.875186445666914e-5,0.0009978667877022424,0.0016554594929009956,0.0010405584437087377,-0.0005394572564736783,0.003568450186778992,-0.0001555417858906939,0.003318912651068317,0.0005943287170782532,0.00266084881191476
12,0.00011508307740132746,0.0005744219756664103,-0.0008961186462772565,0.001257592402689146,-0.0007549628186235575,0.0011325797794585577,-0.00041669802114377403,0.0007457511787216898,2.5172441930594115e-5,0.001132508128617604,-0.0020394322457663668,0.002269330058697837,-0.0017657795832877327,0.0020012658697603535,-0.0011037193909636878,0.0011898693090923234
13,-3.304778562431698e-5,0.0005151407622403678,-0.0009270473415041258,0.000977037674377792,-0.000815556169079362,0.0008421084946267688,-0.0005225173827810838,0.0005094977801613997,0.0003682791486066319,0.001132539118805833,-0.0015786852380498175,0.002683249150182215,-0.0013331914981182223,0.002439427255977504,-0.0006057200631539318,0.0016857078138423063
14,-0.0001080379356169297,0.0005677124738517974,-0.0012537484589435653,0.0010017478955492724,-0.0010499010933169655,0.0008605320702688756,-0.0006268879057368985,0.00051164400133739,0.0008841727976736516,0.0012087739809476384,-0.0014738249713108073,0.0033860942537442314,-0.001007149787867195,0.002982253900757277,-0.0002886391691797723,0.0020955429760270705
15,-0.00015273968664180607,0.0005613689512114974,-0.0011785197068839648,0.0009098581219115276,-0.001033898808293517,0.000766017791976842,-0.0006845962200421959,0.0004541023132508949,0.0006964571823201303,0.0011374143585982355,-0.0013132153799403099,0.002922858259157793,-0.0010228879119435728,0.002652507021355381,-0.000431141592814936,0.0018754430791931682
16,0.00013147456141216212,0.0006006120235968117,-0.0009396429040346682,0.001495986443066609,-0.0007493139161867828,0.0012381512251579197,-0.0003867335621286365,0.0007698060039562744,0.0014675298058888812,0.0013034679706583196,-0.0009976824490878563,0.004152762585968535,-0.000481441799501621,0.0037039756008332503,0.0003100070984421192,0.002866059004160916
17,0.0008561191746032995,0.0005777678541297693,-0.00023269051392147257,0.002002637168932208,2.398061738585609e-6,0.001828512607106308,0.0003439966731607316,0.0014545562755169563,0.0019338114152944138,0.0012747334181272307,-0.0005015950367800402,0.004481736515556094,-0.0001482602384346575,0.004057513009878961,0.0006540427349557807,0.003204119814389044
18,0.00029170876551221146,0.0005453702212257427,-0.0007176447603326034,0.0013638116106217124,-0.0005218414494467852,0.0012126364157483403,-0.0002581916940189891,0.0008757760063319109,0.0011174861590004235,0.001389381027915562,-0.0013102143864567948,0.0038373351832168756,-0.0010842429833251778,0.0034194739175608152,-0.000277639264095712,0.0026291246665744172
19,-0.0003089072103375051,0.0005973232219483892,-0.0013557995781491284,0.00091657700099733,-0.0011883993085716968,0.0007130348187752854,-0.0008379840631021829,0.00039552810665661174,0.00039248165272991165,0.0013385736059379689,-0.0019017300286330154,0.003234520164433696,-0.0015124778929233608,0.0027961961823290537,-0.0007735159070268691,0.0018192821529907236
20,-0.0006457155222566748,0.0005673146272267993,-0.0016972567394037657,0.0005159348558645083,-0.0015078453579044874,0.0003055794402865829,-0.001193461348688099,-3.0421666173177662e-5,-0.0002625694119471184,0.0014386040311855349,-0.0027381797744114216,0.0028471831391011287,-0.002472072333198265,0.002210064806857135,-0.001595116368595004,0.0012045175522216495
21,-0.00019320077798439255,0.0005382307358317943,-0.0011897367247373117,0.0009049730013155335,-0.001014251996833295,0.0007345663074623835,-0.0007379544305515436,0.000372241718300225,0.0008757028689093797,0.0012594999657443795,-0.001522577078244382,0.003394882170826131,-0.0011865579370948709,0.002889655935431836,-0.00041025535975784775,0.0021514309881542487
