horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.0021490241854359026,-0.00018234907015218836,0.004610674443232329,0.0007161684222475057,0.003603917702354241
1,0.0003732086924562306,-0.002750848900844158,0.003170216702703067,-0.0014147669621834783,0.0020267191247840444
2,0.001219914464876274,-0.0011462098281680845,0.003599097222668776,-0.0002307275047730658,0.00261068971338343
3,0.001424945921681158,-0.0013545615403546068,0.004300685031722641,-0.0003085202367383885,0.0030001863181899763
4,-0.002005173703090025,-0.00487033160911341,0.0009623727086261959,-0.0036208000186427136,-0.000247540564893254
5,-0.0003676342565449059,-0.0036262809824068316,0.0026645008012592267,-0.002489320668554718,0.001415180523234968
6,-0.0005184167092020128,-0.00318474438535034,0.0019259703576387384,-0.0021275664554665126,0.0009591585389180562
7,-0.0026801071613389853,-0.005555697616238446,0.0001596934195151234,-0.004280118610064693,-0.0009380998259316518
8,0.00040592114075295595,-0.002648089571233333,0.003102813266232977,-0.0014157754772327028,0.0022470014663838293
9,-0.00149690596697662,-0.004423278378112657,0.001728902769680041,-0.003328403859997189,0.0007903997013684887
10,-0.002666036753312585,-0.005159721017877268,0.0007750755170818639,-0.004186245825919537,-0.0007035221790720179
11,0.0005010914634769135,-0.002254844019593478,0.0033551929767372357,-0.0011324817755063753,0.0022190674538086425
12,0.0017641936148785232,-0.0014325210351010776,0.005243163707054112,-0.00012108157376206768,0.0036913466595469777
13,0.00032256271119231785,-0.002300677036126726,0.0032884123472572218,-0.001162583713283307,0.002231353189780235
14,0.0010140881324772343,-0.0018214415319598915,0.004100770850329279,-0.0007037116085335589,0.0030319096819189408
15,-0.0023806044641716873,-0.005940375780815603,0.0006316423599816482,-0.004379852285051903,-0.0005096202270135912
16,-0.003521463059661777,-0.006252670258418524,-0.0004533839221120867,-0.005181294793258393,-0.0017292593029046963
17,-0.0024236973942043717,-0.005926183762421226,0.0008810501510925091,-0.004505201331396769,-0.00044524100218542445
18,3.615510078469747e-5,-0.002572435276759063,0.002590041089173701,-0.0015306320997349986,0.0015413947684027372
19,-0.0031115573574767986,-0.00591725115145595,-0.0003720439339194156,-0.004750928336246459,-0.0014978195976585217
20,-0.0038563951129009853,-0.006869036859434541,-0.0004414480650033149,-0.005621090999281654,-0.0021380164009321455
21,-0.004089784603752115,-0.007330584065664029,-0.0010935252606789412,-0.005938725256624343,-0.0023184877864071895
22,-0.004531663568119928,-0.0072194170263224925,-0.0015595376082094847,-0.006303088671692789,-0.002701112951634262
23,-0.0014499622916954783,-0.004548597808316238,0.001665502856940973,-0.0033104833467616493,0.00038446824574148706
24,-0.002309633317623805,-0.005534690185433271,0.0010362044478423658,-0.004214776986966986,-0.00032524432023623004
25,0.0003505262853478357,-0.002528168935923134,0.003634252184548147,-0.0015239734155466473,0.002446421372108403
26,-0.0034489677094859898,-0.00630192899389717,-0.0007735325966513763,-0.004891030777399531,-0.001766075829884221
27,-0.0046814772216181395,-0.007594330362152426,-0.0015963909131851087,-0.00639221403041282,-0.0027765772047365373
28,-0.0009262457924948493,-0.0038915647676890895,0.002437645899506126,-0.0025782553786233174,0.0008698599476167476
29,0.00043524386801694584,-0.0030077233799851028,0.0038901143412550633,-0.0015616087896137797,0.0026988002498706492
30,-0.0018025357984308178,-0.004260278199850625,0.0009498526605527561,-0.0032373512840109535,2.3556219085958674e-5
31,-0.003171277996492046,-0.006240673045815489,0.00046510374298715934,-0.004916250039532156,-0.000789741146514829
32,0.0018790264358565202,-0.0008991061038697453,0.004926035382897108,0.00020795230427025197,0.0038638126710035725
33,-0.0004545492789107829,-0.004135623163871055,0.0029619636206250723,-0.0026350201175882855,0.0015701869739366857
34,-0.002072554790506343,-0.005653607130183652,0.001010948865362629,-0.004222903204903483,-6.105339601683796e-5
35,-0.0028072713490268388,-0.005948613117259638,0.00039784903613797286,-0.0046545691103637,-0.0008606106515221554
36,-0.0017145694685299475,-0.004732679671523342,0.001251001890916835,-0.003433390464235503,-2.8259559055720217e-5
