horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0002877067880486333,0.0005073230400976488,-0.001202907913276007,0.0007520990393230318,-0.00105065603113271,0.0006251804130722675,-0.0007234693444162711,0.00022593978006342844,-0.00014962288656283681,0.0008944416625230447,-0.0017976336521369797,0.0018428778942483279,-0.0015938517330294365,0.0014632844840709025,-0.0009385895851185689,0.0007920336854347031
1,2.997425888029282e-5,0.00048793884623398094,-0.000904616488221049,0.0010242821060598103,-0.0007437346820503208,0.0008730574349551816,-0.00048550197460827375,0.0005003905814525479,5.94950340651938e-5,0.0010380367304463746,-0.0018578916363705066,0.0020563334995453053,-0.0016762906685564235,0.001800756050523337,-0.0010413616414620191,0.0011019729235273827
2,3.732739475798062e-5,0.0005487409149143368,-0.0010066973536566794,0.0011868644762439368,-0.0008425838730739529,0.0009098896013924036,-0.0005179084263682149,0.0005415627785663876,0.0012160749850887444,0.001014779504880196,-0.0006518810383390173,0.003190658033139184,-0.00044249801325665173,0.0028706332939878974,0.00018109186848591006,0.0021827398489983364
3,0.00026337833249634,0.0004835310119569129,-0.0007086585207513,0.0011829373596600047,-0.0005242992512007092,0.0010201882792567956,-0.00021969840939462215,0.0007486895081669111,0.001329110061967638,0.0010987498339187368,-0.0007909975101111602,0.0033826676137654528,-0.0005389417737993973,0.003061442972505252,0.00016569612149979507,0.002330281678178779
4,-0.0001780334901372284,0.0005901759242885518,-0.001202825680699228,0.0010332084978076114,-0.0010900303298518764,0.0007839570249572885,-0.0007455154504936366,0.0004189745462351484,0.000460034035702974,0.0011444755789095876,-0.0015033042630228804,0.0028930974934487444,-0.0012629433568393843,0.0024301497283801057,-0.0006935849009351906,0.0015314958044504254
5,-0.0005897883439277432,0.0005062764070381612,-0.0015676221653931305,0.0004653477042893226,-0.001408554771666467,0.00032705772819756573,-0.0010724511953480393,-7.097890547623754e-5,-0.0007704430038550351,0.001005204885522465,-0.002703621277259634,0.0013630749697797016,-0.0023330351015094972,0.0009074296328140433,-0.0017219766480367055,0.00022392210930789822
6,-0.00029192725546775295,0.0005424261405628957,-0.0012042213249173865,0.0009173366316522134,-0.0010532893152125694,0.000741431720826055,-0.0007708576415138142,0.0002846148140023654,0.00022994504919995182,0.0012221500007752746,-0.001896297620479412,0.002802136357532612,-0.00170260589066545,0.0025200950281829,-0.0008765856350734839,0.0014888679238309528
7,-0.00042225147804258534,0.0005365786610985786,-0.0013905220695898043,0.000665815502723568,-0.0012792371111364944,0.0004552868943135597,-0.0009350933306430938,7.195488948743966e-5,0.0001416392661679449,0.0011560147162666527,-0.0019278164808532263,0.0023681080991613743,-0.0016960661969972401,0.0021072320853482737,-0.0011237904359628454,0.0011606254527143814
8,-0.00015579421417451559,0.0005020700754631578,-0.0010451296589373072,0.0009146951346311538,-0.0009543271089891968,0.0007239118428441384,-0.000633638232856093,0.00036962872729587315,0.0002784068869333317,0.001147198186414522,-0.0016358044232844097,0.002843086900105855,-0.0013921341840337068,0.002287251216496968,-0.0007500054079431493,0.0014920530598578632
9,0.0001587591642281246,0.0005304976894191163,-0.0007581125966310758,0.001268693668430645,-0.0006973775627134896,0.0010698036255313958,-0.00035764753865712476,0.00074804986270739,0.0002532874733857117,0.0011592420566520734,-0.0018308110779221144,0.0025414729716058447,-0.0015233502437157294,0.002271442619378442,-0.0008900054610740001,0.0014741568109918057
