horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0043196679917705825,0.002536689108598859,-0.009101263944408553,0.0011134483045642206,-0.008242136153909303,-0.00016685570565484035,-0.00680376822731245,-0.001954662846010561,-0.0034948094004525363,0.003130981103745653,-0.009191459052110114,0.0029256652090035194,-0.008494232564930157,0.0020261831215221734,-0.006347919837582636,-0.00013929601205369017
1,-0.005847275433638554,0.003173062291301683,-0.011906994498111424,0.0008487962481462167,-0.01092418936013324,-0.000671922875491604,-0.008840241857896624,-0.002838379577382832,-0.0054991050149529605,0.0037240124818889104,-0.013217224620246278,0.0018355863271156108,-0.0118917899077354,0.00035654378478216066,-0.009274032856088415,-0.001966769080497976
2,-0.004381614387001322,0.0030591062899313092,-0.009854251376530496,0.0014048801129810833,-0.009177930989494714,0.0006296018472531622,-0.007576289804310578,-0.0011665400408008887,-0.004200162653232182,0.00314066831234158,-0.01016385629791124,0.0017481235329344525,-0.0094367876308716,0.0010080936612040703,-0.007408815911348638,-0.001029307322085998
3,-0.0022849647505949603,0.003647458779623233,-0.008844750467207518,0.005067472453019686,-0.008399705058440125,0.004140518734251784,-0.006225196281218252,0.0011031313130155885,-0.002874789756443539,0.003298246992775772,-0.009214255505354088,0.0038463488264883243,-0.008270637799762321,0.0022040216945448353,-0.0060379717941048735,0.00019002412352640038
4,-0.0009721819317211745,0.003654424627882624,-0.008048808782729023,0.005998893670625895,-0.0069516763807272175,0.005132786866288771,-0.004693100735071667,0.0023869441195157404,0.00027936513727191406,0.003645917820451431,-0.0061043442751761625,0.007719786326645349,-0.005139008314628913,0.006371504945906307,-0.0034263645724424254,0.003976234517070929
5,-0.003078560311044963,0.003097884640125136,-0.00908774842830164,0.0031021295493489053,-0.008314451162809185,0.00181134303076629,-0.006438724664359926,-0.00020708244067979464,-0.00332239544702463,0.00405731979630255,-0.01181950281233294,0.00408337039601589,-0.01047528833347962,0.0033271068709550067,-0.007442708868796367,0.00039285903371991094
6,-0.0024043736184662734,0.003481013529813581,-0.009180119966386752,0.004373151660438182,-0.007927707853783026,0.0031267351324376857,-0.005721861878257579,0.0012070869125228383,-0.0022386955243572262,0.003508031110951388,-0.008769815282247686,0.004908895334852236,-0.007894846233508907,0.0037300703864103476,-0.0056637427639343926,0.0010374413142966664
7,-0.004265191098322491,0.0033830838531218542,-0.011075586474112283,0.0021201152386039965,-0.009852474051660783,0.0007654953969227305,-0.007887519101780987,-0.0010513612333271222,0.0006010790087330904,0.003954305028511441,-0.007407458516829329,0.007805246793695222,-0.006066759881374234,0.006910178931128314,-0.0034761360841136417,0.004579927964911477
8,-0.0027918248645079787,0.0038774829697993587,-0.01005099279659583,0.004927710781898961,-0.008888040538962881,0.003972794095397819,-0.006669548378796236,0.0008460509010676695,-0.001666386162302273,0.003831354205466779,-0.00932690200046121,0.005413012701109998,-0.008245260433189404,0.004371338794391543,-0.0057489695364064345,0.001899831822954719
9,-0.004451864432235064,0.0037311761448082527,-0.011567012551778041,0.0029054928343583207,-0.010568285208932077,0.0016451667070553962,-0.00832582485921853,-0.0007255759809447413,-2.3827279640683704e-5,0.004124230840167756,-0.008097908240330909,0.008020832844700154,-0.007043365577389551,0.006916265906412891,-0.004340057877849496,0.003828936472908013
10,-0.003920812211597747,0.0034933496429364846,-0.010762834556410127,0.0028086865338225334,-0.009506581250308548,0.0016667941968165887,-0.007649863979193478,-0.00035414139412055155,-0.000864178759417761,0.004293563036075973,-0.009122529275762178,0.007937786239274455,-0.007688158515268511,0.006556882529309843,-0.004992695295849702,0.003626765885482973
11,-0.003906239774988157,0.0031007828083627945,-0.009658741808628343,0.0019885942539069295,-0.008566337921220985,0.0015539107954177464,-0.00680064823623122,-0.00041941098820477945,-0.004132934709939589,0.003425741853551094,-0.010474152992442084,0.0033530933019067606,-0.009073217623443168,0.0017898877445231159,-0.0073354079370443965,-0.00045319044985845514
12,-0.0034600540695401225,0.0034725761787052292,-0.01036791098349274,0.003539602398154359,-0.009296423114497307,0.002026787334564664,-0.006994990323651275,-0.00029903402757227427,-0.0023671309060299527,0.004549865909644739,-0.011026520368857276,0.006192400919969242,-0.009794488653669626,0.005003424292701145,-0.0071018379159409435,0.0020679761236623577
13,-0.0032026154723318575,0.0035081761235355264,-0.009889882241415592,0.0035347714321561433,-0.009193854810846029,0.002419788209176092,-0.0071141005184595565,5.0483677984657224e-5,-0.004319350565462654,0.003927270432290837,-0.01148524635388988,0.0034025822094773343,-0.010459794884685014,0.0025098840227573277,-0.008198264363009519,-0.00012308929289092928
14,-0.004555871011385201,0.003564594396528208,-0.010907855437830162,0.002779472068096543,-0.009962964800332165,0.001572362512089034,-0.00815807434714246,-0.0008204812568590998,-0.004236318513373943,0.0036657513326380704,-0.011208229354222974,0.0028803524961745707,-0.010303952306006019,0.001565667593541165,-0.007839442793366043,-0.0006147464272899166
15,0.000800456224565497,0.003778665374536992,-0.006942974709484429,0.008094155443387322,-0.005229470571392445,0.007204142672275172,-0.002947939682023769,0.004557307323582977,0.00404187000434902,0.004357288976848056,-0.0047737545106681266,0.012499662818297917,-0.003358689784816566,0.010914262094478237,2.305157543983432e-5,0.00861268025447382
16,0.001256191213836323,0.003880433947383224,-0.006508144907144641,0.008891907540116456,-0.005380001922661601,0.007197200230484671,-0.0027598317859839727,0.004576313809058608,0.0050779903177468775,0.004253359241215339,-0.003192145137107954,0.013231008777050073,-0.002181475121049943,0.012332842786766518,0.00019184365815006215,0.008369327818092003
17,-0.002000049700666695,0.0035379040178024047,-0.008733431010904819,0.004934853469696469,-0.00806536251417932,0.0036769035627676914,-0.005861122231516117,0.00112792479496797,0.00035683956818953754,0.003759104579589589,-0.007645838262992334,0.007260115807524042,-0.00611986417052255,0.006075244170497403,-0.0035465480415215137,0.003908558041893372
18,0.00034611038629314337,0.003625672259935278,-0.006266024648239273,0.007389724399802566,-0.005407398482361104,0.006448538339167545,-0.0031744916996236903,0.004047222126847299,0.0007677666969002514,0.0039244373548400074,-0.006799360979443846,0.008273756962831776,-0.005064563577479314,0.007516953508389064,-0.0029042066390958894,0.004486437578082007
19,-0.004271933639222798,0.003819864198327793,-0.012188870081031936,0.00297093900670638,-0.010786057732017731,0.0017043025142564323,-0.00871102567364486,-0.0011082206623066618,6.465860126290446e-6,0.004340497165495102,-0.00870839129659705,0.007901328741418722,-0.007464077953583057,0.006731485972614597,-0.004870356606113211,0.003891582796473839
20,-0.004367048707109142,0.00467210863982176,-0.013373834961078676,0.004481688942311621,-0.012177884778263376,0.0030005070025024005,-0.00900588310150183,0.0003130699889108175,0.0018733192403355436,0.004982488008492071,-0.007334301552324057,0.011871498126771182,-0.005946956001770053,0.010543459917274484,-0.003005513429894324,0.006899628047661077
21,-0.00607434801396338,0.004003625471653112,-0.013363426337619402,0.002292638586738271,-0.012582792502880878,0.0006307577723926538,-0.009975472276685196,-0.0018883620153226602,-0.0022646502426311604,0.00472217424257383,-0.011261785398100035,0.007161131514419568,-0.009822515245471933,0.005436561924579376,-0.006598874576773656,0.0027188269598302597
22,-0.0037147337905653168,0.003951851812693325,-0.011057932621011426,0.0039036617878786322,-0.009908871378303102,0.002894019686091036,-0.0077119200249395016,0.00011488178889498776,-0.0002493711656002926,0.004073290462671622,-0.008278650108713925,0.007926401456894664,-0.0066075497400545176,0.00651020036029692,-0.004001914724604253,0.003904711794329805
23,-0.0014015920539070664,0.0033655801069202617,-0.008721809185109824,0.005178275943124335,-0.007149948050587136,0.0034005728088753995,-0.00517566415710025,0.001283582485414826,-0.002742685901409322,0.0039402811070889275,-0.010819460485363013,0.004430140298816442,-0.009944685336652714,0.0034127286307616524,-0.006920764918965608,0.0007689321770734128
24,0.0035686944631743342,0.0033882620966465696,-0.002630278385783981,0.010828560108296085,-0.0016542467107235766,0.009060984978689918,0.0003733006424810509,0.006928246870895563,0.004109584682563016,0.003957354054825028,-0.0037773466911070713,0.012047705871497809,-0.0021212652850149,0.010907250916996597,0.0007768454329868028,0.008286286535917758
25,0.00021168595349294224,0.003691016270347337,-0.006726232576778273,0.007877645217611065,-0.005667196497693856,0.006568941090039235,-0.0037076066786442536,0.0036715162314782824,-0.0053811464379121005,0.003985368362580214,-0.013123474963813189,0.0019157914763991498,-0.012256294248460491,0.001100700065427396,-0.009282685235847478,-0.0018360757867187086
26,-0.00240989908701834,0.0037812512442179976,-0.009219218491477645,0.0052300875504115284,-0.008065728262675001,0.003928331777313582,-0.005883602982633462,0.001519383077037336,-0.0010058076622774974,0.004224429171664679,-0.008492363564284611,0.007990682346144615,-0.007043498858209672,0.006841536008304871,-0.004684406711108509,0.0033060063234425794
