horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.004010074392892293,0.0024290843340227485,-0.008473285650707003,0.0012845744931928756,-0.007626785727944901,0.0002473242223031633,-0.006173481648875282,-0.0014754025006271671,-0.002996242287102212,0.003605892027005252,-0.009425645760367429,0.004721343706301347,-0.008506452972063145,0.003165922789356034,-0.006381261702116938,0.0008081854256741408
1,-0.0048439098768438375,0.002811553650429159,-0.009754838324500671,0.0009116518493173045,-0.009004855008069084,6.863623694127885e-5,-0.007629077363119488,-0.002044207775575543,-0.0034172011813203926,0.004426326939328666,-0.011720222437980592,0.005669220652940888,-0.010224611803834625,0.0041810545169324404,-0.0075555770419713075,0.0011909594017878791
2,-0.005380430908344567,0.002971329971834472,-0.010480309279025837,0.00041836408143238336,-0.009962194960648117,-0.0004285851386604504,-0.008479186442852513,-0.0024207682155902217,-0.0016625550912900732,0.00424633523158878,-0.00956585944053331,0.007195794888678992,-0.008048486757490474,0.005776888534951714,-0.005296848164037291,0.0028810159986394275
3,-0.0037823499978244706,0.0032757268133770234,-0.010467934934956291,0.002679535728093126,-0.00943952314152027,0.0016280645071589696,-0.006961469209328866,-0.0007064579044163588,-0.0016934768563215711,0.003765839104811857,-0.008350971904421843,0.005914470915466285,-0.007546777220469673,0.004872227669079251,-0.0054998820109928535,0.001999445033630742
4,-0.005274628755424922,0.003452678998963501,-0.01227504146893113,0.0012177897222132759,-0.010999125671998781,0.0004661127019882772,-0.00863633884579224,-0.0016788636475564256,-0.0007942433138376681,0.003914813217633564,-0.007945284795408177,0.007424462342647067,-0.006850540285675968,0.00586297001718379,-0.004723472158073502,0.003105339349233103
5,-0.00435676896396142,0.0028455121872770386,-0.009552236533815959,0.0013114793095751146,-0.00882611313823635,0.0003862368512311008,-0.007245929867167511,-0.00138689153069685,-0.0058018798112488956,0.004023568612308268,-0.013884363232825464,0.0017505312689137182,-0.012663906595588604,0.000817112954146656,-0.010107790879915137,-0.0018677448409071824
6,-0.002917907493562151,0.0028991771128676867,-0.007892734941212298,0.0032892386971787166,-0.007446194652712269,0.002100395219151316,-0.005497948405416811,0.0001442353032400685,0.0006223316957297444,0.003911977296538289,-0.0059178149302693776,0.009186334490401602,-0.004561611375960054,0.00781379985887103,-0.002809270411343579,0.004967158502080032
7,-0.003170580267599663,0.0031495931981681082,-0.009152212436549591,0.002986953936902601,-0.00829045129573422,0.0021580649544830576,-0.006379761600539331,3.801085879953021e-5,-0.0012838634813235013,0.004333854027753586,-0.00989087189933556,0.007055083039346682,-0.008585357518312714,0.006152562323032232,-0.005470141578681557,0.0032704897233687877
8,-0.0015724565531232018,0.0033338819195570684,-0.007932694901196417,0.00564307626418682,-0.007256445832876613,0.004200512740598033,-0.004710854112902286,0.001608559697095919,-0.00183678128916776,0.0038322424100519464,-0.009179422257415214,0.006168960810855695,-0.0077687774794904605,0.0044522874260616175,-0.005486974523379095,0.001731465853616495
9,-0.006453482946600884,0.002976893121132451,-0.011723565892045935,-0.0001389482205182465,-0.010990928977537269,-0.001425227006145602,-0.009394909092188448,-0.003358904605348023,-0.0055361220712484656,0.0043153190157433395,-0.013905934695987627,0.003048040343693389,-0.01247454838646835,0.0019246324520972352,-0.009622279974793141,-0.0012903296388953932
10,-0.00486793615646261,0.0032622528343995297,-0.011441224829057569,0.0013143279618387039,-0.01018767271601298,0.00047712069343525777,-0.00792725116543808,-0.0015628022943253274,-0.003382877631527887,0.0037925531027272787,-0.009857977900655662,0.004389694303906204,-0.0091381009311908,0.003608609406271544,-0.006925764134779366,0.0008178952721328961
11,-0.003213076127859718,0.0026017867169666684,-0.007894877563762096,0.0016675991528379988,-0.007400005177258971,0.0011734014132663677,-0.0058407875545249885,-0.0004454104604219865,-0.006234552750430098,0.0035756647826644906,-0.012992214256804076,0.0014387528630744884,-0.011710023661975525,-0.0006222112715694938,-0.009477004067489468,-0.0026747487650327036
12,-0.002100061633148515,0.003122767024028019,-0.00808600984239868,0.003918124965390951,-0.0075476757719618965,0.00281728124361999,-0.0053824207264172395,0.0009144270500638773,-0.0073733000113726365,0.004901124140579551,-0.015802489519142718,0.0020925089161428776,-0.014727162815784315,0.0010249751437374237,-0.012150223724899116,-0.0021024719377691257
13,-0.0025418701354764294,0.003364032078137029,-0.009128075546157455,0.004631607772413742,-0.008171588339344601,0.003421487182072415,-0.005984268451624379,0.00034717464057916925,-0.005844543504045013,0.004775505080345909,-0.014236551779414894,0.004079101283244937,-0.013117340479981655,0.0023606710508578517,-0.010646501586161962,-0.0009394798115423531
14,-0.004768148312736985,0.0033146697553240677,-0.01112497432251193,0.00164609078120855,-0.009787707803125986,0.0007936556633429795,-0.008053303025145165,-0.000981386944557508,-0.001388426803348454,0.0042173926459204165,-0.009120541959377334,0.006847106748289038,-0.008380408812052181,0.0055904680592398035,-0.005507681994879386,0.002728781330236912
15,-0.004455804301720086,0.002995344613517719,-0.009753936078677767,0.0019016542359867614,-0.008970799049633688,0.000562741328360139,-0.007460704312733515,-0.0014962372966801226,-0.0026069338311060825,0.003803146045775418,-0.009426054981808055,0.005080771329651937,-0.008401280764215147,0.0032630804067490466,-0.006352396812003399,0.0011909219357517152
16,-0.0013305970294779199,0.003209495633460658,-0.007562136325359569,0.004822228228952874,-0.006538564482660462,0.00365289090355124,-0.004433631388453137,0.0018229398205638612,0.0021079224202063675,0.004127752089775233,-0.005810504344495499,0.0096228009121554,-0.004760529062020216,0.008817712257676325,-0.0023486696343078604,0.00594268439146106
17,-0.001829176626232929,0.002988685305847768,-0.007279953067777126,0.003861956400293849,-0.006859889624738893,0.0031098764360709785,-0.004738944097877364,0.0009754863687934955,-0.00015477699804348086,0.0040952169110478,-0.008553652904525678,0.00750538373783316,-0.0072371271291486105,0.006109055338181629,-0.004395819136916656,0.0038637022792107553
18,-5.602222134556056e-5,0.003358732426701728,-0.0064123986236747765,0.007064415455578563,-0.005622791236454977,0.005388043095291743,-0.0032235716677789543,0.003544626936377115,0.002934706352379146,0.004167238153710898,-0.004330384033478328,0.011396342501132348,-0.0034184480581295694,0.009996417495963294,-0.0011536489638203165,0.007401312533421674
19,-0.003619215635288605,0.0030140468236813716,-0.009694041935842444,0.0022263906282585797,-0.008849135897102879,0.0011657939128064307,-0.006581162855052109,-0.0005696906816085294,0.00038544503547877865,0.0035642396587377196,-0.006015174221604828,0.007322599752753787,-0.005350328652460515,0.006048646724672684,-0.003102404353350554,0.003714415386914259
20,-0.0010817882637000412,0.0033803516675079007,-0.007757984340337931,0.005675410419225493,-0.006388523141254111,0.0043857087860264266,-0.004476368346852676,0.0022781121064245533,0.002888081753247072,0.004384932853615965,-0.005133758447328721,0.011798900439160626,-0.0037679700262959674,0.01068914151024575,-0.0013978654595303117,0.0073604918391715
21,-0.005478773147622061,0.0034707211486704236,-0.011431599492773756,0.0018620884587005125,-0.01083940688696819,0.0006271752637041162,-0.009053391678678475,-0.002279833265577464,-0.002159317930314737,0.004881986879027029,-0.010850515372166455,0.0073436367763318605,-0.009836643437178317,0.00621968598541278,-0.006897163608981839,0.0029350937507775046
22,-0.0008635713607244634,0.0037735525839643356,-0.007348003035333155,0.007474832242268181,-0.0063344735263294715,0.006053310724604347,-0.004249521398143709,0.0030264153052313395,0.0031034990608547835,0.004222568230695341,-0.004819878276837248,0.011700171056490608,-0.0037817290124034456,0.010427508377965798,-0.000790793007857238,0.007582547852770168
23,-0.0024081891694416077,0.0032163934392208772,-0.008820762257444643,0.003580486824762676,-0.008105119633633676,0.0024247865091524437,-0.0059062225426435066,0.0006524948600133329,-0.0019558712654677867,0.004259219742101416,-0.010036311489894905,0.006521958893616661,-0.009175665275591884,0.004868122298964875,-0.0064220462933489535,0.0018005256485703791
24,-0.0003515218372756994,0.003403366717138228,-0.006778151739259693,0.006554737190814476,-0.0059703894698321745,0.005027063583580192,-0.003660068052063785,0.003174395807741758,0.0004138199613977725,0.004156649486137309,-0.007498100027236937,0.008498306946040413,-0.0066330822784355144,0.0070708606835227904,-0.003822500707138345,0.004434281264735016
25,-0.006211381412683691,0.0032518922034529027,-0.012479382356366052,5.3726349464276006e-5,-0.011277658151629599,-0.0004318478286722561,-0.009463168558401548,-0.0028811764587481307,-0.008370025158895561,0.0037002289970168895,-0.015234468235085612,-0.0007563009823273013,-0.014370375181766445,-0.002226527601912971,-0.012118657660281426,-0.004785638020038561
26,-0.005126643349865716,0.0033718820523294356,-0.011534103897842023,0.0016472312859184763,-0.010430199346697058,0.0005823463268469464,-0.008321898455508943,-0.0016924104638374076,-0.0024395920068757534,0.0037978045136057037,-0.009958884585795618,0.005230359412432872,-0.00885044755106602,0.004163013797524613,-0.0059595285971432155,0.0013077355039979868
27,-0.005423482193194313,0.003243686103310211,-0.011363709392169588,0.0012234622967464785,-0.01052095134190598,0.00010492350623702184,-0.008457028580287913,-0.002198086260866309,-0.003733786749354841,0.004878209206467465,-0.01226156139415972,0.0065495962748637025,-0.010857207108388231,0.004608551693404424,-0.008519236409406205,0.0009900585459018333
28,-1.0302660200773618e-5,0.00343489307785193,-0.0060664454195547305,0.00710049011364917,-0.005232602491429566,0.0061735178371368025,-0.003437424711348699,0.003567167176538549,0.0008151274248271328,0.0038157287789586684,-0.006711079646028666,0.008027983942119031,-0.005214080225483944,0.006851731994848228,-0.0032201700529303325,0.004729023412129059
29,0.0007719360935989298,0.002612875856606873,-0.004025575279150138,0.006253096407987057,-0.0032740499576328496,0.005328164477488241,-0.0014528652879152166,0.003635947334991322,-0.0020617510170609435,0.004249886046559545,-0.009472817180273832,0.006893522571828509,-0.008089645438100689,0.005032724805492057,-0.005894601986168842,0.002215187569350885
30,-0.00509169220368445,0.00309385919749577,-0.011454219443931527,0.0001842795930234013,-0.0106340925332219,-0.0005013683980430959,-0.008531839385445283,-0.0023591186025675444,-0.004053870868699397,0.004093044562801766,-0.012097123140196057,0.0041617464600380485,-0.010843326283507563,0.002449623682460174,-0.008117021801088142,-7.600774945930487e-5
31,-0.0010157357807100559,0.002911017470922088,-0.006706105723748251,0.004562981400874696,-0.005741667484848854,0.003441770991944292,-0.003906891156600211,0.0017912438200602347,-0.0002443296054448136,0.004375557014864696,-0.008241099720983747,0.008401120620528875,-0.006966608103902107,0.006734439185936921,-0.004815965101971455,0.003935722389480241
32,-0.0012555737492680515,0.003251853766588389,-0.007458778320095817,0.005559061943202263,-0.006333125851842652,0.004187667544122227,-0.004196711961083512,0.0021199537117629888,-0.001311860473267307,0.004432005248450047,-0.009795137882664345,0.00773520288715736,-0.00843930145336743,0.006542836912791846,-0.005432349130415504,0.00303075122380434
33,-0.0021623139415624408,0.003180594984553638,-0.008187295187111617,0.004045800750249726,-0.00724752196578464,0.0031919411396868443,-0.005333617112697553,0.0010593761145469092,-0.0037936280179330243,0.004585882450865207,-0.011757773690117629,0.005255296352926438,-0.010975857537492036,0.0036917811034908815,-0.008542332387108519,0.0012886407051308471
34,-0.0009456728110223108,0.003418889997623964,-0.00761008227234593,0.00527667857672995,-0.006781814180810044,0.004676336449059507,-0.0046563261243737965,0.0024172081215431108,0.003942920645292889,0.003727233118028935,-0.0035686092116645647,0.011226535735294132,-0.00250185001193726,0.010310398763958013,0.00021959033661081957,0.007352886868955406
35,-0.005672243047682469,0.003254270619231536,-0.011307533058498562,0.0019096402311572255,-0.01032434980002228,0.00039648194081955287,-0.008621017889292532,-0.002303783205578601,-0.0009226545651590797,0.004459297670588247,-0.008805840968517456,0.008234228474846558,-0.007429373772020093,0.006784451249954699,-0.004785660233065607,0.004399746440915291
36,-0.004624647455241947,0.0032392364409875806,-0.010626880669371943,0.0022277459167631382,-0.009708472517578727,0.0007555987109820689,-0.0076775594078572415,-0.0014818997680532669,-0.003999659235520636,0.004263683620607087,-0.011442136431661493,0.004715173055766407,-0.010506555414742496,0.00322487197115436,-0.008066878530861242,0.0006976441112109198
