horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.007399684360001721,-0.010453535748149308,-0.004376522682947734,-0.009287480489622545,-0.005553793286744781
1,-0.009534782079544163,-0.01419662355960502,-0.004605293977197322,-0.012527129556923488,-0.0064144249019536595
2,-0.005608981037771784,-0.00991096516495184,-0.001308917332351639,-0.008187879774956745,-0.0033128781662934764
3,-0.0072491451154311284,-0.01148875983544885,-0.0025738207076185828,-0.009791635382787454,-0.004215478625085959
4,-0.0033620536144130797,-0.007655418045247236,0.0011019065481545232,-0.005987750736274845,-0.0010657431662090783
5,-0.0059677427859802686,-0.010535405776884516,-0.0016730617875663212,-0.008446112314037657,-0.00313026906812935
6,-0.002207626938155246,-0.005573523975135464,0.0014796396231039131,-0.004328675481778342,3.437336564266445e-5
7,-0.007103157305739539,-0.011726144490833743,-0.0025226735604962497,-0.009903790525844346,-0.0043867014632577635
8,-0.008377726096777787,-0.012541263575302167,-0.0036421056803475306,-0.01089010914390676,-0.0055572650774275995
9,-0.005483967684528461,-0.011967595555827631,4.389697905255764e-6,-0.00947107017630238,-0.0023104144035792154
10,-0.004738687722831435,-0.008987022936662217,-2.241437154400141e-5,-0.007379615214065285,-0.0016796090602305314
11,-0.004594315279571141,-0.009107536084438667,0.0003006336775967129,-0.007084879957925221,-0.001406991686707409
12,-0.007443808876565374,-0.013025785899733865,-0.0028236269743293274,-0.010583284426185545,-0.004504079977201363
13,-0.005542967425995776,-0.009643180921056984,-0.0017470375169491518,-0.0077226509373837255,-0.0032785115968818903
14,-0.005511526535839262,-0.010125959864853918,-8.859285784980873e-5,-0.008740238545164952,-0.002329000171954666
15,-0.0030900498802087493,-0.00687321927951543,0.001440251527276256,-0.005574088493252368,-0.00010412273226135171
16,-0.008429659708558955,-0.012765552110467995,-0.0036740201185903,-0.011204290878175645,-0.005638986974230365
17,-0.0034115567997528426,-0.008803859465450679,0.0014802336551793032,-0.006418816612262291,-0.0005279356969672133
18,0.0002504441604511652,-0.004352479188087571,0.00418886720489643,-0.002575498396893655,0.0028673756402646587
19,-0.0036064385913329236,-0.008392966039760969,0.0008030630492604444,-0.0061100284667625765,-0.0009007903216111022
20,-0.0014389344423982326,-0.006854082458444045,0.0032078042684192502,-0.004950969779118174,0.0010397183684789345
21,-0.01080718273857255,-0.016228835069190102,-0.005900230839761678,-0.014081123899187713,-0.008065214927639744
22,0.00024046874730138874,-0.0047304941734490945,0.004659750204452958,-0.0030080998538694046,0.0026855113265988858
23,-0.011004863441161005,-0.0156990345942135,-0.006409384975426479,-0.013878895281734926,-0.008193879525796538
24,-0.005311228253687831,-0.009522421101769832,-0.0009513311527796341,-0.008051127830088666,-0.0026434600006880744
25,-0.0064081349746183125,-0.011858056642493387,-0.0017130981782851763,-0.009868566333389707,-0.0034486939033762693
26,-0.006783224135728002,-0.011873955892726738,-0.0019875774148755913,-0.009720649279347309,-0.0038683109048228696
27,-0.006581661887333982,-0.013098117196746507,-0.0011770964254120431,-0.010377180846478408,-0.0032571116151206697
28,-0.007756639438784047,-0.013787689302404739,-0.0028656413119018008,-0.010976943287179547,-0.00465885262924029
29,-0.0027145036416330063,-0.007453092870065965,0.0017117265250845004,-0.005909705753841236,-0.00010161653329734607
30,0.00044272681447438296,-0.004194437904329036,0.00453021551505654,-0.0024027522977364242,0.002831281321606474
31,-0.003671925469392905,-0.010067113133736351,0.002591342403173878,-0.007451468705181515,-0.0002478826965851442
32,-0.0077270965706901645,-0.012884042171364192,-0.002375512977542853,-0.010676137333832282,-0.004620870740975324
33,-0.007508249023776887,-0.0126016841880806,-0.002835341902446397,-0.010655458911989718,-0.004693024647244164
34,-0.006501121151249851,-0.01178732265881205,-0.0013680913441281826,-0.009597595755469753,-0.0035907631220644894
35,-0.005560285126298849,-0.01058455587297995,-0.0009926954328336622,-0.008581528830728071,-0.002663450230393487
36,-0.009567856455284345,-0.014219472060522789,-0.004522147065664341,-0.012192275826475252,-0.006369961890439207
