horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,0.0007087438312302053,0.002854335915625394,-0.0047666613797147095,0.006763538731214439,-0.004107804038683384,0.005109472418915738,-0.0023498767970969487,0.00315164458562914,0.0036957276909120964,0.003994732207092454,-0.00431237525404101,0.011118984703820296,-0.002752370093409148,0.010013904246240185,-0.00033513707899057396,0.007584505067038928
1,-0.0042116291034220675,0.0032299237021648462,-0.010042537487159492,0.002295186590055676,-0.009095412504625585,0.0015178145470612274,-0.007345959974788923,-0.0009930505290585117,-0.002682577769142896,0.005038857467480564,-0.011797361889251148,0.007578188898395037,-0.010371108877136109,0.006088482537640181,-0.0072959210122954185,0.0029410187294730207
2,0.0009117225579214666,0.004516823001623617,-0.007709645202793538,0.009773272823285196,-0.006269033213262319,0.008424530280156904,-0.0036711541543309454,0.005448741672598766,0.004681662114901445,0.006173310271867452,-0.0059061797789891,0.018768013252385498,-0.003985392034343572,0.016144470470852268,-0.0008167824154601258,0.010887649708027672
3,0.0010477923602990593,0.0038321731904975807,-0.006363126556295694,0.008410355408238215,-0.005121159428028114,0.007506426968898461,-0.002750187007089227,0.004895536759241258,0.0031087473540207656,0.004873056610897065,-0.005760258858983758,0.013375241511558819,-0.0043031201687258915,0.011529690998329825,-0.0014984369371895123,0.008132482436090693
4,0.005441651723204026,0.0035760879588188706,-0.0016854150467178687,0.01242456396653309,-0.000697427360990682,0.01126228936820395,0.001789430068495463,0.00880961777242846,0.009919774438899503,0.004487597556183183,0.0012458641649226163,0.01835654898025476,0.0026381300499349275,0.01708239932427535,0.005161679734301992,0.014560106112838263
5,-0.0013144424898836468,0.003348543014171039,-0.00812721098681958,0.004793382657336229,-0.00661710775781819,0.004270304784632724,-0.0046959904863171234,0.001960211217145451,-0.0027449927526296903,0.00442181649996514,-0.011969455273720866,0.005525284641734735,-0.010328118005491422,0.004215230229377383,-0.007239733550068057,0.001428125212289281
6,0.002935404622840216,0.0034833644671447036,-0.003354807426739724,0.00997095687869508,-0.0028358387073595956,0.008773538137785341,-0.0006732989026245371,0.006371003244327705,0.006745903923453917,0.004573366762688019,-0.001675534302800709,0.01664405505680433,-5.7374652104209915e-5,0.014767695310031196,0.002456078684315199,0.011098821699346378
7,0.0026321067872287465,0.004189561970438954,-0.006104731173194983,0.010366063030411134,-0.004366244312620308,0.009223376000483029,-0.0018139324400181015,0.006689371479988375,0.004588929043722555,0.005133187106218438,-0.0047576365908094,0.014557778523646196,-0.0035135578136688103,0.012835381823062009,-0.00037351861630584965,0.009825090468946142
8,-0.002583415498927772,0.003715638648927407,-0.009750146211522311,0.005325876899317917,-0.009103806917257899,0.004066838859355399,-0.005807697877140585,0.0013081323021970224,-0.002781854906453183,0.005021203335592614,-0.012136207028526878,0.007310289432489405,-0.010801413369811344,0.005540008736026414,-0.007499850661375764,0.002351759032103303
9,0.0030023757182995768,0.004388710922299091,-0.00492511260383742,0.012282592332400644,-0.004127987985388868,0.010690748529712371,-0.0010460477756136814,0.007798439686487318,0.0040028636498097335,0.005756774446952986,-0.006497438319506598,0.014988314677871694,-0.00540669037439567,0.013909515568854955,-0.0014609651107003762,0.009894868966859583
10,0.0015414057355698405,0.003662701950253448,-0.005440150618782284,0.008498835678077944,-0.004404845675404866,0.007746276191066546,-0.001979567512658562,0.005094967745602743,0.003098510315316213,0.005273292428788555,-0.006960008675465682,0.013461855549065822,-0.005216844351353802,0.012215819473671747,-0.0019280741241810514,0.008741212928111893
11,-0.0011820382180538457,0.003453775732168205,-0.007756655512515724,0.005239997238727558,-0.007073768869668847,0.004276279104272387,-0.004908552575394288,0.002099853508069012,-0.004000680356747922,0.0046395708201228845,-0.013393140718683432,0.005540081402912577,-0.01173749714805489,0.0029834468978330243,-0.008916292620862507,0.0005961677683679321
12,-0.002773432168283585,0.0035978102876940018,-0.010211593460957824,0.0043219283947217215,-0.008654037371656778,0.0031736312540616676,-0.006383892803978248,0.0008317452171276185,-0.007937484874220514,0.00503724014296935,-0.017696275495147133,0.0015324018958345026,-0.015925109062673203,0.0004544047627606009,-0.012788896116637551,-0.002620574937299875
