occ_group,occ_label,horizon,theta,boot_se,p_value,bh_reject
2,Professional_specialty,0,-0.0006287863860484729,0.00404508567216997,0.788,false
2,Professional_specialty,1,0.0021516378920345726,0.004516336551790081,0.644,false
2,Professional_specialty,2,-0.0003145067943140809,0.004129862862787428,1.0,false
2,Professional_specialty,3,0.0012452703739710333,0.004173537758233138,0.752,false
2,Professional_specialty,4,0.005118892333040707,0.004196531627404957,0.228,false
2,Professional_specialty,5,-0.0028121755175825715,0.005127648699859652,0.536,false
2,Professional_specialty,6,0.0034708371124104595,0.0042628625464581045,0.352,false
2,Professional_specialty,7,0.003311117791778342,0.0047556914756578085,0.484,false
2,Professional_specialty,8,-0.005337592004492887,0.004970359492359453,0.248,false
2,Professional_specialty,9,-0.0034798996213176296,0.0050619640358326974,0.436,false
2,Professional_specialty,10,-0.0028073609998651764,0.0051468303720412605,0.668,false
2,Professional_specialty,11,-0.003985578036879497,0.00442114234842518,0.34,false
2,Professional_specialty,12,-0.009917421629703004,0.005046925733249785,0.072,false
2,Professional_specialty,13,-0.005439065293870118,0.004200660228512407,0.196,false
2,Professional_specialty,14,0.00017537255201043652,0.0050433086948266015,0.988,false
2,Professional_specialty,15,0.00036839683836404973,0.00473674740458427,0.984,false
2,Professional_specialty,16,0.0004433813955801332,0.0045107869031188255,1.0,false
2,Professional_specialty,17,0.0005773626766709804,0.005219929652808342,0.96,false
2,Professional_specialty,18,-0.002450409170900764,0.005255519617923366,0.588,false
2,Professional_specialty,19,0.0012063118291279838,0.0045664495531390166,0.804,false
2,Professional_specialty,20,-0.0027380352282656123,0.004805272348767063,0.616,false
2,Professional_specialty,21,0.0004652241738873854,0.005079002886519531,0.956,false
2,Professional_specialty,22,0.0009686955610052286,0.004931497705378128,0.868,false
2,Professional_specialty,23,-0.003954036410584729,0.00474837552895921,0.38,false
2,Professional_specialty,24,-0.0019979141980735254,0.005356784619398014,0.748,false
2,Professional_specialty,25,-0.0018908278192635592,0.004759141781427255,0.72,false
2,Professional_specialty,26,0.005265766006830733,0.00455891996343263,0.236,false
2,Professional_specialty,27,-0.004774328851590381,0.004781047835269675,0.32,false
2,Professional_specialty,28,-0.0008559489955895649,0.004784462900470202,0.892,false
2,Professional_specialty,29,-0.0028417627840580145,0.0054602839456685025,0.64,false
2,Professional_specialty,30,-0.00475232688687539,0.0043548721699751,0.3,false
2,Professional_specialty,31,-0.0015613593454269117,0.0052352857057715715,0.74,false
2,Professional_specialty,32,-0.0054475550796519384,0.00500035568426953,0.272,false
2,Professional_specialty,33,-0.00461054070485433,0.005113737471614186,0.344,false
2,Professional_specialty,34,0.0023778919724970478,0.005392850984002757,0.716,false
2,Professional_specialty,35,-0.0008281971794784994,0.004766330239344708,0.88,false
2,Professional_specialty,36,-0.0063645784680939664,0.004647916033812442,0.184,false
3,High_tech,0,-0.004951289487820933,0.005487099791393442,0.352,false
3,High_tech,1,-0.005893123900316554,0.005684540403338651,0.316,false
3,High_tech,2,0.002069067067255275,0.006513138573729695,0.724,false
3,High_tech,3,0.0013939653575935878,0.006427018701030042,0.792,false
3,High_tech,4,-0.0007654612053289832,0.006652048227346479,0.928,false
3,High_tech,5,-0.005639033705537787,0.005548895761745121,0.296,false
3,High_tech,6,0.0026771903960287396,0.006288316071443704,0.68,false
3,High_tech,7,0.0018504330768244629,0.005941400096274041,0.692,false
3,High_tech,8,-0.006902589708054044,0.006628655944454788,0.296,false
3,High_tech,9,-0.007559187638661347,0.006462814492110796,0.228,false
3,High_tech,10,-0.005319831181542305,0.006256949524200207,0.456,false
3,High_tech,11,-0.0037981808569960886,0.006128950259154563,0.528,false
