horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.007675096509426808,0.003053810174168235,-0.013346220527635597,-0.001275144608573873,-0.012280677054273447,-0.0022595095910527474,-0.0104266222970922,-0.004574909723921643,-0.0067687020135462714,0.004127594474376399,-0.013582490510895677,0.002503183167870964,-0.012620231338258256,-4.058956581699005e-6,-0.01060233234423592,-0.0022719568048282118
1,-0.011221942988265683,0.003581986674150202,-0.018028013572240008,-0.0040475465210100025,-0.01697533211998408,-0.005147674189374074,-0.01474210221901374,-0.007517660465768511,-0.009301033736189126,0.004769228778022497,-0.01888622045469225,0.0009863211351867527,-0.01665488992373691,-0.0013771579690504462,-0.013748037895707067,-0.004673907202564902
2,-0.007698161997612483,0.003436225194571049,-0.014307674680812435,-0.0008271730353499585,-0.012874712350707756,-0.0017941337814553389,-0.010952519607238115,-0.004302394925216859,-0.00723292762756727,0.004228083670950903,-0.014822147169065547,0.001072684016123651,-0.013635273710674536,0.00019624158137092655,-0.011181734809139653,-0.002897736613868479
3,-0.007645354734779852,0.0033883601725941126,-0.014037639344324096,-0.0011501793167367274,-0.012991636092156736,-0.00222325399530629,-0.010757856282443228,-0.003863340220111708,-0.006180079266425906,0.0038515931056378274,-0.013503261836064661,0.0012270694093573249,-0.012213332171554032,0.00044195301679291046,-0.009816542794961101,-0.002057566220007894
4,-0.009964961425361008,0.0036839521934468873,-0.01706754423223701,-0.003011620201102194,-0.01604979476691618,-0.003910392293336662,-0.013542261777541656,-0.00593711426153478,-0.007375115877505128,0.0042969208568554036,-0.015143127802432316,0.0016963766766851908,-0.01381495867363726,0.0003846743258914094,-0.010900455987422146,-0.0028892686786487595
5,-0.009084397428533845,0.0036031823439774185,-0.015292132413316999,-0.0014610357213184692,-0.014465860260108038,-0.003073460931442046,-0.012550172217985395,-0.005091191740726996,-0.007183579334782836,0.004809708373452001,-0.015810350822263886,0.0031686079276328433,-0.01452800358407465,0.0009890019278603784,-0.011919196138708408,-0.0023413606730208966
6,-0.007670645166582267,0.0032623499888838822,-0.013062687949586406,-0.0013323677059096037,-0.01260788418337918,-0.002428917332963165,-0.010803933376452225,-0.00402199506368655,-0.005182308486227975,0.003942659426189184,-0.012540730888637091,0.003714625055662329,-0.011471195841116812,0.0019800624798110224,-0.008727379535635113,-0.0013461021714496956
7,-0.008402362868290023,0.0032596236352226715,-0.014795245313289282,-0.0015887974270374432,-0.013519716159055202,-0.0027888024617955132,-0.011731558988944785,-0.005395727086668129,-0.004831117432735638,0.004237012325732331,-0.012899028363849385,0.003680733609865507,-0.011160034604154347,0.002475993489586301,-0.00901531576552369,-0.0003049973901757761
8,-0.01021913005271297,0.003274048770109293,-0.016037314113635327,-0.0035999334913191204,-0.01513866686224512,-0.004562284589934941,-0.013169533708348884,-0.006815091751814927,-0.009007554769904677,0.004326736193568771,-0.017460676774284555,-0.0002471508936002505,-0.015741211088176176,-0.0020711347371096373,-0.013136619210899838,-0.004507595496540343
9,-0.008343800910129907,0.003892235691612616,-0.015682591221357685,-9.877457550463723e-5,-0.014524434607027969,-0.001435001767673229,-0.012193975554538224,-0.004764593525392968,-0.005700442949410224,0.005158415452546934,-0.01583819228999995,0.004407807290080112,-0.014415975748673274,0.0027422598558523607,-0.01087404411848487,-0.0006957236048840827
