horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.009167426303782124,0.0035997885839984833,-0.016496024755182255,-0.0028308728479685408,-0.015371195882281368,-0.003313426207127381,-0.012889039750355824,-0.005679967474937759,-0.008217802020270934,0.004278941310655581,-0.016971169388764216,0.0005282889501988656,-0.015008017780806085,-0.0007866365650327844,-0.012150935952581099,-0.003572793976964464
1,-0.005974243834665372,0.0042903585858866085,-0.014300247638452904,0.002319831798839129,-0.012552949214708817,0.0012289130874302905,-0.010313455188003433,-0.001756288339566244,-0.0049533687561144025,0.005236761828405371,-0.015436750965235967,0.005268325759900512,-0.013303562260928246,0.003904669034864782,-0.010377336845546637,0.00040609051233236654
2,-0.010028746910256271,0.004219675324600329,-0.017826770968366698,-0.0015470786911196922,-0.01707703367942484,-0.002947242040144298,-0.013943512463247142,-0.005942077648072404,-0.01032259941792967,0.005179266447017219,-0.02027478486947598,-0.0002814724600722285,-0.018965562017935807,-0.001828802174917705,-0.015205478183445252,-0.005486136342062689
3,-0.00331783784782868,0.0049243369935601375,-0.012751551152759156,0.0053739508947425185,-0.011574379062049108,0.0040358606289402545,-0.008346775753136259,0.0015029680804168933,-0.002524152837192416,0.005885165595103968,-0.0143515797020329,0.008552318956522767,-0.012438203128397652,0.006323320182563777,-0.00832935317596815,0.0033441766931909733
4,-0.007181099314240168,0.0050153520305994915,-0.016497931523429363,0.0031441960159437257,-0.015053684341744093,0.0014257212791041643,-0.011978110776300217,-0.002069304432240378,-0.004886832140041967,0.006206397760703349,-0.015648279328295933,0.007131737948557088,-0.014156026927585053,0.005290516064262202,-0.010662309651165925,0.001944007282111867
5,-0.0027545588724396785,0.004111807812219217,-0.010998252265238023,0.005004994373035293,-0.009744014302649156,0.003664928706734491,-0.006901626845975694,0.0013536532737692222,-0.0012369893714066476,0.005204388786041609,-0.011725927935174792,0.00910941333914628,-0.010168839820301853,0.007446842066647913,-0.006301582135950386,0.0037361097527180685
6,-0.005198081205312333,0.0039557208078598,-0.01321367516647489,0.0026978210541751153,-0.01207799611081119,0.0009740629259985527,-0.009561622256067362,-0.0017271589813973587,-0.0034251213421969584,0.0051408191018922885,-0.014991879669012272,0.006894432939585431,-0.011771601663160127,0.004735781475265491,-0.008638629726966836,0.0012278833888130997
7,-0.0024459772312538913,0.004268381158447248,-0.010672711893354794,0.00529372892340778,-0.009708248346298543,0.004316328690885408,-0.006912692077020614,0.0020930031802603374,0.0018998755151914048,0.005429693753454188,-0.009761469257201984,0.012318357579824057,-0.006700774255692276,0.011022252991830364,-0.003243229442812708,0.00775651858553097
8,-0.005122289851105089,0.004329305981633891,-0.013089580200723724,0.003211331068395758,-0.011961467710844574,0.0018639546311268722,-0.010203081549631954,-0.0008912522554304363,-0.004922673015743082,0.005123162242457631,-0.015112311579718693,0.004694604588983704,-0.013665187096215855,0.002825967188909755,-0.01035365150482749,0.00015152011197719402
9,-0.010346047232593133,0.004385718810803966,-0.0182508387426519,-0.002184927709517839,-0.017351536414634414,-0.003961273105983015,-0.014772168713821584,-0.005739717745138606,-0.007298700817020488,0.004821671580303907,-0.016463072389634306,0.002601636399934772,-0.015205221704501712,0.0007345481124887999,-0.01182653222821297,-0.0024959549740297708
10,-0.005692615404222065,0.004814165564230751,-0.014903314232279651,0.00403751719372432,-0.013619381146001874,0.0017828875350927073,-0.010692806464001314,-0.0008216736414372103,-0.0016886995907125057,0.005905895590930136,-0.012427365490686505,0.009639213957814408,-0.011385803345035457,0.007923068642987792,-0.007311378935934951,0.004305515940555075
11,-0.002281554049663779,0.004491370102370718,-0.010527029793255618,0.005890923606196443,-0.009552127141849578,0.004735315521309597,-0.007277158246137801,0.0024368741260207077,-0.002420956710736742,0.0049716243025813255,-0.012124644397671941,0.007176205686932986,-0.010406481448077038,0.005416040172700554,-0.007506594161623739,0.002576729244087358
12,-0.004226608631461389,0.004639933158276589,-0.014289378618814224,0.004593050376054354,-0.01193569221456185,0.0028609397607504703,-0.008773615328751339,0.00024783578806698614,-0.004502840960833999,0.006165710357037632,-0.017912508043692047,0.006562746557527508,-0.01489100297315199,0.0046876350579363665,-0.010628366973718183,0.0016202858103539577
13,-0.003022691643157637,0.0050051545207261535,-0.012903170238442074,0.007037950740709016,-0.011115641836067405,0.004921975012315684,-0.00795219594512817,0.0013607642999367146,-0.0040002829992861885,0.005806858168552774,-0.014740139001748049,0.008616414999030354,-0.012705056413686262,0.006020999309377972,-0.009721939646603082,0.0012848538701923885
14,-0.010712928149776034,0.004560153369564218,-0.019777195313180895,-0.0018964510607805706,-0.01834148222844586,-0.0031650854801561247,-0.015080964479210751,-0.006211748426306716,-0.01039501926452325,0.005356863577548353,-0.020211200060326416,-0.0001527268950632035,-0.018916730900806297,-0.0017586879709584732,-0.01605443647935556,-0.004671408061401329
15,-0.008322098418338274,0.005067906085358826,-0.01765867282910208,0.0017104849880364035,-0.016671589311437487,0.0001874357851691907,-0.013428679751183694,-0.0034821260835938583,-0.004900242529092573,0.0060156575034612525,-0.016683335099617315,0.007086484388990479,-0.014247060635368581,0.004873591853798077,-0.010781339553692756,0.0015829934073844313
16,-0.003895846889983938,0.004242079624678595,-0.012738481602644413,0.004779762206039945,-0.010915431887090023,0.0032726353505651944,-0.008030003173799724,-0.00017299892527278358,-0.0005734608023948069,0.004907384095302615,-0.010341840776079737,0.008108738410937254,-0.008942100041059558,0.006941992975146077,-0.0058016862085642626,0.0038428570003233727
17,-0.001351698639897136,0.005093860157613437,-0.011333992040277742,0.008620501194772031,-0.009737129792095376,0.006593454965743333,-0.0064774109163786495,0.0034405637952108336,0.0014561731399810515,0.005752229624326367,-0.009486284332129235,0.012657933849145507,-0.007191388704727543,0.010793163837196,-0.0038178900414670125,0.007193000371225281
18,-0.009741731598697574,0.004439181035500797,-0.017950302339584084,-0.00012998002877833312,-0.016508097138308163,-0.0019453212622915943,-0.013797855865106533,-0.005192519424146402,-0.008668333922532757,0.004579287972158631,-0.01768181502059669,-2.8343454307682595e-5,-0.016288752706233686,-0.00080969411861439,-0.012765896368700498,-0.0038565771873395917
19,-0.004947095592624435,0.005525981509303384,-0.015393580967472183,0.006350592411475927,-0.013734014755065804,0.004414849056767014,-0.010065593134253762,0.0005824311658958296,-0.001603060888672276,0.0058009629997851685,-0.013331707702141874,0.010375233050178016,-0.011307754160017483,0.00802324521122101,-0.007042773820214693,0.004057047413456183
20,-0.007605079157037151,0.004378031395562637,-0.015797119528385407,0.0006799643505632574,-0.014416363230398235,-0.00019255598894034478,-0.011903172369214184,-0.003360829898830954,-0.0024542557757177863,0.005101578644701324,-0.012272662922697873,0.007489886326887839,-0.009955560696089124,0.006151344862535397,-0.007377612980850885,0.0030601336684981787
21,-0.009773330689584908,0.003959378905306917,-0.017501094121118062,-0.0023717435815195486,-0.01648763386001926,-0.0034191623853127946,-0.013570461402093236,-0.005760483167375312,-0.0058623520494037,0.005050458416751493,-0.015609654162599039,0.004404509928084001,-0.013547669020273694,0.0022702826087763967,-0.010664229911113746,-0.00042785645822272875
22,-0.0111132303828842,0.004488831447275884,-0.020441257971980733,-0.0026074388103047895,-0.019156946933366985,-0.0039426704929301365,-0.015855758700317524,-0.006871389036542937,-0.0065866183917512484,0.005325052306134225,-0.017318144651753624,0.0032081947587233282,-0.015668386087692027,0.002390890632393128,-0.011924685998027382,-0.0014924682811196124
23,-0.005582024776477459,0.004608195784934328,-0.013973853480682988,0.003762147171739745,-0.012981766794210791,0.0020054024853585705,-0.010568336509188914,-0.0011183243467229192,-0.005647567632040441,0.005527252018178117,-0.016502807762137025,0.005157337370517698,-0.014983709095436894,0.0033645507987138524,-0.011053567816932425,-0.00037758977658906476
24,-0.0015270193449384928,0.004635859347923187,-0.011034561233495558,0.006941007585074928,-0.009033033856162201,0.0056679115520134144,-0.0061566134338869715,0.003021722595138089,-0.0007588043928116835,0.005317349107936029,-0.01210036486954931,0.009649623594431538,-0.0095946740446847,0.007477767143094333,-0.006124939117971471,0.004172416810182235
25,-0.007252385493242835,0.004475000361556629,-0.016176102719979546,0.0008201468051294951,-0.014679733180515795,-0.00010077248899566226,-0.011872344690850998,-0.002665871348329127,-0.010836691950351014,0.005149703844687895,-0.02059792644947319,0.00028779752221558486,-0.019422303492525463,-0.0023666649720854582,-0.016326964402783667,-0.005973144217831461
26,-0.00252270532576347,0.003844116026274492,-0.010067459922110406,0.004936363364206218,-0.008425284956824673,0.0044053131591611965,-0.005826852778107095,0.001586424167901534,-0.00021334153750388255,0.004581807402862036,-0.007557884562038354,0.009586783726975526,-0.006727748293434227,0.007900187895601022,-0.004305711017114277,0.005265226538037896
27,-0.012499355981117469,0.0046886568872170215,-0.02233564782580343,-0.0039472884421411425,-0.02037045782196583,-0.005356686217771954,-0.017687279054959083,-0.008165914262312939,-0.008532140535513565,0.005836489459004746,-0.020915376946239368,0.0031228345758487893,-0.01836442995659908,0.0008437070751487573,-0.014236423052289709,-0.0032609895039726134
28,-0.00414342069240998,0.004993671470462041,-0.013757376687809634,0.0060606813025892515,-0.01189536128091082,0.00466542372148919,-0.009199530811832873,0.0008330177782707846,-0.0038255448232571905,0.005652787799556994,-0.015043791258698496,0.006712146549409687,-0.01279719217525442,0.005383454542954921,-0.009870856784665214,0.001473474067797697
29,-0.006703614731847392,0.005386794082943472,-0.017098863669830315,0.003441993219468325,-0.015081141685208974,0.0023181771428719836,-0.011995969471320693,-0.0014074623011269868,-0.009049922793680665,0.006365876303919023,-0.022208473348517235,0.003005973661246506,-0.018859372636744334,0.0011150437307614952,-0.015181131677794111,-0.002307966614587635
30,-0.006410680364631825,0.004758937967469928,-0.014962393280358238,0.00267604007644635,-0.013869597796961874,0.0012519700731692136,-0.011500192653224543,-0.0014260410364645476,-0.004408434611301282,0.005111862089122079,-0.014278814839214931,0.0059073463127312,-0.013007190058712021,0.004405378524280113,-0.009706650996450092,0.0008835351097506525
31,-0.009086359011436809,0.005156816067623003,-0.019813511389777237,0.0014122064296195544,-0.018488454186982858,-0.0009197918792013076,-0.014335149255486151,-0.0044967962165666855,-0.006482113889058474,0.005968292599306144,-0.018733938029986293,0.00524871079898155,-0.01622476866648839,0.003844453753680163,-0.011941633991122726,-0.0007670047863353762
32,-0.008026797483178433,0.0047190449356868565,-0.018384163177990437,0.0004991964691362278,-0.01594443707952362,-0.0010420949407287515,-0.013036626688509656,-0.003346291843830645,-0.009725426118842204,0.005572280078109602,-0.020833745052863152,0.0010703584495826877,-0.019453454420673765,-0.0008453839767986389,-0.015242975107978497,-0.004255588325457835
33,-0.013637284201345414,0.004960725806695833,-0.02301458846102864,-0.004618863262500658,-0.021830494988273535,-0.0055926358007335605,-0.019052171272716845,-0.008943274034028392,-0.013921293282917177,0.0058878982828934655,-0.025219272245834673,-0.003142398268737855,-0.023347045579988752,-0.004744006279055631,-0.02008160492798388,-0.008524287800560044
34,-0.007483956766918563,0.005053797086243669,-0.017444612445428206,0.0028726932405802015,-0.01534406976388455,0.0009093524652197919,-0.011946443620721286,-0.0022654623032097665,-0.0024238510233254044,0.005921946575388681,-0.013496489769097082,0.009081366624543175,-0.012119979299845447,0.006865670661529861,-0.0081442804133436,0.0030718922050240434
35,-0.011734775017382161,0.004563701798821043,-0.020651882027506632,-0.0027019764146194083,-0.019046697999459072,-0.004282665352221371,-0.016358279228650678,-0.007374981955420804,-0.009333268301330135,0.005231484923124014,-0.018618652737686692,0.0011080037758133873,-0.01770843787990705,-0.0007715207069922067,-0.014466928724145296,-0.00392043126025834
36,-0.008620145802141465,0.00428393228342427,-0.017133628185686645,0.0001866850933337587,-0.0156535069861351,-0.0016600362599466542,-0.012730537503712058,-0.004327874741724908,-0.009755755075314105,0.005120683475620482,-0.01889283380542125,0.0011173898324234922,-0.017477065152133122,-0.001145506920714535,-0.01423570994524223,-0.00416816908898206
