horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.006575875842896577,0.004160611270237734,-0.015277327345959484,0.0006538988641679483,-0.01369739163074945,-0.0001213133064062408,-0.010511460863753977,-0.002376779160947355,-0.0056262515593853875,0.004346286762620137,-0.013825348006762612,0.0022900049821447345,-0.012697817660326259,0.0014562973445979013,-0.009479493411906346,-0.001032149725243883
1,-0.006710317205813594,0.004525806290289034,-0.015073726230577952,0.0018351617545561251,-0.013926270696267659,0.00011623629689242867,-0.011110019645473146,-0.001999891823294684,-0.005689442127262624,0.004850122278695262,-0.015192196744182374,0.004314512689036099,-0.013690206317006978,0.0028659313300608176,-0.010216133420497962,-0.0007316665774260798
2,-0.012666123454238018,0.004808086627592164,-0.02166849677334564,-0.0023122536428999323,-0.020073929415027194,-0.004664331889159027,-0.01741064182479366,-0.007893597369570632,-0.012959975961911417,0.004949319934002843,-0.022740478421017035,-0.002497125035574612,-0.02043748794307718,-0.004530527238750185,-0.017431672650366294,-0.007576366737877067
3,-0.005153568004689257,0.003998702951022287,-0.013965249363200323,0.002520417356568775,-0.011947903017130779,0.0007378280901054824,-0.009573416743592572,-0.0018150672486406437,-0.004359882994052993,0.004539491699656685,-0.014342335785133753,0.004071339294228242,-0.012501417709394632,0.0026610713861502755,-0.009255985316372143,-0.00029874131740336357
4,-0.002241860748870599,0.004921554077337984,-0.012667634214801164,0.0065086949898115675,-0.011213329357100316,0.0046034919499823865,-0.007848491960699824,0.0016275781746431864,5.240642532760158e-5,0.005413276811217808,-0.01129550831103402,0.010459204177187268,-0.009323316284808657,0.008400548912545623,-0.0054783124736330156,0.005265784718987246
5,-0.004289125413282221,0.003857988837031556,-0.012589589418649062,0.0022538694861199624,-0.010955457083885544,0.0013149445902606689,-0.008310065595933214,-0.0006230473195544982,-0.0027715559122491904,0.004788773740998374,-0.013105784163024197,0.006029761815176305,-0.011211947290762948,0.004518071692881773,-0.007731475954150484,0.0019330863536743247
6,-0.0066778791424130755,0.004020589846841231,-0.01507964524870131,0.0011022324525690095,-0.013617640087883869,-0.00025884535914909426,-0.010832140780228967,-0.00295042470900722,-0.0049049192792977,0.004416480244678364,-0.013600942151691584,0.0041080972099293385,-0.012178594769622568,0.0025392711798771345,-0.00901782647864951,-0.0008284051715572904
7,-0.00913838495320219,0.0036483614093449994,-0.016527202568602333,-0.0020296225259285056,-0.01544988144796627,-0.0032940501397528328,-0.0130663178307095,-0.005956157772138181,-0.004792532206756895,0.004824814063358017,-0.01432626129772965,0.004375909915840476,-0.012675417742942705,0.0029729850557941367,-0.009574229913934676,0.00021366433185241221
8,-0.008986234004302976,0.0040731779392001784,-0.017519378641731646,-0.00169958511155638,-0.016065887777610137,-0.0028153716225709194,-0.01301525972168428,-0.004901314037656876,-0.008786617168940969,0.005179993095683633,-0.01905601376283103,0.0011500876672448901,-0.017561852223590444,-0.0008281641915904106,-0.01423517175565855,-0.003992304944018997
9,-0.012882989039774508,0.003988730827784431,-0.021417967246085162,-0.005473269646260463,-0.01977325401852747,-0.006485329415460278,-0.016868835705580888,-0.009215619538560395,-0.009835642624201864,0.005151514162329285,-0.019870270060362297,-0.0009329397958417435,-0.019015821356165127,-0.0017068752803414066,-0.015619704698487755,-0.005137617796565095
