horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.007047289503858555,0.00333953477545131,-0.013709621671181086,0.00010845084795934362,-0.012268566001657242,-0.0011761654158892185,-0.0098106996484974,-0.0036598727735215326,-0.006097665220347365,0.004494215893261225,-0.013588104338194792,0.0036107125202405072,-0.01228756654631161,0.0019811281099092566,-0.010128768484756183,-0.0010152010433461345
1,-0.011470067460091209,0.0038247572434724946,-0.01899566722185614,-0.0038615015190682682,-0.01798388671871542,-0.004726107216573298,-0.014983038365803407,-0.007586118339398122,-0.010449192381540238,0.0053199257722117655,-0.021365126402786684,0.001075055282663729,-0.019391649198297976,-0.0017312951802667383,-0.015462143958705113,-0.005333797619890716
2,-0.007883449756528093,0.0037301886406468105,-0.014483151955467623,8.575342884213662e-6,-0.013607252271668212,-0.0013978885640881036,-0.011363645620249807,-0.004260113962134757,-0.008177302264201491,0.00469845764018924,-0.016531338340161947,0.0011815197300204664,-0.01563274461551451,-0.000313693041817396,-0.01275751592384432,-0.0034991108843670697
3,-0.007466521134273696,0.003573742652357884,-0.014473193582277269,-0.0006016021316775783,-0.013132796227104393,-0.0015451496279828914,-0.010800571567254804,-0.0038220367197455305,-0.0066728361236374325,0.004450013432465277,-0.015065859590734606,0.002253175106288046,-0.013843506044855743,0.0010258549801528743,-0.010969422949816536,-0.0019301502981659531
4,-0.008494096060169279,0.0037036086320629833,-0.015970358176125153,-0.0012481302276339847,-0.01478370295063765,-0.0020219981691731274,-0.01175042213122024,-0.004861692395382956,-0.006199828885971078,0.004570234139573577,-0.01482547643428321,0.0039416727023051795,-0.013078709167493477,0.0020163286958278714,-0.01012192035406256,-0.001537228173037264
5,-0.009826570930996571,0.0037683190512129423,-0.016744742257604035,-0.0017899363066311623,-0.015672635806553762,-0.003505987150319132,-0.0136681499339341,-0.006105223891925972,-0.00830900142996354,0.005207241000977734,-0.01780692740027906,0.0024796460942626422,-0.01646691732601972,0.0001712612284152047,-0.013368583258093078,-0.0033296440507944508
6,-0.007842286983962029,0.0032880140476340175,-0.013871373219806856,-0.0011668747700530945,-0.012788284539901211,-0.0024737152133486665,-0.011099003336274163,-0.004450361559021138,-0.006069327120846654,0.004616697689284534,-0.014449934397000503,0.0038644620002667245,-0.013503821967394133,0.0022119503371167385,-0.010163243349780138,-0.001489737098936897
7,-0.010002217102920541,0.0033925892909804187,-0.016367003170333714,-0.0028284322327767238,-0.015213805675933232,-0.004236967431521723,-0.013403721469207885,-0.006740799693713069,-0.005656364356475245,0.004623438281527449,-0.013729832248517242,0.00373853055558757,-0.012789579741394306,0.0023938072675724234,-0.010372940612970328,-0.000809132938350789
8,-0.012793272088844124,0.0036379351446480966,-0.019921749993592065,-0.005247041712917863,-0.018649150509318105,-0.0068624652023930545,-0.01608467717370894,-0.009172596146313808,-0.012593655253482118,0.005337782141067172,-0.02334837693010022,-0.0022066637614348954,-0.021423937327589515,-0.004118961435580703,-0.017853068845037134,-0.007102131118459941
9,-0.008622563914951174,0.004040870867654997,-0.01656434015201642,-0.00030087011528320167,-0.015133260642062362,-0.0023324298677580694,-0.012875167943967062,-0.005062794368914221,-0.0055752174993785285,0.005820899400611762,-0.01721717407031286,0.00533658097862982,-0.016000133343372417,0.004327490665136693,-0.011730953905250481,-0.00041594547602039414
