horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,0.0004368424921581559,0.00037884685062135174,-0.00026804591240932345,0.0012228439592414935,-0.0001561767021069593,0.0011330141888197481,0.00012693657534891323,0.0008456819352125087,0.0005749263936439524,0.0008663769344070433,-0.0009842363139974419,0.00243333903123753,-0.0007073440393814671,0.002178359904555968,-0.00019736956069372515,0.0014804110050770246
1,0.0003160659047367986,0.0003472467178197883,-0.0003008594095491858,0.0010559862434271834,-0.00021972145034482608,0.0009768946861975852,1.7681733534546922e-5,0.000683518045048997,0.00034558667992169956,0.0009454527161153899,-0.0013204435294760833,0.0023861202249169855,-0.0010542808178771426,0.0020584275774759874,-0.0005129602084115181,0.0013259127997634864
2,1.0101288321704826e-5,0.0003922548177632888,-0.0007451355690776077,0.0007990085364493413,-0.0005790188469414793,0.0006689694844180414,-0.00034771027022807314,0.00041128552465812104,0.0011888488786524687,0.0009034077078104407,-0.00048724285205225854,0.0030139188596424137,-0.00017535439496095816,0.002601157710332754,0.0003305415868245932,0.0020261443673556287
3,-0.00023347593436367565,0.00038511352176949683,-0.000943605242393551,0.0005252930086071853,-0.0008283072940069218,0.00040693597966722265,-0.0006035034570602288,0.00016509464894415602,0.0008322557951076223,0.0010060172198294419,-0.0012653324936180632,0.0026973091606749128,-0.0008500323011136085,0.0023920801745883702,-0.00020586923939190188,0.0017843727911824704
4,-0.00014709229569562243,0.00037642864662280776,-0.0008648925914007356,0.0006151104739893923,-0.000755403395393091,0.000479294911105677,-0.0005123895083438638,0.00024142476810437932,0.00049097523014458,0.0009612590143618405,-0.0011763628586842166,0.0025911921422187003,-0.0009789760321990296,0.0021933225682856643,-0.0004838576995207571,0.0013883554684711553
5,-0.0004387471518553082,0.0004062853079552755,-0.0011357920438490098,0.00035390664182518726,-0.0010634771665016247,0.00022553701489896424,-0.0008324697370350252,-1.5387930964212675e-5,-0.0006194018117826,0.0009748626946413645,-0.0024684675642144263,0.0013124689578399322,-0.0021175463413111565,0.0009317254871431266,-0.001556000042598868,0.0003698597460374942
6,0.00014380549331511477,0.0003282270691627889,-0.00045645935781829234,0.0007843407360719798,-0.00036677672530278026,0.0006967712176039165,-0.00018848916001920892,0.0004688453487531947,0.0006656777979828195,0.0010059440453172347,-0.0012641548058119048,0.002586366333867858,-0.0009130413929700113,0.0023649680306665616,-0.0003220321890309973,0.0017555498114174587
7,-0.0001435657237018419,0.0004024805222336452,-0.0008613773923545203,0.000636161391186714,-0.0007536640520363075,0.0005478905044962716,-0.0005458330851647532,0.00029102973877466335,0.0004203250205086884,0.0010071824589226648,-0.0014927110466501441,0.002372200917258768,-0.0011619786651330074,0.002062504164667493,-0.0006451912197965711,0.0013465199804558671
8,5.2673794035570194e-5,0.0004025306353583826,-0.0006694336432616402,0.0008790081154745161,-0.0005517886946596062,0.000795401692532239,-0.0002943800548077815,0.0004653314017859681,0.0004868748951434175,0.001035369256147483,-0.0012108957093817938,0.002636042732198707,-0.0010003166033817038,0.0023837688510750313,-0.0004362872089755014,0.0016340981779026833
9,-0.00018079850174409386,0.00043374133623039863,-0.001017791947150495,0.0007216572814757291,-0.000880841292187078,0.0005577327288965872,-0.0006028798528469702,0.0002350016418582616,-8.627019258650677e-5,0.0010641185019610443,-0.0021276562152042077,0.002043762480988585,-0.0018042610319877251,0.0016236100914948572,-0.0011304292025803616,0.0009155592149637907
