horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.0028688498195671426,0.002864656020079138,-0.008320581775241958,0.002818564622477336,-0.007504020599289498,0.002063536642868488,-0.006033677923372591,-0.00012395345113684505,0.00011813404011474854,0.004496993410548142,-0.008215872485239976,0.009560529441998606,-0.007400260151680325,0.007868319418444226,-0.00451179757568598,0.004506691306924569
1,0.0006332640445871583,0.0025931211479260493,-0.0046084404923034525,0.005523274687885564,-0.004072601842192672,0.004727811032683438,-0.001901740523208936,0.0030592329436498955,0.0021623153788663295,0.004505118942074334,-0.007080453276349895,0.010537505160634772,-0.005002787947879698,0.009341916317434695,-0.0020591924992039885,0.006797095764231786
2,-0.004121847727705071,0.0030083005692505007,-0.010011030634170477,0.001953747833579616,-0.008981933617100264,0.0010205957303862192,-0.0069664856542835845,-0.0011467232695779217,-0.0003519081707250927,0.004144600130504786,-0.00753561006490551,0.007886963070349192,-0.006560937790401142,0.006935075455372155,-0.004260653851817556,0.0040671500164983585
3,-0.000894481077213795,0.003103668715807466,-0.00712990134581036,0.004944369613273094,-0.006046615360062154,0.004076455452783858,-0.003921406362344161,0.0019290822809930113,0.0011664739165079113,0.00413789469275482,-0.006708885669862806,0.008986033151167123,-0.00549665631189147,0.00772226055747355,-0.003008393621025232,0.005408952848999623
4,0.0005895472811684038,0.003251430482030734,-0.005570053948787103,0.007304988870857802,-0.004757270485922564,0.006083830041437595,-0.0023316250299503637,0.004006191912757297,0.005067669996863881,0.004197435427784083,-0.0025172142266252934,0.012901759093832336,-0.001458295426794442,0.012148184990263135,0.0011954628972704593,0.009470156435216192
5,-0.001433693672436939,0.003226749058403554,-0.007929216861763313,0.005012850273178348,-0.0064178161782688665,0.003462971411501583,-0.004921974128954241,0.001593568152072047,-0.0028642439351829825,0.005101512239139058,-0.0140813234960797,0.006761498825770391,-0.011605347639087812,0.005004577463254495,-0.008128835139614944,0.0019683331740076382
6,-0.00029368338093244,0.0030684964184776466,-0.006282850590387031,0.005879113408234321,-0.0055306091958674305,0.004426873521838753,-0.003368527577547192,0.0025651239507232006,0.003516815919681261,0.00424587817367193,-0.0044000819140285405,0.012337524176645569,-0.003297112135002348,0.010799869917681459,-0.0003255650433845074,0.007938344273741097
7,0.0012981255110666875,0.0031266641428298434,-0.0049449379283465055,0.007360100580872538,-0.0041013914864219125,0.006299206140950518,-0.0016356528196112652,0.004224606125851991,0.0032549477675604963,0.004732722403661863,-0.005433988841416214,0.01285118884287282,-0.003712387431261271,0.011538064725471977,-0.001172736501503149,0.008127744485277805
8,-0.005221576053481627,0.0031652338390657305,-0.011498344278631778,0.000789247498057328,-0.011048459548514113,-5.6235005912549157e-5,-0.008657219289381325,-0.002346719976250312,-0.005420015461007038,0.004983269749085037,-0.016105679751127654,0.004085032574053957,-0.014331026752711752,0.0022626859538839323,-0.01049719762153667,-0.0009344012756831685
9,-0.0046222982480901165,0.003288534421814961,-0.010967228555109405,0.0020743519825252243,-0.010160835517745886,0.0009679686948856506,-0.00785128673354659,-0.0017227928105198083,-0.0036218103165799593,0.005085244499778888,-0.013510675397600803,0.006330876987334385,-0.01207321517017042,0.00447674507256141,-0.009218632830708562,0.0013947677536771017
10,-0.004535841831315575,0.003269600250692114,-0.010663893070049144,0.0026701091513981886,-0.009425141504055849,0.0011471211270811584,-0.007674218486288888,-0.0010263439463381733,-0.0029787372515692025,0.0051208018562663256,-0.012539043791027441,0.006970349114671343,-0.010637599747575565,0.005696734599188124,-0.00764193971322157,0.00277887023531334
11,-0.0012696976543929437,0.0030185964648882908,-0.007344225631412458,0.005339012034537278,-0.006219483571337367,0.003742679806259871,-0.004328309391822365,0.001565064706670102,-0.00408833979308702,0.0044166143507447094,-0.012789551146544079,0.004288319411623978,-0.011397152647697768,0.002978423971373858,-0.008323661780197611,8.666520542063276e-5
12,-0.004932600539283963,0.003126583792624907,-0.011811127844799534,0.001089914807132949,-0.010330555147402372,0.0001319154662637135,-0.007790026711680622,-0.0019492454178827224,-0.010096653245220891,0.0050325636896898845,-0.019691987568978706,0.0005531558653655583,-0.01824296911406785,-0.0010334137888020779,-0.01507867733651126,-0.005268595254750198
13,-0.0024256761348485797,0.00314289406591586,-0.008852016007906624,0.0035835995717241253,-0.007687800096778451,0.0025814377528178317,-0.006006511457163697,0.00034057422049926973,-0.005625021943356797,0.004135012139360783,-0.012746231803074558,0.002409063706000053,-0.012090111503912235,0.0009842055556682793,-0.010016738243413925,-0.0015019297601667364
14,-0.00345841267747873,0.003532892437845037,-0.0102412666739927,0.0036572857289697766,-0.00920244698626595,0.002255818137386875,-0.006990774784700291,2.562832039586062e-5,4.507117590951363e-6,0.004980460431938461,-0.00971349577149541,0.009765222737109435,-0.008659328072281059,0.008433149554873651,-0.004539200072681666,0.005034253370530612
