horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,-0.010846867817772013,0.004268188750809061,-0.018425668284252305,-0.0020319151319648293,-0.016826281791419245,-0.0036989693650696085,-0.014352692738453684,-0.006521194305439591,-0.007859883958090121,0.005807038318437951,-0.018116686847935888,0.004279080684665804,-0.016674361429238806,0.0021037356341909006,-0.013068518205467965,-0.002069706714854051
1,-0.01303720119917878,0.004574478280514907,-0.021901705586863243,-0.0033870178824689633,-0.02038986142180077,-0.005056061642104153,-0.01716818228042108,-0.008267161010386931,-0.011508149864899609,0.006087601860279219,-0.02313833094466311,0.0013166207038461898,-0.02048338353648935,-0.0011182239895110905,-0.017101681529804014,-0.004949603602123796
2,-0.01206694370714417,0.004170529728631827,-0.019395297521961886,-0.003722503904418772,-0.018544149947035977,-0.005165391960867057,-0.016137447977333706,-0.007621234260684504,-0.008297004150164192,0.006064036529925353,-0.018978479553593018,0.0044338285549121465,-0.017612198682011058,0.0023092464958724994,-0.013596736145606383,-0.0015722851769619773
3,-0.01322430042187084,0.004374429583337631,-0.02129487704322311,-0.004305959352372563,-0.0200674358867759,-0.005082762279813821,-0.017122151660265726,-0.008752253072498013,-0.011163345428149134,0.0059064672064856405,-0.02149625300903875,0.0019612647316538012,-0.020715686368628902,-0.0008813082378937282,-0.0163926961012638,-0.0047636863691946675
4,-0.009943622548643146,0.004543339787803825,-0.01767006620818895,-0.00025602231735917844,-0.0163375931912121,-0.001789417905121636,-0.014236563066192746,-0.005027970128713929,-0.005465499832947669,0.00566935102913158,-0.01569854740725633,0.005740079399059716,-0.014425413270372063,0.00410170213237426,-0.010650032087990096,0.00012558305241494933
5,-0.011126592865612657,0.003856267740938439,-0.018384489130222226,-0.003398384228093394,-0.01727714654970884,-0.004693965911748269,-0.014914581306699188,-0.007358244819614378,-0.0125571431283587,0.005923958078235976,-0.024253233361020372,-0.0008085283338451469,-0.02216337236470565,-0.0022867710088254308,-0.018079854726243856,-0.006726724094276294
6,-0.008829422124089267,0.0037516056382163143,-0.01566338104072374,-0.0010442770829593444,-0.014670178512724482,-0.0020047592108231736,-0.012256650936981363,-0.005283868345657085,-0.005018922823475567,0.005252545791739393,-0.014333903234220511,0.0058515683343467895,-0.012722815629596334,0.004393360078488692,-0.009729523492564503,0.0005111516022026395
7,-0.012515989712562198,0.00407454693478702,-0.019768961294022412,-0.0039988415901852595,-0.019058958156640472,-0.005431542818671404,-0.016294600442891116,-0.008297060949364771,-0.01055916745606839,0.005896813407644958,-0.020878637471021796,0.001526353536591031,-0.019454497781469574,6.402597689398413e-5,-0.015895592729536594,-0.004316965227077094
8,-0.013850653707282713,0.004168836992193022,-0.02126392741282194,-0.004991871079366704,-0.020163309847642773,-0.006583556308734818,-0.01799899112753125,-0.009212228260095035,-0.014049093114808123,0.006202324971381868,-0.025632096780074477,-0.00199929782488944,-0.024125117791339645,-0.003684082324770485,-0.019784642568888573,-0.007685326175906079
9,-0.011374550574341061,0.0053995607097388695,-0.021997532403604914,-0.0010528249684056076,-0.019999407374252563,-0.00238743116224644,-0.016062766881249312,-0.006351916747031761,-0.010374062642830905,0.0076142156676782665,-0.02455367332467378,0.004483153380609273,-0.022597767182899554,0.002754456779852894,-0.01778344347089158,-0.0033654703419933067
10,-0.010441622039537973,0.0038035359850998028,-0.01842928591251953,-0.003880301978194659,-0.017196678120885985,-0.004841174012939884,-0.014125859638614343,-0.006628406700873034,-0.0088845174597916,0.006184893595945531,-0.02117813892675419,0.002433115322807416,-0.019012838163683588,0.001041815489940722,-0.014473506095763332,-0.002209697977433241
11,-0.011967490334198937,0.004531414669262156,-0.020855881973411355,-0.002866816222156572,-0.019394494960477314,-0.004686700445842871,-0.01653657565935086,-0.007713557198735411,-0.014786132472893013,0.005733015857201079,-0.025646793902825364,-0.003594323348524947,-0.02407086667425142,-0.005463399738284073,-0.020359947552174282,-0.009221219594598165
12,-0.013954308679183115,0.004828083319533977,-0.02355683334888232,-0.004785258337475216,-0.021958860172842053,-0.006048403758668385,-0.0184221129108037,-0.00898453456016347,-0.019118361385120044,0.006043919648393962,-0.030214994583247633,-0.006087509631976862,-0.028419203155325347,-0.007829074771586134,-0.024715647058374576,-0.012672760714755213
13,-0.011828955519047484,0.004382352274834206,-0.01934837520919528,-0.0032452750600470274,-0.018591875410189335,-0.004398033755890101,-0.01592640193072296,-0.007187932457564006,-0.015028301327555702,0.0053685969925856775,-0.024799483481714082,-0.0041734683619335,-0.023398165718549004,-0.005554840598147343,-0.019623444570040723,-0.008751870797994414
14,-0.014101458973896093,0.005098283518662922,-0.023936640759031336,-0.0036175656554385304,-0.022039481261463142,-0.0051594046488745065,-0.01873402253961418,-0.009180033536910773,-0.010638539178826411,0.006917671743220203,-0.024110654141019816,0.003024210234137176,-0.021859155365240926,0.00021318344448568297,-0.017955264711502602,-0.0033540875685095905
15,-0.009420821363212078,0.004588737039224914,-0.018210234901655478,-0.0002710862340218556,-0.01600388724407176,-0.001589965651239405,-0.013973849353236676,-0.004743006037433499,-0.007647999086618672,0.006600414281797019,-0.020128018549947505,0.00597824296157931,-0.018258379438034038,0.003162702702106155,-0.014561058540821676,-0.0009549346906123232
16,-0.015300881878716558,0.004516603379507745,-0.02407657385320635,-0.006214152010285864,-0.022681194694852243,-0.007747875127054874,-0.019803075345625358,-0.010765412995012146,-0.011800363666088077,0.005808311336558405,-0.023564672886772997,-0.0007171927152987042,-0.021625089137308904,-0.002598599427369293,-0.017400936444819885,-0.0062750953955888755
17,-0.010315841087753885,0.004441382629928256,-0.01889630464438729,-0.002127944561705542,-0.01744430744604887,-0.0030046833926323964,-0.015129934374207786,-0.0058341234266448706,-0.008539980382510895,0.0060726611554065375,-0.020758568166904627,0.002737631175816716,-0.01864273815421934,0.0009821948612539861,-0.014114842053513222,-0.002776187361398601
18,-0.007269893406700197,0.004361287375731367,-0.015300614195209766,0.001039149252228903,-0.01442861721479894,-0.0005551456602997316,-0.011656949620734243,-0.002909364589037298,-0.004371830936047107,0.005844080316102332,-0.01548993407100197,0.006866221017719231,-0.014042014631940757,0.005150688149629596,-0.010631157949784606,0.0013834503304417875
19,-0.012143614050332013,0.004524439218781103,-0.02100450699407299,-0.003320377231721785,-0.02001370497215861,-0.004102782662928257,-0.016823817594099275,-0.007938484509851181,-0.008139237821689484,0.005834166114675884,-0.019198537983299794,0.0038281410369837236,-0.017617943732376896,0.0013987027837455736,-0.014092228824970071,-0.0024547092735068944
20,-0.009087645398561758,0.005044329685778255,-0.019000425282700927,0.0017234224170722676,-0.016949968993220686,-0.0005556428408167309,-0.01373721244172392,-0.003988295789530503,-0.005269793208069347,0.007002671460135477,-0.01793984529964744,0.008335659754702109,-0.016924203188305516,0.005921984239986574,-0.01145924109027113,0.002416232463686889
21,-0.01623338415413427,0.004873489028693811,-0.02509104043720531,-0.005027816949333986,-0.023607871101938616,-0.007288982866617741,-0.020193326287824317,-0.011328906381893546,-0.012901857691133554,0.005782961937034095,-0.024080004500766215,-0.0014745021443452375,-0.022141255885309723,-0.00341674640804168,-0.01829497392715535,-0.0066593339122429296
22,-0.0062749212011748625,0.004014436244609865,-0.014583268608672546,0.0017686777791755311,-0.013019055247034533,0.0005161373164566035,-0.010082261991856193,-0.001937394048390734,-0.0023233688098708424,0.005946849344301185,-0.013562891014776465,0.008893179020546628,-0.01188149053314852,0.00783061849272463,-0.007955943833246158,0.003898832751427696
23,-0.015461718100743089,0.004542083938326285,-0.02435828169874036,-0.006565298071979506,-0.022794045211517233,-0.007725483199584762,-0.019484088258766248,-0.01057639435276731,-0.015083359759212352,0.005828420356099123,-0.026346121005155935,-0.00457635041661693,-0.024805047515704386,-0.0053683841026974585,-0.02016158811780169,-0.008649167313658664
24,-0.011412342417455847,0.004619136036987633,-0.020289268606581392,-0.0028857648056829456,-0.018805618242868534,-0.004282622909344399,-0.015825466756886904,-0.006693464068262012,-0.010740075283053836,0.00631485568360649,-0.022767615354443944,0.0005105346747266052,-0.021422788134038678,-0.0004749147223441739,-0.01739435992166345,-0.004722495682369356
25,-0.012171857527726909,0.004726873618891417,-0.020701125914676863,-0.0029027580891470466,-0.01970682076100489,-0.004711396956993318,-0.01723173463757332,-0.00707055218494391,-0.014538629069165275,0.005618500205180777,-0.024670872673592435,-0.0035771987845224116,-0.023866727414731212,-0.005064860863320399,-0.020725688314003225,-0.00914058774318128
26,-0.013642982039989,0.004837782268615864,-0.022567658853433432,-0.003947724540523987,-0.021244394194067227,-0.005279835696487446,-0.01818384456653842,-0.008933283296376366,-0.011485333378460881,0.006412773585591593,-0.02405407933477601,0.0010685895085896049,-0.022390304173640692,-0.0015019494780383284,-0.017149576549295987,-0.004746520367766136
27,-0.014645006491892444,0.00450265019898617,-0.022572232282989654,-0.0049839867235172645,-0.021619624926413707,-0.006928304984877456,-0.019127748702780303,-0.010330320082378556,-0.013301957773071174,0.006480504557561533,-0.0249423493796707,-0.0006700291106631121,-0.023493116273753886,-0.002544429212114505,-0.019296380579913574,-0.006280893631505751
28,-0.01580276843368206,0.004825901929090775,-0.02545688882770667,-0.005711219780106996,-0.023110898080559408,-0.008103520008058055,-0.02056380631586146,-0.011026433879096957,-0.015325761509282426,0.005667935138208283,-0.026764325137936182,-0.00469502600969284,-0.02414590317885629,-0.00607626535488334,-0.020505596018712484,-0.009627382128839786
29,-0.011775965529057256,0.004806424709597825,-0.021513826534387853,-0.002419278053595036,-0.019851591758339185,-0.004411336907166254,-0.01666268567060943,-0.007292881322521771,-0.01500678459220721,0.0065884580412679545,-0.027433392921274696,-0.0020480309438526446,-0.025692279094005555,-0.004021765521978946,-0.02152231039924036,-0.00806163013931564
30,-0.008225699345238612,0.004294004022581158,-0.0168886649040493,-0.00016037839894481916,-0.016023581998339972,-0.001664119734268713,-0.012940348508433175,-0.00441307380109975,-0.007618108143645877,0.0057392305432360895,-0.019463139471465045,0.0026652622161095763,-0.017665568649315674,0.0010098306174164185,-0.01373280012998691,-0.002124120846348288
31,-0.010225890292745477,0.00532139414052042,-0.020833760005048725,0.0003203835835465101,-0.01869329460871078,-0.0014739639777589613,-0.015264926049287897,-0.004806745919557095,-0.010104560341285677,0.00641815020072691,-0.02262632069908147,0.0023426134538115278,-0.020462976201586637,0.0005484999785128142,-0.015913794778629337,-0.0034394255446254475
32,-0.015383710607676793,0.004978077876554872,-0.0251415586100166,-0.00564871845713695,-0.023758487570317913,-0.007688231037604872,-0.020471925333832883,-0.010215193963484769,-0.01627129950065492,0.00635260947117619,-0.028388844188401808,-0.004827460014305328,-0.02662360186999242,-0.005852054793469095,-0.022878785327792046,-0.009977932367391721
33,-0.015222952426139903,0.004828131272412453,-0.024072863684996823,-0.005780222999210213,-0.022519584905170486,-0.006829116398718808,-0.019637101364793134,-0.009969318472458648,-0.017354610718532903,0.006355472701170438,-0.029189917560983013,-0.0049960488726903,-0.027871493409161115,-0.006150586578586525,-0.02366593549173062,-0.01078359986686101
34,-0.013708802220844168,0.004904543850014357,-0.023099155010695854,-0.004461793304790322,-0.021699803452276376,-0.005803042084655966,-0.018609825135317212,-0.009031964074147579,-0.009246209774325435,0.006833478257024035,-0.022012064651578466,0.003980223746758181,-0.020137615590357958,0.0012061784848612918,-0.01656205200664781,-0.002622499126647332
35,-0.01401543881762897,0.0044091663483334445,-0.022612509949902986,-0.005150346471890263,-0.021042276264612688,-0.006576063197626035,-0.01775525750499164,-0.009537457223119182,-0.009903718730124404,0.005648629258310816,-0.02026138394619021,0.0007895050345274618,-0.01843387014230248,-0.0007553483527074302,-0.014887727995856075,-0.003976305434457449
36,-0.015112603380951127,0.005656091464860388,-0.02439900147318519,-0.0022216906264316905,-0.02328781124532578,-0.004037340123963901,-0.020097186266703804,-0.008839841114092143,-0.015705123828563136,0.0071072987150497926,-0.027808598885127624,0.00029840775630585225,-0.02587144977324377,-0.0032962359364978283,-0.021709831563174506,-0.007467046911760784
