horizon,group1_Managerial,group2_Professional_specialty,group3_High_tech,group4_Sales,group5_Administrative_support,group6_Service,group7_Farming_forestry_construction,group8_Precision_production_repair,group9_Machine_operators_transport
0,0.0021174328803119,0.0016231862350403119,-0.004506281262778461,0.0003763337027608326,-5.866741000405813e-5,0.0017693595353336243,-0.0008646979203737113,-0.0045658554262462256,-0.00042578659303392144
1,0.0009028931939996384,0.0008638598066404068,0.002077530546719199,-0.00158935785150336,-0.0026562711858348293,-0.003091729665040048,-0.004236871095831332,-0.007857568860826598,-0.0016123858616110683
2,0.0005890248167030826,-0.0033680489592798047,-0.006218634754591719,-0.004814147512994321,-0.003520802782745559,-0.0022116962198599206,-0.0031866532779064355,-0.0050176707427617645,5.617174680033663e-5
3,0.002423677584132243,0.000649396788382332,0.0013244091350348014,-0.000783617772858851,-0.0004871448983157346,0.001175652143987743,0.0007410683730037079,-0.003227681808901857,0.00306769312364404
4,-0.0018253967955246346,0.0026522303980197957,-0.00182520422883523,-0.0019116482151407183,0.000516444036185431,-0.0003883230334198986,-0.002486117770933377,-0.004788725061905587,0.0010936227239290047
5,-0.00015375305024397683,0.0014460458035120184,0.0005720665103540121,-0.0010970120527009162,0.00017867540662816635,-0.00047363366769947606,0.00547410842720967,-0.0037690379051322056,0.0004446527916735246
6,-0.000986315000593939,0.0008102780599021133,-0.0008278741624311793,-0.001977573629943155,-0.0014920146533111084,0.0017548455505287553,0.004045565377319607,-0.002432590636784303,0.0017786977127982064
7,-0.0011204463555368955,0.000713897809801508,0.00035976689312758277,-0.0016409705025404236,0.00016587195681188824,0.005477605152939087,0.0021707865286860646,-0.0033404037729443093,0.002600484195461017
8,-0.000328898001026951,-0.003815577879844843,-0.0015245366727114319,-0.0020874771906051253,0.00011573355759161088,0.001509196292540408,0.005167046966221249,-0.006217229489708382,-0.0006199043789109687
9,-0.0006921667616673137,-0.0019239533472805563,-0.004722797275619327,-0.004524565858326413,-0.0013306424382960875,0.00037431110461537046,0.000986573292080801,-0.004514914665459315,0.0010248469406022324
10,-0.0028027884170878947,-0.0001219817304527981,-0.0023027600334916774,-0.001787680873061741,-0.0003877921966019236,-0.0024001556771435016,-0.0014174670014053849,-0.0051445475590269334,-0.0003415121119959489
11,0.00022688359197630566,0.0008418337661043168,-0.0005840626024787906,-0.002669661568655692,-0.0016458402430721887,0.0012328683234435918,-0.0014169081066994183,-0.005863579527592099,-0.0031244961678402023
12,0.0018711872608870614,-0.001350316668683972,0.000955911709084193,-0.004559284116944017,-0.00048664422667245923,0.00039309579811319266,-0.0011165781940957234,-0.006865436625690657,-0.002061253731058172
13,0.0009560064681804238,-0.00018954197230739502,0.0020604226804514167,-0.00349265397337923,-0.0006580761475002447,0.0004109884639668255,-0.006699718417414002,-0.007705385674061761,0.0017736942446524395
14,0.0009187496257617181,-0.0015223955025616695,-0.006426429952555257,-0.001984484456286767,-0.0005647588708125882,-0.0003437268773247772,-0.0038235397318244677,-0.003903859035865558,0.0030623282617758076
15,-0.0018515851209639361,-0.000486034706388656,-0.0017633946495070117,-0.0050755498898178856,0.00025801477531064597,0.0012861699628442269,-0.000511911142878996,-0.0020198332045848807,0.002971385253259649
16,-0.0037752008340292877,2.2357931693712377e-5,0.0029383633987900156,-1.4270499720444643e-5,0.0018684002409736216,0.0015845136817730099,-6.453903747902882e-5,-0.005951647528096633,-0.002600581349262223
17,-0.0015268257997096849,-0.001140395157606243,0.0005322226091408055,-0.004102744004393478,-0.001039269871023817,0.0009238406991627774,0.0005997576487358098,-0.004465608754362546,-0.0038216647465203544
18,0.0007064294986773416,-0.0034531606964288,-0.002271731963863479,0.003182355044584236,0.0014147229636461915,0.0024703251872776385,0.001425024544375127,0.0005582829160531536,0.001182744330407706
