horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.0003290694110256726,-0.003842480075408558,0.004657688168401784,-0.002192563096368257,0.0027946427993904978
1,-0.00356416208953536,-0.007901000539844393,0.000798887981548574,-0.006016085388206922,-0.000936607807311945
2,0.0022398277108129595,-0.004448695413399469,0.008828307035358932,-0.0018737248438930858,0.006224599579700308
3,0.002720866615432124,-0.0033587564505632096,0.008508808846230762,-0.0007904873945806176,0.006313127651754368
4,0.003410274051767925,-0.0025565582807531976,0.009451806618229405,-0.00035851945560962757,0.007001773470270766
5,0.005896738531340881,-0.0010339298486861659,0.012496184478187657,0.0016608418015260206,0.010006412326220643
6,-0.0024371172966084296,-0.009242687257320664,0.004781850294733826,-0.0067271998038602185,0.0014853186536382063
7,-0.0063607514220636535,-0.015217268222132152,0.0019199658968763267,-0.011763531837167426,-0.0014375075166903322
8,-0.0054823360001284085,-0.014214413080523894,0.0026061300712644283,-0.010945296260509104,-0.00040842514191573396
9,-0.006415358201878467,-0.014340881144290676,0.0004335716932193385,-0.011055922479265155,-0.002463992142151929
10,-0.004152577319290314,-0.011596260995157105,0.0029280247093867876,-0.009056589479801177,-0.0002213345657414035
11,0.00042169374538702706,-0.007180790817738468,0.006180400659561529,-0.004535150831754707,0.004098318750878513
12,-0.006842898547165667,-0.014520352143391703,0.0002455436506775049,-0.011757652084089694,-0.0028964409893153164
13,-0.004532404586872719,-0.012162644951068117,0.002585184868790648,-0.009355420159794473,-0.0003661617690858708
14,-0.0016173890620486673,-0.008822189306835277,0.004692396579030415,-0.00639912220870224,0.0020907194194628095
15,-0.005875388024723466,-0.013634356044911202,0.0013804266981556675,-0.010843527380980782,-0.0015510191319016361
16,-0.0037685241377730353,-0.011788242556673644,0.00500272051166694,-0.009022459848437322,0.0014077082432464492
17,0.001650804071913905,-0.007154344501206055,0.010173771385647793,-0.004043679978567419,0.007437578208292049
18,-0.0052131033055820165,-0.01476375354432933,0.0049805367517282515,-0.010958792826037737,0.0004950650564614426
19,-0.006907851334205509,-0.01621988787685684,0.002915179591474544,-0.01253231301200169,-0.0019589828888854086
20,-0.007039607260709811,-0.015335569468004634,0.0024015940145837578,-0.01268623447909641,-0.0018122769874720232
21,-0.017159813360745565,-0.02607486689379264,-0.0068357879842242154,-0.022479700839445727,-0.010788974452530442
22,-0.009282378491839242,-0.01952529184094236,0.0028186649500941303,-0.01550124408557893,-0.001960530841773319
23,-0.010471574709974315,-0.020247366360835642,0.0005706987776083368,-0.016643165037611048,-0.004455570395990067
24,-0.015042965602435345,-0.024454736932459243,-0.0049138707359315525,-0.02058741041745058,-0.008940632856461529
25,-0.00683813335695753,-0.0166568470402155,0.003441857893411333,-0.012139214318403344,-0.0011257113001494623
26,-0.00860065884728194,-0.019050897428979356,0.0014604281876958586,-0.013698722152685656,-0.0021809807140576037
27,-0.010694833619081063,-0.019277879740382416,-0.000891804428884051,-0.015414453896884065,-0.005038385192654976
28,-0.009878433010927515,-0.018986075993733646,-0.00015908417417688676,-0.014754329505717735,-0.004457316391250354
29,-0.009251490301034695,-0.018338325935921565,0.0003508347750892614,-0.014778694084503823,-0.003524186459020834
30,-0.005508881739778429,-0.014952478928765753,0.004369550597854144,-0.011405065371395604,0.00036450185906029917
31,-0.00803868565292504,-0.01766725787575936,0.0009076042711179972,-0.013753649639864182,-0.002584468887403773
32,-0.004797308674137895,-0.013945041218803238,0.005074992190013202,-0.010624040837620294,0.0005663985174826133
33,-0.003391507016832063,-0.013424912900241146,0.007709355357424731,-0.00932159263921907,0.0024402098379354385
34,-0.00456275511681142,-0.015153079930210799,0.006001523924219276,-0.010516597221167852,0.0013556919675251095
35,-0.005474099396257651,-0.015479474317811812,0.0040668210488348094,-0.011546799213981801,4.7656980923837904e-5
36,-0.006248296551124029,-0.01701799831196618,0.0034193880181512936,-0.013024947164338904,-0.0006103519760264206
