horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.015834609119107022,0.004031812858993589,0.030034864467102976,0.008176494626091577,0.02410732056997662
1,0.009405334434972263,-0.004338813576993644,0.020313651540503033,0.001357070416534708,0.01625774842931889
2,-0.01110410873854666,-0.022893426784860036,0.0016493796003074854,-0.01882298595967833,-0.00384033356783205
3,0.014713480939585256,-0.003953056355797223,0.03245101179005232,0.004480018752562001,0.025051365800557557
4,-0.0037427278261317164,-0.01950324346327996,0.013211249520639165,-0.012688616339621907,0.0058400345832770525
5,-0.011669071288514918,-0.03172093657783081,0.00769111617234646,-0.022026683847715972,0.00034890106389859343
6,-0.009341202550596185,-0.02761470681602591,0.010838851197656317,-0.02005308113540478,0.0037288756407237306
7,-0.010058759146801946,-0.027538592205774724,0.011264612257521418,-0.020671535104112383,0.0021321683778793947
8,0.006251117231343276,-0.011879832685694633,0.027883652423236115,-0.004431720770877604,0.018086717592982606
9,0.010305100340533467,-0.008442747875185577,0.030719063846499722,-0.00015945740477633745,0.02246784752815042
10,-0.004273730296765738,-0.021785973146100843,0.013653585996061063,-0.015146449449744664,0.006816652441918016
11,-0.007215010597492455,-0.02613163629131324,0.009879544509725488,-0.017995061372911715,0.0038889076527758885
12,-0.019015077042427997,-0.038367956751941656,-0.001423521187429104,-0.030862876537714447,-0.00852456269012436
13,-0.02388380848009513,-0.041867283236146,-0.004283125754525826,-0.034612826503028674,-0.013631783875278872
14,-0.013799012097407576,-0.032118890263165105,0.005390792955463372,-0.02541305868951655,-0.002681784629018736
15,-0.0038985313865490265,-0.02480459743498949,0.017683478408259137,-0.01474284448408568,0.00865167441826872
16,-0.0005227232568563192,-0.021682630010823916,0.02208197626459863,-0.012134503526379715,0.013089119889016173
17,0.012525982274145846,-0.01242838845362269,0.03415300459499594,-0.000451930720889936,0.024180729437464812
18,0.005918848260614704,-0.011898990150288176,0.024201146548953046,-0.0047033940085835745,0.016907840042767266
19,0.0006415289109130913,-0.01718076678031965,0.020741916375206358,-0.010309719652597452,0.010349152610992117
20,-0.004906675363785939,-0.02373457369018012,0.011212551791194566,-0.016299625090354927,0.005350519117195115
21,-0.012690024377272235,-0.03432469911973732,0.007574764372861819,-0.025395175089263266,-0.0008438855416782482
22,-0.018747624814159376,-0.03955244782103748,-0.0009287194200582431,-0.03136565059020936,-0.008139522705745183
23,-0.009523101051321205,-0.02726977539401198,0.00705485167504546,-0.021046491497845078,-0.00030047098366482207
24,-0.004222912428517413,-0.0288821444025257,0.019313091935786474,-0.01814860475329424,0.00960478273477078
25,-0.004521890003406731,-0.02988730225867141,0.012550077131166154,-0.018096218712465358,0.006256007125266112
26,0.0009003789274130379,-0.01956599396814203,0.017636938010041472,-0.010223413271791711,0.011274418926301332
27,-0.006985988685550254,-0.024829421191743747,0.009273863252710058,-0.018383267154983972,0.002471013917560322
28,-0.011021160857869647,-0.026624826937289948,0.003152921536290553,-0.021714581068457722,-0.0032399881121453296
29,-0.011492463302621348,-0.032478165337734524,0.006354150823329638,-0.024608332416670504,2.0375858267978816e-5
30,-0.01826547946062722,-0.03895064584043506,-0.0028600151627721573,-0.03047142953472084,-0.008032793196543953
31,-0.018707868797674266,-0.041410786037490564,0.00043020502070784117,-0.03276102375372909,-0.007060654591634194
32,-0.032459251621751145,-0.055502006362196155,-0.013371997719581759,-0.04522305170917191,-0.021172372242961212
33,-0.01752126719170378,-0.038259756986841045,0.0007682718749596126,-0.03069962331984743,-0.006027843065036571
34,-0.007304616378522892,-0.029193268750711862,0.013106437700216798,-0.02124729732767943,0.0042736778584501825
35,-0.012190329545375573,-0.03591119834084361,0.009474625656962448,-0.02502023204632607,0.0007132590753402956
36,0.009011050993945356,-0.018297539643831982,0.03148194733374671,-0.0069805120126592395,0.0221643627496905
