horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0067101713062950865,-0.029648328998360597,0.014492513282876863,-0.019174142938456713,0.004995800082157365
1,-0.028887913061997863,-0.056909017342055127,-0.0002168885520022583,-0.04538835827788397,-0.011442016788139296
2,-0.0332731232630053,-0.06028490951736091,-0.0023388191389996267,-0.05089855693819646,-0.016653847848002806
3,-0.03151466084380234,-0.06934219814684033,0.006298050961389648,-0.054472621902245236,-0.01045219793410974
4,-0.026193430788301164,-0.05844169634953605,0.009810810883842148,-0.04843495684958686,-0.006302462887355562
5,-0.011378194906892068,-0.0454130727220156,0.017040119206513292,-0.030648807897806593,0.0044051466037632065
6,-0.033850788400227046,-0.06376149696429766,-0.006004127656400859,-0.04994968667253101,-0.017710419270432872
7,-0.033231249868638506,-0.05947095230096586,0.0009782442007344322,-0.04824374120269912,-0.014236987867179283
8,-0.0007223146019855459,-0.03221151365220537,0.0354592514436029,-0.018058236982462877,0.020058150906866846
9,0.006731700067226183,-0.016385706394912478,0.03293562515858646,-0.006867690978149387,0.02290190845232207
10,-0.001598079002961726,-0.032132870033198854,0.02859371079238708,-0.021488597482392378,0.016335673259403615
11,-0.03611030008849653,-0.0682948204302605,-0.006414872177060601,-0.05670571386813183,-0.01880138723273921
12,-0.041155102510997923,-0.07453685298317475,-0.014122620958631024,-0.059970534414925794,-0.02295319256723563
13,-0.01848849317024647,-0.05041478278594732,0.008088347243427586,-0.03772551115436283,-0.0016018176499856158
14,-0.005924492263923537,-0.03634926816402304,0.022695362369440666,-0.024256408577754657,0.011353088275219383
15,-0.0020125560706985885,-0.03693385389425317,0.028739694179619996,-0.02314414779354071,0.014977628953949853
16,-0.013153531885190322,-0.04243184109983469,0.008286376710278003,-0.0291620424548113,-0.0005371843046713867
17,-0.028096689781189864,-0.06301520748729897,-0.003520244774415735,-0.04676933738005991,-0.014294857997749447
18,-0.03762341647847765,-0.07792427026482207,-0.007615311715137983,-0.059571390138769734,-0.018748325532275668
19,-0.03957335869065142,-0.07372538833316636,-0.0020340666785175487,-0.06031578194253821,-0.017380575203264387
20,-0.03421856264487065,-0.06666049661550136,0.0009893278713520026,-0.051803927563283086,-0.013693198446326944
21,-0.04252488739962427,-0.0745647842258493,-0.0077485508584304655,-0.05983007532858557,-0.019681696072709497
22,-0.02770062658076122,-0.0559144250621744,-6.892317585483615e-6,-0.042850527846113595,-0.010402625790362979
23,-0.03642944250298253,-0.061463917023645634,-0.00677185558025032,-0.05116485327152585,-0.019135298342064733
24,-0.031483573399838156,-0.07165705786552273,0.003259108463767167,-0.05133467707986647,-0.010889035562548336
25,-0.009797322034130031,-0.03502908168481481,0.01698602291317921,-0.024439107219211425,0.00634194520608926
26,0.007946938512599267,-0.027020829050168345,0.05000982928014827,-0.011925151420527845,0.029436845237491988
27,0.005278827428785885,-0.02454228588723979,0.034506421190233755,-0.011917752397378176,0.023792237958388772
28,0.012781115878126404,-0.012799907939186742,0.037305532221034436,-0.0015203269684632096,0.02676640454891229
29,-0.006041243846188871,-0.0285010044007879,0.02193867743921538,-0.018756983235109256,0.010691931669983733
30,0.0018676083042451887,-0.03210711002580926,0.03241804725197629,-0.018138515579147127,0.021408600276177324
31,-0.010816941519356114,-0.04043098960551167,0.014055934145445776,-0.02830251468893256,0.0058669511703947595
32,-0.03544774401536554,-0.06832911316851466,-0.011299239867502826,-0.052973455130461845,-0.019549551540478733
33,-0.02050203773460271,-0.04830695632902634,0.010466330887684182,-0.037902208507598366,-0.003625097083934225
34,-0.037700398531956156,-0.0607541863962257,-0.010787757016632277,-0.05177999604893255,-0.023616576147549376
35,-0.07339213708370645,-0.10298624236607183,-0.04883966725526,-0.090713853611388,-0.0588195976252358
36,-0.06911522450973144,-0.10623420849049517,-0.03493392461749902,-0.09081753352278502,-0.050380903697694435
