horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.004111431440899167,-0.009160850566853344,0.0004532567197113582,-0.007019277730664839,-0.0015192625548893085
1,-0.00674437063563198,-0.011970405519701292,-0.0015292955361692019,-0.00980502256502188,-0.0038234032627776355
2,-0.0003069335600931708,-0.006677561429152212,0.006833319976739209,-0.00453126438455274,0.003952834796793562
3,0.0004547056285750636,-0.006706128481422132,0.008836226975534886,-0.00396653881774024,0.005326170858513121
4,-0.0012164197828385555,-0.009870990842490074,0.010078877351025875,-0.006122304194722395,0.005131510014166851
5,-0.00029016748468562245,-0.009099397909849703,0.010973490388034609,-0.005982568561249054,0.006253567424854224
6,0.0004550590400963103,-0.006916699527187673,0.009215948222039635,-0.003917438305748484,0.005836511837932629
7,-0.0020832137734469692,-0.009603830451937505,0.005361970110115996,-0.006658197777455586,0.002875664779732775
8,4.489106824162975e-5,-0.007390640361770506,0.006963016794982916,-0.004284479417157006,0.004670277440905857
9,-0.007997132678003357,-0.015328623168524964,-0.001785018889665568,-0.012329674018428226,-0.004327337604528978
10,-0.00923091571046585,-0.016602854438613916,-0.003500111749986482,-0.013689755079817983,-0.005942828162730811
11,-0.01058327703020744,-0.01830156787465625,-0.004339621635791422,-0.015288717289378013,-0.007121995760945186
12,-0.004260022545010055,-0.012038591768424433,0.0026793269218216764,-0.008663983252469025,0.00021227541537932777
13,-0.004763881192009197,-0.013824622103984437,0.0052302363354220375,-0.009769848784245527,0.00098405389918336
14,-0.0011421043790076075,-0.010314170340129951,0.011602856993765951,-0.0069757463166998275,0.006494695915624125
15,0.004392066073945088,-0.0038757058034752916,0.014315130407253933,-0.00017448039927306282,0.010202940777629763
16,0.0011639987954969054,-0.006186298298095668,0.011030998402246145,-0.0031685997764787288,0.006579943849966447
17,0.007804389948897003,0.0008372130520468493,0.01568310750781545,0.003915825067656492,0.01265095391122938
18,0.0044722948945889384,-0.0022511602286187996,0.012763649048946269,0.00047623912227019206,0.009467190862705928
19,0.0020137242578735937,-0.005594696086524486,0.011601526204081242,-0.0019882596308221515,0.007328778325996262
20,0.0019457158174207368,-0.004902917725004473,0.009169543106411462,-0.002325910956007606,0.006675375641729594
21,-0.0008844287896615322,-0.007679740739681399,0.0066129284420284795,-0.0050662346741937,0.004038724876364113
22,-0.007988162736081753,-0.014777031016854554,-0.001331601683820723,-0.012231731944198694,-0.003960958755497823
23,-0.007757551361123131,-0.016426299425336056,-0.00098565659267736,-0.012568948575012614,-0.003591077665976756
24,-0.009623306302655362,-0.018446596796043394,-0.002332121986372851,-0.014208847264766674,-0.004743353958486167
25,-0.0028657093309440475,-0.011006923133855293,0.006404699637286916,-0.00892803942112687,0.002523385559140599
26,-0.002681260206513617,-0.010988426386073233,0.005280364856462249,-0.007517626473567074,0.002304844655987183
27,0.0031725843642908575,-0.004525886998977527,0.01077313218326475,-0.0015498765257685424,0.0077453375018350975
28,0.0001581237490063247,-0.008057059868860048,0.0093443915415836,-0.005022420063466263,0.005151787581930153
29,-0.0011389942165769443,-0.010396633474119269,0.007409450747964771,-0.006761330727974116,0.003932059534057718
30,0.0006368770879240031,-0.007830716406334376,0.010819771430360817,-0.005094389152803564,0.0067854032230492255
31,-0.0033703861368077613,-0.012046807448564152,0.005422689825195904,-0.009146086278692062,0.0021662824331179467
32,-0.006455078597268044,-0.015537989826620285,0.0019472281913356744,-0.011850525649323785,-0.0016241696425587935
33,0.00010535941049395947,-0.009703298750758028,0.00861509964897016,-0.005553583080324143,0.005293407285199193
34,-0.002616578534781407,-0.012637716720935107,0.00578807436643402,-0.008108986447187473,0.0021588810971921602
35,-0.004725893854927165,-0.01307074530570557,0.0026960981566091927,-0.009988064496986039,-0.00040816464364686316
36,-0.0008310765448094021,-0.008294267822338847,0.005863531888688985,-0.005301330620145317,0.0031711953031915634
