horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0009353949425918484,-0.0068311710996276824,0.004862401830816965,-0.004446359265238171,0.002805577424464867
1,-0.00016399889030059046,-0.007216851327813764,0.0069621386587727955,-0.004034761004526968,0.003963151281161963
2,0.008798634087540221,-0.0010504879722232994,0.018241325517179545,0.0035126073898025688,0.014201543798931677
3,0.013998608400985369,0.004787819065933447,0.025267169459834017,0.00894489240355524,0.02075375551351228
4,0.0125254182439437,0.003659400811373073,0.024182464717203835,0.00676216899146242,0.019972581313177164
5,0.011269053285253383,0.0022777019154874775,0.02047103433738338,0.006203324914462067,0.017125307699630735
6,0.005864808114105263,-0.003936278842692848,0.016617514707982343,-0.0005494449371922644,0.0126439192728641
7,0.0006129169691870938,-0.008749228309343588,0.011058942939852146,-0.005115491920041834,0.0067082228533526245
8,-0.0039653041840688906,-0.014369623194845367,0.00650627473469591,-0.009696488316929413,0.0022291363060732566
9,0.006295281079002886,-0.0019462944524789461,0.014812743793718811,0.0009827086828108232,0.011251425442338155
10,0.004439197385926439,-0.004175847351417888,0.012499929518205643,-0.0004935333305381871,0.00984082342722226
11,0.008631680827432023,0.0011839806104438182,0.015646353205051804,0.004368581530399132,0.012926173670313231
12,-0.007434140922072319,-0.015139860772392839,0.0006645506405708228,-0.012459661008635164,-0.002151959664965523
13,-0.0035875037999512018,-0.011605433094447748,0.005413700999908988,-0.008786330541468556,0.0012215360942069461
14,0.0010622547822104688,-0.010689868656760556,0.009944727422258113,-0.005708434207913222,0.006765140920946662
15,-0.0016388329153513748,-0.011889711808309309,0.008423096718977485,-0.008300648558104697,0.00424701849963011
16,-0.008780981271678237,-0.01933237429090401,0.0008369860138358783,-0.014605365322024902,-0.0027398223642511868
17,-0.009167604369654003,-0.020191943117345852,0.001290551156105187,-0.016194685378776563,-0.0026628733939653253
18,-0.015957972362113212,-0.028111349265752116,-0.0050698083228323775,-0.023370135344879358,-0.008729221817712903
19,-0.0055248199306491596,-0.01769147364357277,0.006763139462203507,-0.0134141263288802,0.0013039419804160603
20,0.006604470379863578,-0.002809940168273126,0.016207574233604232,0.0008298677822928457,0.01335313369715258
21,0.012304136835027074,0.0025983828800918395,0.022307851744247695,0.006633408590373801,0.018791524817316458
22,0.00273515233748798,-0.008056803341129841,0.013908471927664359,-0.0034474498687840625,0.010362617266533763
23,-0.0016232002868949128,-0.011850713583701546,0.009492964042172657,-0.007658638583039038,0.005855635271842484
24,0.0014640511401753115,-0.008856924685625007,0.012942409121268587,-0.0037646430533807215,0.00831137665133971
25,0.005228996238302069,-0.007315869471305246,0.018607272192687575,-0.001150138845273859,0.013806424149186926
26,-0.002574299985990137,-0.013880442550840186,0.009851396320379704,-0.009989863649096946,0.005483634052501416
27,-0.014511016043930156,-0.024613111299542616,-0.005563178134716849,-0.020145507713629992,-0.008742424984985574
28,-0.011214296113036584,-0.023823670084015182,-0.0006619014164852641,-0.019174499211608142,-0.004710568680636049
29,-0.008887819927947021,-0.023918097836591046,0.0022300084930041517,-0.01703712794431888,-0.0015440017600663776
30,-0.01925779080984009,-0.03253258304615826,-0.007683404292444839,-0.028037881064000143,-0.012233471589832963
31,-0.02070914892119531,-0.03300385746533939,-0.009000159623337157,-0.027963879518713326,-0.013769543556092775
32,-0.012133556707297448,-0.025180287755800817,-0.0017793225328477068,-0.019878603236595703,-0.006276048280893186
33,-0.016957992085254968,-0.028519318769938552,-0.005920063851302049,-0.023954678708559905,-0.010207173167382372
34,-0.00445795067602398,-0.013529644339190449,0.0028270134574856064,-0.010305913459867432,-0.00010598495656639288
35,-0.007457297277807118,-0.017791050759141527,0.0031053485529033116,-0.013468181370584583,-0.0012208269285806806
36,0.0012191428629861093,-0.009741888871740281,0.012816424416269987,-0.006003552802081291,0.007176802349155524
