horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.007526750020912179,-0.026425696052632903,-0.002430986441671495,-0.021468106310242034,-0.0035296052719569794
1,0.0027415762714136497,-0.0027788014146615035,0.011544179098294324,-0.0008562842824560166,0.008554371079419757
2,0.011191427071805942,0.0037939927100711446,0.026482715752140663,0.006019945663914954,0.020561343526956273
3,0.0016126915737860823,-0.004954366005285032,0.0067015301292024515,-0.0025655321903177613,0.004492616776067902
4,-0.00563123361796828,-0.015355092364970504,0.00024636725297733867,-0.010915247359850243,-0.0020436554347136723
5,-0.00787986147383571,-0.016049171228951796,-0.0023413504538658137,-0.012796079239411657,-0.004234066163798709
6,-0.007544155662943619,-0.013401292085424659,-0.002438381231554351,-0.010922613270441387,-0.0043160623352207625
7,-0.009911645486260551,-0.017433999451500516,-0.004435774551758441,-0.014264106846197243,-0.006364084999406901
8,-0.007925078702570745,-0.015268278259081723,-0.002297900415435943,-0.012626336403894517,-0.00415282057640221
9,-0.0025918990191234176,-0.009027776894673739,0.0030523663962205403,-0.006350143082630557,0.0006088052704708974
10,0.0002934978655420871,-0.005026080209052951,0.005090302319726094,-0.0030233096216848916,0.003510530936720831
11,0.0004768230110913139,-0.004889285516213086,0.007427001616844581,-0.003385041040398399,0.005510605974256151
12,-0.0034802302039838745,-0.008703351185314788,0.0014139394936536777,-0.0072406259234840085,-0.0005095628990266676
13,-0.003340920183260945,-0.010248552832442996,0.0012362172638866451,-0.007724885654544262,-0.0002291985179901342
14,-0.0021215311038995893,-0.008275182114137433,0.002629699443056083,-0.005949582396695225,0.0011522301330063461
15,-0.00014996092114605704,-0.008154842209827557,0.0053724234558628564,-0.005033423085424926,0.003358384603248229
16,-0.0009482694372982215,-0.00792892097149256,0.005305333720604974,-0.005565610135325427,0.0024239611434489394
17,0.003950750663966974,-0.004121437251522127,0.017960963794883034,-0.0015654565475081697,0.012744774533451797
18,0.0008168516750183159,-0.0062145745277922765,0.010936166254004936,-0.0034281254890305988,0.006870446487541763
19,-0.004140778406948345,-0.010941955420866262,0.0017029221090664503,-0.008251777876875654,-0.00023409403164678308
20,-0.005221471616780949,-0.01192089156267915,0.00024327798359045135,-0.008989971678061289,-0.001677427650747008
21,-0.004834892163953533,-0.011652829622065364,0.0011929719072429103,-0.009017741802853297,-0.000976854957701554
22,-0.0003924172564214688,-0.007089869222594332,0.006587089541887429,-0.004633661954311268,0.0035683219206081563
23,-0.0061028384752728594,-0.012832743537264879,-0.0007032425826652439,-0.010274425403088878,-0.0028505892353666027
24,-0.004677056269833095,-0.012755945744874951,0.0009540207022073867,-0.009540725808014626,-0.000947696950473545
25,-0.00510024244406035,-0.01126406356934823,0.0009876695016730287,-0.009185146243776525,-0.0010312262061221216
26,0.0008454197505245606,-0.005007518733336109,0.00704262245942741,-0.002751704463235944,0.004638439076074141
27,-0.0028379226942518913,-0.011455534404249705,0.0034808707525318954,-0.00795013311640876,0.0008700415763150497
28,-0.002598755960305389,-0.01065093376014208,0.0028675721395275675,-0.007475899520538155,0.0010954374944313018
29,-0.004263044412826263,-0.011350024490693365,0.0014449112017727661,-0.008683972294484976,-0.0005010050082600759
30,-0.008188919012792657,-0.01505193528669559,-0.0021193240161855153,-0.012269204103175696,-0.0046687208451420175
31,-0.011800526689809443,-0.019072976426914807,-0.005847784311949824,-0.016294828731378733,-0.008244204746095996
32,-0.007903682253063208,-0.015399968949509601,-0.002443479896683071,-0.012458556905466656,-0.004600915675735898
33,-0.0034226848714343826,-0.009368815907303842,0.0013203118239981972,-0.007294368389426013,-0.0005891421007973218
34,-9.967837487539211e-5,-0.00633482936844919,0.005311288597980888,-0.004415532879132075,0.003290597178009633
35,0.0018251736666811678,-0.004945919504389719,0.012267873891468087,-0.0029518316860962478,0.008268110326704404
36,0.0003158389322201506,-0.005722402099413776,0.008816839750918,-0.003961088695884064,0.0057188238432265
