horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,6.946173285599619e-5,-0.005018719878750118,0.004387653071268388,-0.003071840373977287,0.002944208323799908
1,0.005258933379858423,-4.93679239569186e-5,0.01039484900028539,0.0018902502665236972,0.00834079251362699
2,-0.004249850161414486,-0.010331899348949888,0.0020149222613944466,-0.007866657184702771,-0.00022989886939903809
3,0.002743630142573968,-0.00257052875042357,0.008864678810307825,-0.0003152023806992331,0.006687796202874827
4,-0.001777689452345371,-0.0065657197932918855,0.0053473836024862855,-0.004464493911918346,0.002294485181170816
5,0.005546247000253345,0.0006721700298947062,0.010642833404437713,0.002524411092565405,0.008734976219694388
6,0.001530774658702493,-0.004662966801566743,0.006875537881164629,-0.002274592729041979,0.004869263889880977
7,0.0007036895258618532,-0.005886492075010422,0.006591862777006045,-0.0031301140412804593,0.0044393987814765785
8,0.004535060533837451,-0.0005347730727272466,0.010824091134624583,0.0017939361080775975,0.008335433136920263
9,-0.0001473716422699865,-0.006193315062092219,0.00613597141830536,-0.003713363336904067,0.003781614369116857
10,0.009267236629282765,0.0008302000153008748,0.017138812695670524,0.003875146593276941,0.013996014241123437
11,-0.0028173498191640107,-0.008263976590266914,0.0032138193753432427,-0.0061323984520185,0.0005424275260058672
12,0.0017414037237872735,-0.0031985243153868207,0.00688487093153572,-0.001157165488867734,0.004852327439915077
13,-0.00029513186577139594,-0.006168995243106825,0.006804120142670805,-0.00415270325029839,0.0037736234087713556
14,0.0034725018546578022,-0.0031670306589697047,0.00968554143404722,-0.00033407342555268884,0.007117088867688576
15,0.0019216167831331114,-0.00490322517814901,0.008967949306086792,-0.0016767329915176495,0.006523111426384961
16,0.004338234107563038,-0.0017481120768695077,0.009969748344279467,0.0007282312404927956,0.007500641072507416
17,-0.008082842868604438,-0.015731430524523096,-0.0011585025446599166,-0.012936406443707714,-0.003841502177680832
18,0.007183397570825774,0.0005713904466517535,0.013578404899672951,0.0033894308140033384,0.011160780391248015
19,0.0027397437375174093,-0.005293559454744476,0.011450027031479891,-0.0018784411335397051,0.008206074214788917
20,-0.0004685042956011467,-0.006949152953177776,0.006109506586561142,-0.004066978143966474,0.0036574214266818445
21,-0.004292225586193824,-0.009933458932663276,0.002846959103216501,-0.007767078174111056,-0.00031980127728934056
22,-0.004166154154309259,-0.0096653601912345,0.001144944341757945,-0.00728464758826523,-0.0008412704580422442
23,-0.006305032422487271,-0.012763626296985218,0.0012671449856496864,-0.009962617146684056,-0.0016025963438079504
24,0.003953725518968697,-0.0038992917927985057,0.010558791242957527,-0.0007905090004259822,0.008105144289409096
25,0.0033281143375495335,-0.0034223570643465368,0.009880431252764749,-0.00038377602890413967,0.0073376480531041795
26,0.001439263036299796,-0.004390810327755059,0.007182435403820633,-0.0018874186422215237,0.0052035977648848455
27,0.004175560237672098,-0.005150776677386855,0.012516156365931261,-0.000764645662399038,0.008757742265014665
28,0.008450704804094902,0.000678505808217998,0.014854924484304942,0.004094163668211795,0.011951135873188565
29,0.004305435889102746,-0.0036182146839798916,0.01205074062762421,-0.0007309824760478477,0.008787455947925476
30,-0.0004354998831614351,-0.005320713512530895,0.005073029328084643,-0.0033118035641546205,0.002467604594622306
31,0.0038309245468495963,-0.000669141460041745,0.008393205423195285,0.0011925543955684367,0.006715179651210934
32,-0.006991343261465278,-0.013792453475580616,-0.0003889136099963532,-0.011146608491273104,-0.002826812707318567
33,0.0006406695452690651,-0.004753883634738741,0.007165511643583286,-0.0026308329563814606,0.004600243776562884
34,-0.004257251087523259,-0.012205156330792406,0.001750802235281056,-0.008981093020689435,-0.0008004135416835941
35,-0.0075620626222515416,-0.01249509331157237,-0.0026134615180706004,-0.010519449834912138,-0.004744610531978203
36,-0.007954088254310675,-0.013592448697729187,-0.0023856382409307647,-0.011116345046483813,-0.004415501930758225
