horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.008706609073271249,0.0019394891110314757,0.013600639003386355,0.0043591048098591085,0.012038351517469632
1,0.0005392377462197942,-0.006221904146937793,0.00705813933534137,-0.003900493450843436,0.004508687282304699
2,0.003345283935413508,-0.003302448880070961,0.009702805825497908,-0.0005351246234157662,0.007369803985377861
3,0.0021511278091400792,-0.00624080406268834,0.008106136821367032,-0.0023977224716125313,0.005728625242992197
4,-0.004951703609403547,-0.012785066287679829,0.0017635722201539339,-0.009893487615994307,-0.001074124695748747
5,-0.004579281484063208,-0.010467081096057748,0.0013723261192447574,-0.008140188943849522,-0.0009764930794136954
6,-0.009063224019031195,-0.0177524793098185,-0.0009860413584261481,-0.013830600768961634,-0.004707097881637361
7,-0.004979945431720566,-0.011409637315835976,0.00015934834829839373,-0.008764793942869008,-0.0017640206372816739
8,-0.0003250796435701143,-0.006436975389508092,0.006630877278280755,-0.003832575282245527,0.0035768794353240054
9,0.00416896896527082,-0.002315791302842083,0.010362597165287831,0.0003578444162251177,0.007820263779915525
10,-0.0032531667310445145,-0.009780874905703452,0.004807329488407713,-0.0076079164288318755,0.0015521808573030235
11,0.0012669752582202352,-0.004300388415041775,0.006424711662649603,-0.002449754185995042,0.0046153124349077035
12,-0.009112910935867382,-0.016423259003924422,-0.002482224714779141,-0.013477708361389545,-0.004960630911288058
13,-0.0030065782268561543,-0.009515096746885235,0.004156306767777939,-0.0069371545808658095,0.0013575701390413438
14,0.0036531303723433242,-0.005031069387268735,0.011753424152800963,-0.0015556416711868088,0.008559053832751455
15,-0.0017506461425004977,-0.007913909839419005,0.0061481526049193495,-0.005707129032778863,0.0016632984219662342
16,-0.0043911076476520665,-0.013133063604746018,0.002505386002955215,-0.00911763005942241,-0.0003577366999224386
17,-0.0018924475918370163,-0.00852967273246933,0.0059245244255874034,-0.006207120509298317,0.00251323908302868
18,-0.0017740925302899089,-0.008211748380480435,0.0049449135262920555,-0.005344346918847467,0.0028531532081419514
19,-0.004732421792056227,-0.011964771872135118,0.0021929226232351873,-0.00917155559695582,-8.360149727820124e-5
20,-0.00017307631960165128,-0.006984718192022582,0.006341193918050093,-0.0038222484414923955,0.003978391939170526
21,-0.005415308192129605,-0.011545056378345468,0.0001655079633407228,-0.009304476258971888,-0.0018090948012695995
22,-0.007935093750681473,-0.014797357210860802,-0.001984221453270806,-0.012216818700340738,-0.00482017667232721
23,-0.01064687596798036,-0.015923897427514155,-0.0057819717639879965,-0.013816587761896136,-0.007458014367004736
24,-0.0028545678717737093,-0.007825193723574318,0.0024854877373400195,-0.005863791252173943,0.00036493717637924245
25,0.004115112337916569,-0.0013436923040197803,0.009995023733213553,0.0007066289513628608,0.007877518987034168
26,-0.01096417727970304,-0.01638138615387834,-0.004405979780303348,-0.014159856142763314,-0.006788397073809082
27,-0.009184940230833254,-0.014673709149738609,-0.0029146076622883982,-0.012332057402145775,-0.005345699103838737
28,0.0013986014045948274,-0.005618140224035521,0.007133021720040974,-0.002753561657651552,0.005085191230474519
29,-0.011742327945941888,-0.01814211120806384,-0.005147259199843481,-0.015649941180886768,-0.007982968822196512
30,-0.003330730274622259,-0.009674245692947234,0.0031464827723939747,-0.006969978967027736,0.00014682921988077658
31,-0.009065121436266772,-0.016721445937358283,-0.0003625352149564578,-0.013160094628257495,-0.00400406637565478
32,-0.003533376150358291,-0.009498799976180182,0.0034172877017295384,-0.007182575797806273,0.0006937937778582824
33,-0.004543921913849912,-0.011009832616434527,0.0012278671489401186,-0.008849696845357635,-0.001100948049039922
34,0.007484813684689315,0.00013670292795998212,0.014039438830148469,0.0034692523585188664,0.01155181082781417
35,0.005269615543432467,0.00017051622215760905,0.012977369877495844,0.0022567018554599453,0.0094896497536908
36,0.0010750983436190128,-0.003989807703944534,0.007554822077328929,-0.002156520549376536,0.005165885172921061
