horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.000645605480134301,-0.002636730903037203,0.0014590494027993503,-0.0017361462580784046,0.0004131479948746498
1,-0.0010570240907127172,-0.003369931271810638,0.000903741134653094,-0.0023257914585508364,0.0001754313388872919
2,-0.0006869598315221578,-0.002823256730179151,0.001306019807764417,-0.002005067251880214,0.00047953588926349976
3,-0.00393005245519625,-0.006719174959816599,-0.0019290997625726804,-0.00550646046254405,-0.0026516781784483427
4,-0.0024885231103755063,-0.005792041750977487,2.772824597768557e-5,-0.00434953872452784,-0.0009536191480612733
5,-0.0018767564842310728,-0.0060822114534850825,0.0006626164320705501,-0.004381992011758076,-0.0002419161496087811
6,-0.002283440797668236,-0.006049230494550405,-0.00013050690794881017,-0.0045754222030508105,-0.0008500207325438348
7,-0.005396708010572164,-0.008999091546571334,-0.0033763684182198774,-0.007531812467013191,-0.003941921342916184
8,-0.00266334720676406,-0.004750246090337943,-0.0009922217018155234,-0.004011663568146746,-0.0015656821255342094
9,-0.0030058273516937505,-0.005445366917513143,-0.001027930701824413,-0.004507381897474917,-0.001807997428281531
10,-0.003482027105456042,-0.0058322586591142665,-0.001676287662199406,-0.004868655985155878,-0.0024123894434242843
11,-0.0020381478406096333,-0.003851690098517984,3.149334782856202e-5,-0.003171827729864604,-0.0007920855434421375
12,-0.0032126728293429057,-0.005290438015000538,-0.001433254856753436,-0.0044433311537132834,-0.0020593964070715577
13,-0.001871142235531001,-0.003956980975562402,0.0005001322389891483,-0.0032431125263500727,-0.0005217118391843906
14,-0.0030794967906177064,-0.005803452985893644,-0.0007443339034116417,-0.0044482038808685,-0.00183124443490361
15,-0.0026470985373879524,-0.0062961210886680165,-0.00030949905398229257,-0.004716432894665685,-0.00123745907502812
16,-0.0031106374456860344,-0.007562212103224058,-0.0006131111581692767,-0.005698462188614082,-0.001532433283675037
17,-0.002528818756906436,-0.006164554006397995,-1.2002169211357272e-5,-0.004770349723413472,-0.0008951361424770832
18,-0.006569083335660344,-0.010899673200993547,-0.004069212111533851,-0.00900011071701694,-0.004924995729700832
19,-0.004259361114047642,-0.006977929180197069,-0.0021406298442617194,-0.005971496474410474,-0.003028097581560487
20,-0.003693218401989974,-0.005712245033019075,-0.0016016826479024059,-0.00496850581596001,-0.0024850271912474535
21,-0.003822989614002263,-0.006760312748730742,-0.0017017508608254163,-0.005502477097431691,-0.0024087880008888856
22,-0.003053197561477028,-0.005323748093629204,-0.0007224229298754855,-0.004460074013209378,-0.0016304955103641217
23,-0.004952792554709677,-0.007090641774849412,-0.0030443645068452783,-0.006413054249380271,-0.0037071834213350434
24,-0.0030542859211022846,-0.0057371776302800135,-0.0005681983709068354,-0.004507771134066125,-0.0016673165094706049
25,-0.005072865249353355,-0.008150898660318191,-0.0028055677462268157,-0.006862596799541698,-0.003673685439307627
26,-0.0027586692660089324,-0.005204951284976602,-0.0005178711521083546,-0.004223688849990266,-0.0014143773577716282
27,-0.003407962531974334,-0.007698017806602117,-0.0007919946307163805,-0.0058167730005158,-0.001708120635295931
28,-0.0015974698701867339,-0.005078680216125636,0.0014268918749875223,-0.003716268376153304,0.00024665235941310473
29,-0.0046832520164226885,-0.008091368585485705,-0.002478180728835135,-0.006502306218263432,-0.0033772496068384186
30,-0.004345363979074132,-0.00777993440958714,-0.002086723952897175,-0.006238998248504983,-0.0028831090215106978
31,-0.0038454082701065203,-0.0062646145935726545,-0.0017559935240886214,-0.005400945582918824,-0.0025480170819481515
32,-0.005182823489074766,-0.00892675621867075,-0.002982582260079598,-0.007005994432656393,-0.0038422493508671676
33,-0.004595745140570606,-0.00713707786050748,-0.0024086990253915706,-0.006092500456661592,-0.0034222597003365596
34,-0.001270236459214921,-0.0034551855411166063,0.0007318179242627692,-0.002471500166913803,-0.00012955568250365835
35,-0.003337496266605659,-0.005106487897161334,-0.0011680405640134726,-0.004388512182839589,-0.002041273632348581
36,-0.00221509748647789,-0.005312082062069048,0.0002562282161473468,-0.0040633906075588835,-0.0006957031761032969
