horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0007434640804226617,-0.0027631751366729487,0.0010284584714806977,-0.0019842934636545365,0.00037563459474649914
1,-0.0006872412099956775,-0.002390143246011002,0.001010022161253433,-0.0018225524755602724,0.000429722956940013
2,-0.0022013440428741973,-0.0038633857353917145,-0.0004287779707725834,-0.003231304010400599,-0.0012200288522176378
3,-0.0001349527827508751,-0.002138767099345381,0.0014740761023449875,-0.0012198569888288917,0.000911891076358445
4,-0.0020767931837913168,-0.0036685569192787277,-0.00045632596908132066,-0.0030890832155215414,-0.001048370197057464
5,-0.001532653771000132,-0.003430804081838481,6.975346534088332e-5,-0.00271266604820872,-0.0004599717477900241
6,0.0021889837604063783,0.0005154846785565587,0.0041107852347182765,0.0011666393538677445,0.0032562857124823104
7,-0.001598818897034774,-0.003395805345991192,0.00013630440089041425,-0.0026944305749823224,-0.0005849339112247915
8,0.0006317222042855389,-0.0010081208379100327,0.0022191282333268716,-0.0003268869415071384,0.0016800517082241413
9,-0.001505898349497639,-0.0031862688611112347,0.0003165861765788659,-0.0025054381486973648,-0.0002755416616150349
10,-0.001325845515847294,-0.0030741514111127712,0.000755894387155364,-0.002321235015688048,1.5256521662457322e-5
11,-6.764956322831165e-5,-0.002230974220947727,0.0015246672019385119,-0.0012958936451476098,0.000947151426695168
12,0.0012545458782099836,-0.00029706398806377096,0.0025604478942912465,0.00027869548609219723,0.0021280179246284774
13,-0.002499156218797564,-0.004369499630669185,-0.0008502529155559318,-0.0035378942985147314,-0.0015725092658754633
14,-0.0007284751311601417,-0.0023034508192640874,0.0007234551935340148,-0.0016575806906960692,0.00022582486017699746
15,-0.0011129934115564066,-0.002840213276453109,0.0002903119999858471,-0.002150235969381263,-0.00029911919450757414
16,-0.0010229093200594893,-0.002956469019776784,0.0015508661280906886,-0.0022149699357425752,0.0005104870108927832
17,-0.00021889695464815247,-0.001987052961429804,0.0016820373779091596,-0.001374409633417508,0.0008344849852095658
18,-0.003357226149649323,-0.00506641588310827,-0.001643805436764498,-0.004430897272808312,-0.002446522899027627
19,0.0004459898362604546,-0.0013386463412653586,0.003223514722724931,-0.000775145062484658,0.0017586369215356742
20,0.003050669168628264,0.001464941269535867,0.004747763168720744,0.0020940041924540995,0.004007098595662901
21,0.00036040740715785065,-0.0014471241494012454,0.0021659309901664527,-0.0007471636924299505,0.0013458964232935628
22,0.00010872753286509168,-0.0019264002933987003,0.0019888458395464275,-0.001093246687820881,0.0011870277964952365
23,-0.0021187486748382492,-0.004730132652291368,0.0003697398795956511,-0.0036620957925908616,-0.0007795096548862573
24,-0.001949398163748629,-0.004518637987707897,-4.760160177318378e-5,-0.003414563119469481,-0.0008847339981305439
25,-0.004004238454194944,-0.007728240968282082,-0.001768973940369828,-0.006118566870148258,-0.002598057447307803
26,-0.001518290266653935,-0.0038574236581920395,0.0003501753068248627,-0.003008185777446371,-0.00046589665657842286
27,-0.0018299239739551318,-0.003543570494111733,-6.766961776528534e-5,-0.002963881104375625,-0.0008190679613826188
28,-0.0004483705064023996,-0.0026564914413954176,0.0019451727012158716,-0.0018389287683499862,0.0009047848762795364
29,-0.0013101230546999306,-0.0030567740035573926,0.0002932793223548887,-0.0023062078044248247,-0.000269807699068061
30,-0.000991385416644058,-0.0026286769260124333,0.0006694751205892893,-0.0019104706928997428,4.739726979166104e-5
31,0.0008859867507583082,-0.0007735106386965599,0.002642518343408961,-0.0001783501660575118,0.001996928008830911
32,-0.0011884127819989227,-0.0039986443591024795,0.0009499870933120807,-0.0028732416369959563,0.0002059354077593343
33,8.992100994136043e-5,-0.0016403411151512555,0.002005090442633598,-0.0008540881743787272,0.001130691415365668
34,0.0011579046662287462,-0.0008357717822080478,0.0031543674763163288,-8.506492908754771e-5,0.002274532620785883
35,-0.0007403904293917308,-0.0033683885269380686,0.0011830197766091364,-0.002296629079450664,0.00048347241436596123
36,0.0003884701598095917,-0.0015067330796970013,0.001967042381577613,-0.0008435398555961902,0.001280823701255233
