horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0005589466619258826,-0.004246740751516647,0.002454065655023069,-0.002839875077655319,0.0011435454112264669
1,-0.003041066331755918,-0.006535354449278592,0.001309345782195383,-0.005261470304381621,-0.00014157311229708123
2,0.0011490156880707716,-0.005035420343647231,0.005772402402210117,-0.0024527677154017767,0.0035696819675928738
3,0.005600024129683374,0.0018214048041528476,0.01011265251522231,0.003355545042848198,0.008501802930018598
4,-0.005056386427570211,-0.009514828759079231,-0.00023413347264972066,-0.007514209933216104,-0.002543287318455192
5,0.005653729739052368,0.0029738676196016606,0.01005321660936179,0.004011665233285185,0.008407249159563977
6,-0.00134557189196206,-0.005704279950549712,0.003582631162492614,-0.003939833647198335,0.001752433278057451
7,-0.0016569662463118667,-0.006279287552584691,0.003356641813590697,-0.0045614867873710815,0.0015447206045259502
8,-0.0012632239991111319,-0.004881222571872205,0.0029573691047838223,-0.0035647759518712637,0.0012300435129074588
9,0.0015866949187898767,-0.0021491928618845063,0.005820591438225673,-0.0006481078342940173,0.004017484987140826
10,-0.002803369221972051,-0.0079657145235959,0.0007637917721436873,-0.005559423750992208,-0.0004162448283776712
11,-0.0009783986408447348,-0.00502191739684625,0.0038006767108206786,-0.0034685672286198267,0.0016298755297250698
12,-0.0026360168123917326,-0.006769326605100941,0.0013469941361992565,-0.005159619796908605,-0.0003970152725728971
13,0.003465782874674746,-0.0012462101509038716,0.009832971959348812,0.0007308937419385898,0.00749100184305429
14,-0.003875206798701571,-0.007828048149565989,0.0016591297425233714,-0.006395524550219012,-0.0006470332079209461
15,-0.0020716814392284406,-0.006824914336941644,0.001740928414262482,-0.004737786218190814,0.00035978281555768465
16,-0.006761817542223777,-0.013382973071452189,-0.002524156090735874,-0.010779020583816478,-0.004350085311120935
17,-0.0012595377038354654,-0.00451959601200355,0.002969589719046136,-0.003455548412632261,0.00117011304847343
18,-0.0005312868540668709,-0.004650491961470473,0.00295982998489396,-0.0029378064657263865,0.0016461235241363465
19,-0.0030122362668709825,-0.0069400673912162645,0.0008163176906208608,-0.0054592403374643,-0.0009136367943989136
20,-0.006934522365736324,-0.010475027883230452,-0.0029068041865352124,-0.00908635930542466,-0.004666298101542177
21,-0.0038520723115927124,-0.008697565925751204,6.731764940561772e-5,-0.006578523115729521,-0.0014648751526343323
22,-0.0007947461419628676,-0.0044031416068135276,0.003456946036356881,-0.0031596420748743687,0.0018254788079620607
23,-0.006848585005682348,-0.011152276774957049,-0.002124372585044593,-0.009553663399015805,-0.004111379817307455
24,0.003157763015526337,-0.0010438427473545803,0.007569516966181947,0.0006999239852105384,0.0057899144294422875
25,-0.00525197308646785,-0.01015298707033569,-0.0004713051595571045,-0.008136074193379413,-0.00247683935623822
26,-0.0018945995716240058,-0.007851387536750153,0.004094212468821506,-0.0055233872341433855,0.0015826519366958594
27,-0.008761742380244606,-0.01330664487467028,-0.004464597624419543,-0.011212140234978994,-0.00611837042753789
28,0.0024966178624871924,-0.001213717355622083,0.006529125179329217,4.9703898733027135e-5,0.005047014970988266
29,-0.0022696222326112608,-0.006133780751944696,0.001632263160902884,-0.004496030406552631,0.0002760364045754078
30,0.005492164666848859,0.001956527652568307,0.008744203768255554,0.0035197519978293523,0.00717149956114598
31,-0.0024790987682427883,-0.007330299005963263,0.002479828403102942,-0.005681977889242403,0.0004118999998278562
32,-0.0025061335483588035,-0.005708808086983588,0.0005480794183557341,-0.00437840516850376,-0.00036151312492140866
33,-0.0031570319984242706,-0.007342391146703225,0.002123014954724267,-0.005571991446990941,-0.00015463107356543425
34,0.003882314497619013,-0.0003025194611012863,0.008988773349386097,0.0013523417798317438,0.006889720506030793
35,0.0052050960233995195,0.0010665912883211157,0.010023193878835804,0.0027032498181522517,0.008294736438949278
36,-0.00019109722385904305,-0.00398679592559264,0.0031502373880930652,-0.0025640376588609132,0.0017297484497610731
