horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,9.046226657004871e-5,-0.0018991059668718197,0.0017315013994572666,-0.00100146923541584,0.0010462984803178079
1,-0.004153627300654813,-0.005747984609736304,-0.0024831165731418687,-0.005196979523938532,-0.003122532101328541
2,0.0004150365378441245,-0.0012554814760282061,0.0024159165749092844,-0.0006409517447251333,0.0015577911726433625
3,-0.0009138195846072548,-0.003028957667672653,0.0015077688001898962,-0.0020185744103066424,0.0005617369422159522
4,-0.0006293223205862317,-0.003006483737107468,0.0018907326104244733,-0.0020296051119277347,0.0008282830129649941
5,-0.0016031724897014885,-0.0034661517912720763,8.230637034862274e-5,-0.002745297485090946,-0.0004912060175313539
6,-0.0011337311039257222,-0.002941305642381046,0.0008962180105729432,-0.002195825507701853,8.847686322436556e-5
7,-0.002732759659111404,-0.004763017243749432,-0.0008368543867947856,-0.003870089964452714,-0.0016044396336267648
8,-0.0008005357539330998,-0.0026396325383707927,0.0009886937759662642,-0.0020307102513766437,0.0001314316359230757
9,-0.0017622117146948453,-0.003538133111851948,-0.0003348706392953828,-0.0028138965654200196,-0.0008649677282434471
10,-0.0009085213415740952,-0.0026466699304073553,0.0007221679107300991,-0.001978757227089431,2.2986440340402284e-5
11,-0.0014582691538400274,-0.0035776244503722817,0.00048191601927571187,-0.002790502726394895,-0.00032058375450476784
12,-0.002376662309919447,-0.004163067412651346,-0.0006037658302663258,-0.0035736559691074343,-0.0012912054491437761
13,-0.0008814332130044121,-0.0027769481767905184,0.0008961776539079926,-0.0019363772771963778,0.0001739831755858221
14,-0.0012832865753919385,-0.002946324319459329,0.0004690820243699488,-0.0023105142913146357,-0.0002764341693052442
15,-0.0010139202874903904,-0.003041607977065223,0.0006295938941891365,-0.002186819257028338,4.894872700829064e-5
16,-0.001135595814911236,-0.0033806155345768698,0.0009414612077013106,-0.0025312382067070767,0.0001499027635826558
17,-0.0024486543872377937,-0.004507027414187085,-0.0002877634796994285,-0.0038190695289760106,-0.001320307847029514
18,-0.0016190918606800021,-0.003186412858556432,0.00010832193872170322,-0.002627175479186535,-0.0005623968837286145
19,-0.0031527143441632145,-0.00510690209201501,-0.0014980546175061263,-0.0043725847869615616,-0.0022664737129263882
20,-0.003172881443774215,-0.005143431343032793,-0.0013850317848398833,-0.004317183169629648,-0.0021251546105884407
21,-0.001201174091019474,-0.002984454073172055,0.0005568407652101108,-0.002346120039763148,-0.0002304245419300242
22,-0.00033582467287522985,-0.002137136475062806,0.001255170285201041,-0.001464788436691094,0.0006160723733300119
23,-0.0005737865832658434,-0.002253440551643848,0.0011782526246282218,-0.001750628674346167,0.0004470690791463698
24,-0.003941796154279996,-0.005758510360290856,-0.002477946811382909,-0.005064935275386008,-0.0030850522880109346
25,0.0002652473657509441,-0.0023332529331369176,0.002143864909159149,-0.0012282290117213014,0.0013478058438924885
26,-0.000960629805757126,-0.0028030415916787503,0.0009184191716215135,-0.002040670001766875,0.0001354491434996584
27,-0.0010286535511745292,-0.002867884498009323,0.0008423945870516196,-0.0020687306200264386,3.9648954313420805e-5
28,0.00040827780457839796,-0.0012227024369662672,0.002113681351866091,-0.0006718887222754552,0.0014921917226402817
29,-0.001150217865952829,-0.002890210652720936,0.0004991933908398245,-0.002231058418150468,-0.00018664148375181126
30,0.001044341113487486,-0.0012480445747580866,0.0030675626922914865,-0.0002841459896532083,0.0022089380187861013
31,-0.002932016447573699,-0.004402848362735416,-0.001568009657286531,-0.003853929874424203,-0.0020716808984909997
32,0.00021886438069513076,-0.0017829046788409744,0.0023936964693935863,-0.0010145533271857896,0.0014179360507959626
33,-0.004336718771723405,-0.006174540068333778,-0.002463522773835848,-0.005453715676031785,-0.0033129808606884243
34,-0.0003136224119183444,-0.0021163423605927486,0.0015111690869595421,-0.0013700871908041985,0.0006769158315707467
35,-0.0002921715190207019,-0.0028559518030544253,0.0021246070067513214,-0.0017817319073875895,0.0011576838514659581
36,-5.563237000072263e-5,-0.002777108476085532,0.002257407427892924,-0.0017075693453919897,0.0012868698035852727
