horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0049125182151163035,-0.009632273113067196,-0.00021856217878737233,-0.007858623991844471,-0.0016697460024627893
1,-0.0004816167829785697,-0.005239943497606422,0.004561805711872135,-0.00346726605656175,0.0026019941801603504
2,-0.0030872614975326323,-0.00775001680516581,0.003131774073591825,-0.0058220217117577605,0.00024099297308166363
3,-0.002086059091492552,-0.00805019814307161,0.0033416891618784,-0.005370604208046841,0.0011911688141769345
4,-0.003645475804817247,-0.009532486356928879,0.003189066247825934,-0.007160692095785089,-2.547476764207853e-6
5,4.609916092995936e-5,-0.004707546976517896,0.0057109597309035,-0.002812904588119789,0.0031777233335642105
6,-0.0023745943153474724,-0.007900307842666928,0.003344312349846833,-0.006032436567621957,0.0009795691633300795
7,-0.00295897907797694,-0.0073739926983244514,0.0017466765607141986,-0.005632252278571216,-0.0001905642011586317
8,-0.003047245902669287,-0.008232793828433935,0.001865071594134191,-0.00614859802802078,-6.242908787054474e-5
9,-0.008339465995480091,-0.014249204825721517,-0.003286974148694586,-0.01199077542886799,-0.00524368148862779
10,0.0022026224382742077,-0.0030759293464567915,0.008774916896843257,-0.00100429773128972,0.005890867242148301
11,0.0012915429458448563,-0.003780341038617973,0.005884937011058057,-0.0019094362428851914,0.0037838794452860003
12,-0.0037632700189354916,-0.00809497148996141,0.0013762566562636543,-0.006426351324746768,-0.0009561731977498584
13,0.00651724889649887,0.0015007981302307492,0.011357749370774314,0.0034365278032040696,0.00902908023036671
14,0.0005944090028466753,-0.005078119276413136,0.006204354952763081,-0.0028751389349237523,0.004026289617909209
15,0.003935859988786197,-0.00065458216728672,0.008428220383312748,0.00110601333513757,0.006499080991308738
16,-0.0017118855212563226,-0.0060089882462126725,0.002582559830177568,-0.004277819375127764,0.0009289098797698276
17,-0.009125230453969154,-0.014278258186836519,-0.005252223977504479,-0.012199807946049938,-0.006750695845246582
18,-0.00028921151253245777,-0.00729562490553124,0.004855674859231772,-0.004222685976662949,0.002990203242362627
19,-0.0014852332717062294,-0.006275368771194829,0.003236944881675023,-0.004422850767186766,0.0012908418837314362
20,-0.008385448852453844,-0.013113462213923475,-0.0033277395551839367,-0.011516904957946234,-0.005288146735497861
21,-0.0024801391325786,-0.007482115510822594,0.0025335527469545066,-0.005625526690729933,0.00022854414282647744
22,0.000875147139107774,-0.00435300649321724,0.006030539041651853,-0.002660329106006799,0.004217394664955666
23,0.002877127533254875,-0.0027915158120104433,0.008107007345976847,-0.0005973022490204862,0.0059315823294787285
24,-0.0044204230596923515,-0.009606719587192716,-0.0002629633343687737,-0.007642256308488702,-0.0019170628387159949
25,-0.0023780133462523037,-0.009256520812318963,0.0037826267083016334,-0.006262264671397875,0.0011778923820285002
26,-0.004525128883581582,-0.010404551420223536,0.0015446553100084623,-0.008536135210623484,-0.0011563758757326538
27,-0.0009952667876026182,-0.00674635838129861,0.004137864034750876,-0.004603525832705849,0.0023298674350907865
28,0.0020549371747708507,-0.003613942300667862,0.006981555168970069,-0.0011582503887482545,0.004925772639278571
29,-0.01194543633286897,-0.0186465819908066,-0.005752554277038302,-0.015837674141680018,-0.008173470331867702
30,-0.00342937824589888,-0.009222317910622358,0.001442357579773687,-0.007354454130317078,-0.0006959148114368458
31,-0.0025351320362076587,-0.007362439839628301,0.003325016167731887,-0.005705972356443933,0.0008989893119890737
32,-0.002703921643459007,-0.007655580198691311,0.002446524272735385,-0.005574315037812713,0.00039761429706733353
33,-0.0047560934264325614,-0.010928542634001049,0.0005398302495293094,-0.008351050296992325,-0.0016047002189623423
34,-0.002191691974119448,-0.008064582779791147,0.003311357685518044,-0.00562100364012988,0.001318036703413467
35,-0.0007133898189977426,-0.005991637341459635,0.004264302639353313,-0.004163700079752196,0.0024071492813243457
36,0.00024974107447936635,-0.00521632198779903,0.005113356821800052,-0.002882762229791957,0.003390969855226694
